Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
23,2020,2020-10-25,7,7,25.040,WAS,,DAL,W 25-3,*,11,7,90,12.86,1,63.6%,8.18,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,84%,0,0%,0,0%,
24,2020,2020-11-08,8,9,25.054,WAS,,NYG,L 20-23,*,8,7,115,16.43,1,87.5%,14.38,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,98%,0,0%,0,0%,
25,2020,2020-11-15,9,10,25.061,WAS,@,DET,L 27-30,*,9,7,95,13.57,0,77.8%,10.56,1,27,27.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,86,98%,0,0%,0,0%,
26,2020,2020-11-22,10,11,25.068,WAS,,CIN,W 20-9,*,7,5,84,16.80,0,71.4%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,92%,0,0%,0,0%,
27,2020,2020-11-26,11,12,25.072,WAS,@,DAL,W 41-16,*,9,7,92,13.14,0,77.8%,10.22,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,90%,0,0%,0,0%,
28,2020,2020-12-07,12,13,25.083,WAS,@,PIT,W 23-17,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,94%,0,0%,0,0%,
29,2020,2020-12-13,13,14,25.089,WAS,@,SFO,W 23-15,*,6,2,24,12.00,0,33.3%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,92%,0,0%,0,0%,
30,2020,2020-12-20,14,15,25.096,WAS,,SEA,L 15-20,*,12,7,77,11.00,0,58.3%,6.42,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,98%,0,0%,0,0%,
31,2020,2020-12-27,15,16,,WAS,,CAR,L 13-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2020,2021-01-03,16,17,25.110,WAS,@,PHI,W 20-14,*,8,7,40,5.71,1,87.5%,5.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,0,0%,
33,2021,2021-09-12,1,1,25.362,WAS,,LAC,L 16-20,*,4,4,62,15.50,0,100.0%,15.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
34,2021,2021-09-16,2,2,26.001,WAS,,NYG,W 30-29,*,14,11,107,9.73,1,78.6%,7.64,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
35,2021,2021-09-26,3,3,26.011,WAS,@,BUF,L 21-43,*,7,4,62,15.50,0,57.1%,8.86,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,
36,2021,2021-10-03,4,4,26.018,WAS,@,ATL,W 34-30,*,13,6,123,20.50,2,46.2%,9.46,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,65,97%,0,0%,0,0%,
37,2021,2021-10-10,5,5,26.025,WAS,,NOR,L 22-33,*,11,4,46,11.50,0,36.4%,4.18,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,84%,0,0%,0,0%,
38,2021,2021-10-17,6,6,26.032,WAS,,KAN,L 13-31,*,8,4,28,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,95%,0,0%,0,0%,
39,2021,2021-10-24,7,7,26.039,WAS,@,GNB,L 10-24,*,12,7,122,17.43,1,58.3%,10.17,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,92%,0,0%,0,0%,
40,2021,2021-10-31,8,8,26.046,WAS,@,DEN,L 10-17,*,7,3,23,7.67,0,42.9%,3.29,1,12,12.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,
41,2021,2021-11-14,9,10,26.060,WAS,,TAM,W 29-19,*,8,6,59,9.83,0,75.0%,7.38,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,
42,2021,2021-11-21,10,11,26.067,WAS,@,CAR,W 27-21,*,7,5,103,20.60,1,71.4%,14.71,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,93%,0,0%,0,0%,
43,2021,2021-11-29,11,12,26.075,WAS,,SEA,W 17-15,*,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,90%,0,0%,2,8%,
44,2021,2021-12-05,12,13,26.081,WAS,@,LVR,W 17-15,*,5,3,22,7.33,0,60.0%,4.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,93%,0,0%,0,0%,
45,2021,2021-12-12,13,14,26.088,WAS,,DAL,L 20-27,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,49%,0,0%,0,0%,
46,2021,2021-12-21,14,15,26.097,WAS,@,PHI,L 17-27,*,4,2,51,25.50,0,50.0%,12.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,89%,0,0%,0,0%,
47,2021,2021-12-26,15,16,26.102,WAS,@,DAL,L 14-56,*,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,55,92%,0,0%,0,0%,
48,2021,2022-01-02,16,17,26.109,WAS,,PHI,L 16-20,*,8,7,61,8.71,0,87.5%,7.63,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,
49,2021,2022-01-09,17,18,26.116,WAS,@,NYG,W 22-7,*,6,4,93,23.25,0,66.7%,15.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,80%,0,0%,0,0%,
50,2022,2022-09-11,1,1,26.361,WAS,,JAX,W 28-22,*,4,2,58,29.00,1,50.0%,14.50,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,90%,0,0%,0,0%,
51,2022,2022-09-18,2,2,27.003,WAS,@,DET,L 27-36,*,8,4,75,18.75,0,50.0%,9.38,1,7,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,89%,0,0%,0,0%,
52,2022,2022-09-25,3,3,27.010,WAS,,PHI,L 8-24,*,9,6,102,17.00,0,66.7%,11.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,88%,0,0%,0,0%,
53,2022,2022-10-02,4,4,27.017,WAS,@,DAL,L 10-25,*,6,2,15,7.50,0,33.3%,2.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,70,95%,0,0%,0,0%,
54,2022,2022-10-09,5,5,27.024,WAS,,TEN,L 17-21,*,6,5,76,15.20,0,83.3%,12.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,
55,2022,2022-10-13,6,6,27.028,WAS,@,CHI,W 12-7,*,4,3,41,13.67,0,75.0%,10.25,2,11,5.50,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,56,98%,0,0%,0,0%,
56,2022,2022-10-23,7,7,27.038,WAS,,GNB,W 23-21,*,8,5,73,14.60,1,62.5%,9.13,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,95%,0,0%,0,0%,
57,2022,2022-10-30,8,8,27.045,WAS,@,IND,W 17-16,*,8,6,113,18.83,0,75.0%,14.13,1,-7,-7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,
58,2022,2022-11-06,9,9,27.052,WAS,,MIN,L 17-20,*,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
59,2022,2022-11-14,10,10,27.060,WAS,@,PHI,W 32-21,*,11,8,128,16.00,0,72.7%,11.64,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,71,86%,0,0%,0,0%,
60,2022,2022-11-20,11,11,27.066,WAS,@,HOU,W 23-10,*,7,4,55,13.75,0,57.1%,7.86,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,72%,0,0%,0,0%,
61,2022,2022-11-27,12,12,27.073,WAS,,ATL,W 19-13,*,6,4,48,12.00,0,66.7%,8.00,1,5,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,82%,0,0%,0,0%,
62,2022,2022-12-04,13,13,27.080,WAS,@,NYG,T 20-20,*,12,8,105,13.13,1,66.7%,8.75,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,77,91%,0,0%,0,0%,
63,2022,2022-12-18,14,15,27.094,WAS,,NYG,L 12-20,*,6,6,70,11.67,0,100.0%,11.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,92%,0,0%,0,0%,
64,2022,2022-12-24,15,16,27.100,WAS,@,SFO,L 20-37,*,5,4,77,19.25,1,80.0%,15.40,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,
65,2022,2023-01-01,16,17,27.108,WAS,,CLE,L 10-24,*,5,2,25,12.50,0,40.0%,5.00,1,12,12.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,56,81%,0,0%,0,0%,
66,2022,2023-01-08,17,18,27.115,WAS,,DAL,W 26-6,*,6,3,74,24.67,1,50.0%,12.33,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,76%,0,0%,0,0%,
67,2023,2023-09-10,1,1,27.360,WAS,,ARI,W 20-16,*,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,89%,0,0%,0,0%,
68,2023,2023-09-17,2,2,28.002,WAS,@,DEN,W 35-33,*,6,5,54,10.80,1,83.3%,9.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,74%,0,0%,0,0%,
69,2023,2023-09-24,3,3,28.009,WAS,,BUF,L 3-37,*,6,6,41,6.83,0,100.0%,6.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,81%,0,0%,0,0%,
70,2023,2023-10-01,4,4,28.016,WAS,@,PHI,L 31-34,*,10,8,86,10.75,0,80.0%,8.60,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,1,0,1,63,81%,0,0%,0,0%,
71,2023,2023-10-05,5,5,28.020,WAS,,CHI,L 20-40,*,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,83%,0,0%,0,0%,
72,2023,2023-10-15,6,6,28.030,WAS,@,ATL,W 24-16,*,11,6,81,13.50,0,54.5%,7.36,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,84%,0,0%,0,0%,
73,2023,2023-10-22,7,7,28.037,WAS,@,NYG,L 7-14,*,9,6,90,15.00,0,66.7%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,88%,0,0%,0,0%,
74,2023,2023-10-29,8,8,28.044,WAS,,PHI,L 31-38,*,12,5,63,12.60,1,41.7%,5.25,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,94%,0,0%,0,0%,
75,2023,2023-11-05,9,9,28.051,WAS,@,NWE,W 20-17,*,8,5,73,14.60,0,62.5%,9.13,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,86%,0,0%,0,0%,
76,2023,2023-11-12,10,10,28.058,WAS,@,SEA,L 26-29,*,8,4,33,8.25,0,50.0%,4.13,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,87%,0,0%,0,0%,
77,2023,2023-11-19,11,11,28.065,WAS,,NYG,L 19-31,*,7,5,43,8.60,0,71.4%,6.14,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,80%,0,0%,0,0%,
78,2023,2023-11-23,12,12,28.069,WAS,@,DAL,L 10-45,*,11,4,50,12.50,0,36.4%,4.55,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,85%,0,0%,0,0%,
79,2023,2023-12-03,13,13,28.079,WAS,,MIA,L 15-45,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,82%,0,0%,0,0%,
80,2023,2023-12-17,14,15,28.093,WAS,@,LAR,L 20-28,*,12,6,141,23.50,1,50.0%,11.75,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,85%,0,0%,0,0%,
81,2023,2023-12-24,15,16,28.100,WAS,@,NYJ,L 28-30,*,5,3,50,16.67,0,60.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,
82,2023,2023-12-31,16,17,28.107,WAS,,SFO,L 10-27,*,7,4,61,15.25,1,57.1%,8.71,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,89%,0,0%,0,0%,
83,2023,2024-01-07,17,18,28.114,WAS,,DAL,L 10-38,*,8,6,56,9.33,0,75.0%,7.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,88%,0,0%,0,0%,
84,2024,2024-09-08,1,1,28.359,WAS,@,TAM,L 20-37,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,81%,0,0%,0,0%,
85,2024,2024-09-15,2,2,29.000,WAS,,NYG,W 21-18,*,8,6,22,3.67,0,75.0%,2.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,92%,0,0%,0,0%,
86,2024,2024-09-23,3,3,29.008,WAS,@,CIN,W 38-33,*,6,4,100,25.00,1,66.7%,16.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,1,4%,
87,2024,2024-09-29,4,4,29.014,WAS,@,ARI,W 42-14,*,10,7,52,7.43,1,70.0%,5.20,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,71%,0,0%,0,0%,
88,2024,2024-10-06,5,5,29.021,WAS,,CLE,W 34-13,*,8,4,112,28.00,0,50.0%,14.00,1,2,2.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,45,67%,0,0%,0,0%,
89,2024,2024-10-13,6,6,29.028,WAS,@,BAL,L 23-30,*,7,6,53,8.83,2,85.7%,7.57,1,0,0.00,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,47,80%,0,0%,0,0%,
90,2024,2024-10-20,7,7,29.035,WAS,,CAR,W 40-7,*,6,6,98,16.33,0,100.0%,16.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,71%,0,0%,0,0%,
91,2024,2024-10-27,8,8,29.042,WAS,,CHI,W 18-15,*,8,5,125,25.00,0,62.5%,15.63,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,72%,0,0%,0,0%,
92,2024,2024-11-03,9,9,29.049,WAS,@,NYG,W 27-22,*,3,2,19,9.50,2,66.7%,6.33,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,
93,2024,2024-11-10,10,10,29.056,WAS,,PIT,L 27-28,*,6,5,113,22.60,0,83.3%,18.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,
94,2024,2024-11-14,11,11,29.060,WAS,@,PHI,L 18-26,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,71%,0,0%,0,0%,
