Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct,Status
63,2022,2022-12-17,14,15,26.105,MIA,@,BUF,L 29-32,,,,,,,0.0%,,0,0%,0,0%,5,17%,
64,2022,2022-12-25,15,16,26.113,MIA,,GNB,L 20-26,,,,,,,0.0%,,0,0%,0,0%,5,19%,
65,2022,2023-01-01,16,17,26.120,MIA,@,NWE,L 21-23,,,,,,,0.0%,,0,0%,0,0%,4,15%,
66,2022,2023-01-08,17,18,26.127,MIA,,NYJ,W 11-6,,,,,,,0.0%,,0,0%,0,0%,3,14%,
67,2023,2023-09-10,1,1,27.007,HOU,@,BAL,L 9-25,,,,,,,0.0%,,15,19%,0,0%,3,12%,
68,2023,2023-09-17,2,2,27.014,HOU,,IND,L 20-31,,,,,,,0.0%,,0,0%,0,0%,5,17%,
69,2023,2023-09-24,3,3,27.021,HOU,@,JAX,W 37-17,,,,,,,0.0%,,0,0%,0,0%,7,24%,
70,2023,2023-10-01,4,4,,HOU,,PIT,W 30-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,2023,2023-10-08,5,5,27.035,HOU,@,ATL,L 19-21,,,,,,,0.0%,,0,0%,0,0%,5,17%,
72,2023,2023-10-15,6,6,27.042,HOU,,NOR,W 20-13,,,,,,,0.0%,,0,0%,0,0%,4,15%,
73,2023,2023-10-29,7,8,27.056,HOU,@,CAR,L 13-15,,,,,,,0.0%,,4,7%,0,0%,1,4%,
74,2023,2023-11-05,8,9,27.063,HOU,,TAM,W 39-37,*,,,,,,0.0%,,72,100%,0,0%,0,0%,
75,2023,2023-11-12,9,10,27.070,HOU,@,CIN,W 30-27,*,,,,,,0.0%,,75,100%,0,0%,0,0%,
76,2023,2023-11-19,10,11,27.077,HOU,,ARI,W 21-16,*,,,,,,0.0%,,67,100%,0,0%,0,0%,
77,2023,2023-11-26,11,12,27.084,HOU,,JAX,L 21-24,*,,,,,,0.0%,,60,100%,0,0%,0,0%,
78,2023,2023-12-03,12,13,27.091,HOU,,DEN,W 22-17,*,,,,,,0.0%,,68,100%,0,0%,0,0%,
79,2023,2023-12-10,13,14,27.098,HOU,@,NYJ,L 6-30,*,,,,,,0.0%,,56,100%,0,0%,0,0%,
80,2023,2023-12-17,14,15,27.105,HOU,@,TEN,W 19-16,*,,,,,,0.0%,,77,100%,0,0%,0,0%,
81,2023,2023-12-24,15,16,27.112,HOU,,CLE,L 22-36,*,,,,,,0.0%,,75,100%,0,0%,0,0%,
82,2023,2023-12-31,16,17,27.119,HOU,,TEN,W 26-3,*,,,,,,0.0%,,61,100%,0,0%,0,0%,
83,2023,2024-01-06,17,18,27.125,HOU,@,IND,W 23-19,*,,,,,,0.0%,,56,100%,0,0%,0,0%,
84,2024,2024-09-08,1,1,28.005,WAS,@,TAM,L 20-37,,,,,,,0.0%,,0,0%,0,0%,4,15%,
85,2024,2024-09-15,2,2,28.012,WAS,,NYG,W 21-18,,,,,,,0.0%,,1,1%,0,0%,7,33%,
86,2024,2024-09-23,3,3,28.020,WAS,@,CIN,W 38-33,,,,,,,0.0%,,0,0%,0,0%,6,23%,
87,2024,2024-09-29,4,4,28.026,WAS,@,ARI,W 42-14,,,,,,,0.0%,,3,4%,0,0%,6,26%,
88,2024,2024-10-06,5,5,28.033,WAS,,CLE,W 34-13,,,,,,,0.0%,,9,13%,0,0%,6,19%,
89,2024,2024-10-13,6,6,28.040,WAS,@,BAL,L 23-30,,,,,,,0.0%,,0,0%,0,0%,6,21%,
90,2024,2024-10-20,7,7,28.047,WAS,,CAR,W 40-7,,,,,,,0.0%,,15,22%,0,0%,8,31%,
91,2024,2024-10-27,8,8,28.054,WAS,,CHI,W 18-15,,,,,,,0.0%,,2,3%,0,0%,5,19%,
92,2024,2024-11-03,9,9,28.061,WAS,@,NYG,W 27-22,,,,,,,0.0%,,0,0%,0,0%,5,23%,
93,2024,2024-11-10,10,10,28.068,WAS,,PIT,L 27-28,,,,,,,0.0%,,5,8%,0,0%,5,16%,
94,2024,2024-11-14,11,11,28.072,WAS,@,PHI,L 18-26,,,,,,,0.0%,,0,0%,0,0%,2,7%,
