Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
94,2022,2022-10-30,8,8,,SEA,,NYG,W 27-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
95,2022,2022-11-06,9,9,,SEA,@,ARI,W 31-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
96,2022,2022-11-13,10,10,,SEA,@,TAM,L 16-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
97,2022,2022-11-27,11,12,,SEA,,LVR,L 34-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
98,2022,2022-12-04,12,13,,SEA,@,LAR,W 27-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2022,2022-12-11,13,14,,SEA,,CAR,L 24-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
100,2022,2022-12-15,14,15,,SEA,,SFO,L 13-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
101,2022,2022-12-24,15,16,,SEA,@,KAN,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
102,2022,2023-01-01,16,17,,SEA,,NYJ,W 23-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
103,2022,2023-01-08,17,18,,SEA,,LAR,W 19-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
104,2023,2023-09-10,1,1,31.194,BAL,,HOU,W 25-9,,,,,,,,,,,,,,0,0%,0,0%,9,36%,
105,2023,2023-09-17,2,2,31.201,BAL,@,CIN,W 27-24,,,,,,,,,,,,,,0,0%,0,0%,8,32%,
106,2023,2023-09-24,3,3,31.208,BAL,,IND,L 19-22,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,11,31%,
107,2023,2023-10-01,4,4,31.215,BAL,@,CLE,W 28-3,,,,,,,,,,,,,,0,0%,0,0%,11,39%,
108,2023,2023-10-08,5,5,31.222,BAL,@,PIT,L 10-17,,,,,,,,,,,,,,0,0%,0,0%,7,28%,
109,2023,2023-10-15,6,6,31.229,BAL,@,TEN,W 24-16,,,,,,,,,,,,,,0,0%,0,0%,10,32%,
110,2023,2023-10-22,7,7,31.236,BAL,,DET,W 38-6,,,,,,,,,,,,,,0,0%,0,0%,8,38%,
111,2023,2023-10-29,8,8,31.243,BAL,@,ARI,W 31-24,,,,,,,,,,,,,,0,0%,0,0%,11,39%,
112,2023,2023-11-05,9,9,31.250,BAL,,SEA,W 37-3,,,,,,,,,,,,,,0,0%,0,0%,9,33%,
113,2023,2023-11-12,10,10,31.257,BAL,,CLE,L 31-33,,,,,,,,,,,,,,0,0%,0,0%,10,32%,
114,2023,2023-11-16,11,11,31.261,BAL,,CIN,W 34-20,,,,,,,,,,,,,,0,0%,0,0%,10,31%,
115,2023,2023-11-26,12,12,31.271,BAL,@,LAC,W 20-10,,,,,,,,,,,,,,0,0%,0,0%,8,38%,
116,2023,2023-12-10,13,14,31.285,BAL,,LAR,W 37-31,,,,,,,,,,,,,,0,0%,0,0%,9,24%,
117,2023,2023-12-17,14,15,31.292,BAL,@,JAX,W 23-7,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,8,36%,
118,2023,2023-12-25,15,16,31.300,BAL,@,SFO,W 33-19,,,,,,,,,,,,,,0,0%,0,0%,10,37%,
119,2023,2023-12-31,16,17,31.306,BAL,,MIA,W 56-19,,,,,,,,,,,,,,0,0%,0,0%,10,33%,
120,2023,2024-01-06,17,18,31.312,BAL,,PIT,L 10-17,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,10,37%,
121,2024,2024-09-08,1,1,32.193,WAS,@,TAM,L 20-37,,,,,,,,,,,,,,0,0%,0,0%,7,26%,
122,2024,2024-09-15,2,2,32.200,WAS,,NYG,W 21-18,,,,,,,,,,,,,,0,0%,0,0%,7,33%,
123,2024,2024-09-23,3,3,32.208,WAS,@,CIN,W 38-33,,,,,,,,,,,,,,0,0%,0,0%,6,23%,
124,2024,2024-09-29,4,4,32.214,WAS,@,ARI,W 42-14,,,,,,,,,,,,,,0,0%,0,0%,7,30%,
125,2024,2024-10-06,5,5,32.221,WAS,,CLE,W 34-13,,,,,,,,,,,,,,0,0%,0,0%,10,32%,
126,2024,2024-10-13,6,6,32.228,WAS,@,BAL,L 23-30,,,,,,,,,,,,,,0,0%,0,0%,9,31%,
127,2024,2024-10-20,7,7,32.235,WAS,,CAR,W 40-7,,,,,,,,,,,,,,0,0%,0,0%,9,35%,
128,2024,2024-10-27,8,8,32.242,WAS,,CHI,W 18-15,,,,,,,,,,,,,,0,0%,0,0%,10,38%,
129,2024,2024-11-03,9,9,32.249,WAS,@,NYG,W 27-22,,,,,,,,,,,,,,0,0%,0,0%,7,32%,
130,2024,2024-11-10,10,10,32.256,WAS,,PIT,L 27-28,,,,,,,,,,,,,,0,0%,0,0%,11,34%,
131,2024,2024-11-14,11,11,32.260,WAS,@,PHI,L 18-26,,,,,,,,,,,,,,0,0%,0,0%,7,26%,
