Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2022,2022-10-30,8,8,,CAR,@,ATL,L 34-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2022,2022-11-06,9,9,,CAR,@,CIN,L 21-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2022,2022-11-10,10,10,,CAR,,ATL,W 25-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2022,2022-11-20,11,11,24.267,CAR,@,BAL,L 3-13,*,0,0,,0,0,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,3,13%,
45,2022,2022-11-27,12,12,24.274,CAR,,DEN,W 23-10,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,100%,1,3%,
46,2022,2022-12-11,13,14,24.288,CAR,@,SEA,W 30-24,*,0,0,,0,0,0,0.0,3,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,100%,1,4%,
47,2022,2022-12-18,14,15,24.295,CAR,,PIT,L 16-24,*,0,0,,0,0,0,0.0,11,3,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,5,20%,
48,2022,2022-12-24,15,16,24.301,CAR,,DET,W 37-23,*,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,3,10%,
49,2022,2023-01-01,16,17,24.309,CAR,@,TAM,L 24-30,*,0,0,,0,0,0,0.0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,78,100%,0,0%,
50,2022,2023-01-08,17,18,24.316,CAR,@,NOR,W 10-7,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,100%,0,0%,
51,2023,2023-09-10,1,1,25.196,CAR,@,ATL,L 10-24,*,0,0,,0,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,73%,6,23%,
52,2023,2023-09-18,2,2,25.204,CAR,,NOR,L 17-20,*,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,27,35%,7,26%,
53,2023,2023-09-24,3,3,25.210,CAR,@,SEA,L 27-37,*,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,77%,13,37%,
54,2023,2023-10-01,4,4,25.217,CAR,,MIN,L 13-21,*,0,0,,0,0,0,1.0,6,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,31,65%,4,18%,
55,2023,2023-10-08,5,5,25.224,CAR,@,DET,L 24-42,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,30%,11,41%,
56,2023,2023-10-15,6,6,25.231,CAR,@,MIA,L 21-42,*,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,39%,7,23%,
