Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,,1,,DAL,,NYG,W 19-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2020,2020-11-01,8,8,24.300,DAL,@,PHI,L 9-23,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,20%,0,0%,11,52%,
41,2020,2020-11-08,9,9,24.307,DAL,,PIT,L 19-24,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,8,11%,0,0%,15,56%,
42,2020,2020-11-22,10,11,24.321,DAL,@,MIN,W 31-28,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,15,58%,
43,2020,2020-11-26,11,12,24.325,DAL,,WAS,L 16-41,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,22%,0,0%,15,52%,
44,2020,2020-12-08,12,13,24.337,DAL,@,BAL,L 17-34,,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,14%,0,0%,12,43%,
45,2020,2020-12-13,13,14,24.342,DAL,@,CIN,W 30-7,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,8,16%,0,0%,11,52%,
46,2020,2020-12-20,14,15,24.349,DAL,,SFO,W 41-33,,6,1,13,13.00,0,16.7%,2.17,1,4,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,29%,0,0%,17,45%,
47,2020,2020-12-27,15,16,24.356,DAL,,PHI,W 37-17,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,18,26%,0,0%,14,45%,
48,2020,2021-01-03,16,17,24.363,DAL,@,NYG,L 19-23,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,1,1%,0,0%,6,20%,
49,2021,2021-09-09,1,1,,DAL,@,TAM,L 29-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,2021,2021-09-19,2,2,25.256,DAL,@,LAC,W 20-17,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,12,19%,0,0%,10,53%,
51,2021,2021-09-27,3,3,25.264,DAL,,PHI,W 41-21,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,22,29%,0,0%,21,70%,
52,2021,2021-10-03,4,4,25.270,DAL,,CAR,W 36-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,34%,0,0%,13,45%,
53,2021,2021-10-10,5,5,25.277,DAL,,NYG,W 44-20,,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,29%,0,0%,10,33%,
54,2021,2021-10-17,6,6,25.284,DAL,@,NWE,W 35-29,,2,2,47,23.50,0,100.0%,23.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,20%,0,0%,18,64%,
55,2021,2021-10-31,7,8,25.298,DAL,@,MIN,W 20-16,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,18%,0,0%,21,70%,
56,2021,2021-11-07,8,9,25.305,DAL,,DEN,L 16-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,17,74%,
57,2021,2021-11-14,9,10,25.312,DAL,,ATL,W 43-3,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,28,36%,0,0%,18,72%,
58,2021,2021-11-21,10,11,25.319,DAL,@,KAN,L 9-19,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,64%,0,0%,9,33%,
59,2021,2021-11-25,11,12,25.323,DAL,,LVR,L 33-36,,9,6,53,8.83,0,66.7%,5.89,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,93%,0,0%,2,5%,
60,2021,2021-12-02,12,13,25.330,DAL,@,NOR,W 27-17,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,3,9%,
61,2021,2021-12-12,13,14,,DAL,@,WAS,W 27-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2021,2021-12-19,14,15,,DAL,@,NYG,W 21-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2021,2021-12-26,15,16,,DAL,,WAS,W 56-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2021,2022-01-02,16,17,25.361,DAL,,ARI,L 22-25,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,4,6%,0,0%,18,69%,
65,2021,2022-01-08,17,18,26.002,DAL,@,PHI,W 51-26,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,12,19%,0,0%,19,61%,
66,2021,2022-01-08,17,18,,DAL,@,PHI,W 51-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2022,2022-09-11,1,1,26.248,DAL,,TAM,L 3-19,*,9,5,68,13.60,0,55.6%,7.56,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,88%,0,0%,5,21%,
68,2022,2022-09-18,2,2,26.255,DAL,,CIN,W 20-17,*,5,5,91,18.20,1,100.0%,18.20,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,5,19%,
69,2022,2022-09-26,3,3,26.263,DAL,@,NYG,W 23-16,*,7,5,54,10.80,0,71.4%,7.71,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,80%,0,0%,4,14%,
70,2022,2022-10-02,4,4,26.269,DAL,,WAS,W 25-10,*,6,3,61,20.33,0,50.0%,10.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,79%,0,0%,4,13%,
71,2022,2022-10-09,5,5,26.276,DAL,@,LAR,W 22-10,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,76%,0,0%,6,20%,
