Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
47,2021,2021-12-26,15,16,,DET,@,ATL,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,2021,2022-01-02,16,17,,DET,@,SEA,L 29-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2021,2022-01-09,17,18,,DET,,GNB,W 37-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2022,2022-09-11,1,1,25.300,DET,,PHI,L 35-38,,5,5,100.0,,,,0,5,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,35%,
51,2022,2022-09-18,2,2,25.307,DET,,WAS,W 36-27,,4,4,100.0,2,2,100.0,0,10,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,41%,
52,2022,2022-09-25,3,3,25.314,DET,@,MIN,L 24-28,,3,3,100.0,1,3,33.3,0,6,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,39%,
53,2022,2022-10-02,4,4,,DET,,SEA,L 45-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-09-17,2,2,26.306,NYJ,@,DAL,L 10-30,,1,1,100.0,1,1,100.0,0,4,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,18%,
55,2023,2023-09-24,3,3,,NYJ,,NWE,L 10-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2023,2023-12-03,12,13,,NOR,,DET,L 28-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2023,2023-12-28,16,17,,NYJ,@,CLE,L 20-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2023,2024-01-07,17,18,,NYJ,@,NWE,W 17-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,2024,2024-09-15,2,2,27.305,WAS,,NYG,W 21-18,,,,,7,7,100.0,0,21,0,0,,0,0,,0,,0,,0,0,0%,0,0%,14,67%,
60,2024,2024-09-23,3,3,27.313,WAS,@,CIN,W 38-33,,5,5,100.0,1,1,100.0,0,8,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,50%,
61,2024,2024-09-29,4,4,27.319,WAS,@,ARI,W 42-14,,4,4,100.0,2,2,100.0,0,10,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,57%,
62,2024,2024-10-06,5,5,27.326,WAS,,CLE,W 34-13,,4,4,100.0,2,2,100.0,0,10,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,42%,
63,2024,2024-10-13,6,6,27.333,WAS,@,BAL,L 23-30,,2,2,100.0,3,4,75.0,0,11,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,41%,
64,2024,2024-10-20,7,7,27.340,WAS,,CAR,W 40-7,,4,4,100.0,4,4,100.0,0,16,0,0,,0,0,,0,,0,,0,0,0%,0,0%,17,65%,
65,2024,2024-10-27,8,8,27.347,WAS,,CHI,W 18-15,,,,,4,5,80.0,0,12,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,38%,
66,2024,2024-11-03,9,9,27.354,WAS,@,NYG,W 27-22,,3,3,100.0,2,2,100.0,0,9,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,50%,
67,2024,2024-11-10,10,10,,WAS,,PIT,L 27-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,2024,2024-11-14,11,11,,WAS,@,PHI,L 18-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
