Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
28,2023,2023-11-23,11,12,,SEA,,SFO,L 13-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2023,2023-11-30,12,13,,SEA,@,DAL,L 35-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2023,2023-12-10,13,14,23.051,SEA,@,SFO,L 16-28,*,8,21,2.63,0,5,4,33,8.25,0,80.0%,6.60,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,56%,0,0%,0,0%,
31,2023,2023-12-18,14,15,23.059,SEA,,PHI,W 20-17,*,19,86,4.53,1,3,3,26,8.67,0,100.0%,8.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,56%,0,0%,0,0%,
32,2023,2023-12-24,15,16,23.065,SEA,@,TEN,W 20-17,*,16,54,3.38,0,2,1,2,2.00,0,50.0%,1.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,58%,0,0%,0,0%,
33,2023,2023-12-31,16,17,23.072,SEA,,PIT,L 23-30,*,10,53,5.30,1,3,3,22,7.33,0,100.0%,7.33,1,6,0.0,0,0,0,0,0,1,0,0,1,-7,0,21,43%,0,0%,0,0%,
34,2023,2024-01-07,17,18,23.079,SEA,@,ARI,W 21-20,*,17,78,4.59,0,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,49%,0,0%,0,0%,
35,2024,2024-09-08,1,1,23.324,SEA,,DEN,W 26-20,*,20,103,5.15,1,3,2,6,3.00,0,66.7%,2.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,66%,0,0%,0,0%,
36,2024,2024-09-15,2,2,,SEA,@,NWE,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2024,2024-09-22,3,3,,SEA,,MIA,W 24-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2024,2024-09-30,4,4,23.346,SEA,@,DET,L 29-42,*,12,80,6.67,3,5,4,36,9.00,0,80.0%,7.20,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,53,59%,0,0%,0,0%,
39,2024,2024-10-06,5,5,23.352,SEA,,NYG,L 20-29,*,5,19,3.80,0,8,7,57,8.14,0,87.5%,7.13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,
40,2024,2024-10-10,6,6,23.356,SEA,,SFO,L 24-36,*,14,32,2.29,1,8,8,37,4.63,0,100.0%,4.63,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,69%,0,0%,0,0%,
41,2024,2024-10-20,7,7,24.000,SEA,@,ATL,W 34-14,*,14,69,4.93,1,2,2,24,12.00,1,100.0%,12.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,28,47%,0,0%,0,0%,
42,2024,2024-10-27,8,8,24.007,SEA,,BUF,L 10-31,*,9,12,1.33,0,5,4,33,8.25,0,80.0%,6.60,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,28,55%,0,0%,0,0%,
43,2024,2024-11-03,9,9,24.014,SEA,,LAR,L 20-26,*,25,83,3.32,0,3,3,24,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,0,0,0,0,0,1,-3,0,61,76%,0,0%,0,0%,
44,2024,2024-11-17,10,11,24.028,SEA,@,SFO,W 20-17,*,14,54,3.86,1,2,2,5,2.50,0,100.0%,2.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,73%,0,0%,0,0%,
45,2024,2024-11-24,11,12,24.035,SEA,,ARI,W 16-6,*,16,41,2.56,0,6,4,52,13.00,0,66.7%,8.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,64%,0,0%,0,0%,
