Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
41,2020,2020-11-15,9,10,24.316,SEA,@,LAR,L 16-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,147,49.00,15,132,44.0,0,0.0%,2,66.7%,0,0,0%,0,0%,8,33%
42,2020,2020-11-19,10,11,24.320,SEA,,ARI,W 28-21,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,174,43.50,8,166,41.5,0,0.0%,1,25.0%,0,0,0%,0,0%,9,35%
43,2020,2020-11-30,11,12,24.331,SEA,@,PHI,W 23-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,156,52.00,19,137,45.7,0,0.0%,1,33.3%,0,0,0%,0,0%,8,32%
44,2020,2020-12-06,12,13,24.337,SEA,,NYG,L 12-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,242,48.40,0,202,40.4,2,40.0%,2,40.0%,0,0,0%,0,0%,8,30%
45,2020,2020-12-13,13,14,24.344,SEA,,NYJ,W 40-3,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,83,41.50,11,72,36.0,0,0.0%,1,50.0%,0,0,0%,0,0%,9,32%
46,2020,2020-12-20,14,15,24.351,SEA,@,WAS,W 20-15,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,203,50.75,-1,204,51.0,0,0.0%,4,100.0%,0,0,0%,0,0%,8,33%
47,2020,2020-12-27,15,16,24.358,SEA,,LAR,W 20-9,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,243,48.60,11,232,46.4,0,0.0%,4,80.0%,0,0,0%,0,0%,10,37%
48,2020,2021-01-03,16,17,24.365,SEA,@,SFO,W 26-23,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,266,53.20,36,230,46.0,0,0.0%,1,20.0%,0,0,0%,0,0%,10,31%
49,2021,2021-09-12,1,1,25.251,SEA,@,IND,W 28-16,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,185,37.00,7,178,35.6,0,0.0%,4,80.0%,0,0,0%,0,0%,9,38%
50,2021,2021-09-19,2,2,25.258,SEA,,TEN,L 30-33,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,310,51.67,32,238,39.7,2,33.3%,2,33.3%,0,0,0%,0,0%,12,33%
