Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2023,2023-10-01,4,4,23.015,WAS,@,PHI,L 31-34,*,29,41,70.73,290,1,0,98.6,5,32,7.07,7.56,6,40,6.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
22,2023,2023-10-05,5,5,23.019,WAS,,CHI,L 20-40,*,37,51,72.55,388,2,1,99.1,5,29,7.61,7.51,4,19,4.75,0,0,0,0,,0,0.0%,,1,0,2,0,0,0,0,0,0,70,100%,0,0%,0,0%,
23,2023,2023-10-15,6,6,23.029,WAS,@,ATL,W 24-16,*,14,23,60.87,151,3,0,119.7,5,30,6.57,9.17,4,3,0.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,
24,2023,2023-10-22,7,7,23.036,WAS,@,NYG,L 7-14,*,22,42,52.38,249,0,1,60.5,6,52,5.93,4.86,2,15,7.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
25,2023,2023-10-29,8,8,23.043,WAS,,PHI,L 31-38,*,39,52,75.00,397,4,1,114.0,1,9,7.63,8.31,3,11,3.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%,
26,2023,2023-11-05,9,9,23.050,WAS,@,NWE,W 20-17,*,29,45,64.44,325,1,1,84.0,3,17,7.22,6.67,5,27,5.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
27,2023,2023-11-12,10,10,23.057,WAS,@,SEA,L 26-29,*,29,44,65.91,312,3,0,109.3,3,24,7.09,8.45,2,17,8.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,61,100%,0,0%,0,0%,
28,2023,2023-11-19,11,11,23.064,WAS,,NYG,L 19-31,*,31,45,68.89,256,1,3,62.8,4,26,5.69,3.13,3,35,11.67,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,81,100%,0,0%,0,0%,
29,2023,2023-11-23,12,12,23.068,WAS,@,DAL,L 10-45,*,28,44,63.64,300,0,1,74.1,4,32,6.82,5.80,2,13,6.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,78,100%,0,0%,0,0%,
30,2023,2023-12-03,13,13,23.078,WAS,,MIA,L 15-45,*,12,23,52.17,127,0,1,50.5,3,20,5.52,3.57,4,21,5.25,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,52,95%,0,0%,0,0%,
31,2023,2023-12-17,14,15,23.092,WAS,@,LAR,L 20-28,*,11,26,42.31,102,1,1,50.5,1,8,3.92,2.96,3,22,7.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,44,73%,0,0%,0,0%,
32,2023,2023-12-24,15,16,23.099,WAS,@,NYJ,L 28-30,*,6,22,27.27,56,0,2,1.7,1,13,2.55,-1.55,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,34,56%,0,0%,0,0%,
33,2023,2023-12-31,16,17,23.106,WAS,,SFO,L 10-27,*,17,28,60.71,169,1,2,60.0,1,6,6.04,3.54,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,46,100%,0,0%,0,0%,
