Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
74,2019,2019-11-11,10,10,27.044,SEA,@,SFO,W 27-24,*,4,3,26,8.67,0,75.0%,6.50,1,3,3.00,0,3,43,14.33,0,1,20,20.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,71%,0,0%,10,29%,
75,2019,2019-11-24,11,12,27.057,SEA,@,PHI,W 17-9,*,2,1,38,38.00,0,50.0%,19.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,
76,2019,2019-12-02,12,13,27.065,SEA,,MIN,W 37-30,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,88%,0,0%,0,0%,
77,2019,2019-12-08,13,14,27.071,SEA,@,LAR,L 12-28,*,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,0,0%,
78,2019,2019-12-15,14,15,27.078,SEA,@,CAR,W 30-24,*,9,8,120,15.00,1,88.9%,13.33,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,79%,0,0%,2,7%,
79,2019,2019-12-22,15,16,27.085,SEA,,ARI,L 13-27,*,7,1,12,12.00,0,14.3%,1.71,0,0,,0,1,18,18.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,84%,0,0%,3,9%,
80,2019,2019-12-29,16,17,27.092,SEA,,SFO,L 21-26,*,7,6,51,8.50,1,85.7%,7.29,0,0,,0,1,17,17.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,70,93%,0,0%,6,26%,
81,2020,2020-09-13,1,1,27.351,SEA,@,ATL,W 38-25,*,8,8,92,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,94%,0,0%,0,0%,
82,2020,2020-09-20,2,2,27.358,SEA,,NWE,W 35-30,*,8,7,67,9.57,1,87.5%,8.38,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,
83,2020,2020-09-27,3,3,27.365,SEA,,DAL,W 38-31,*,13,9,100,11.11,3,69.2%,7.69,0,0,,0,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,74,97%,0,0%,0,0%,
84,2020,2020-10-04,4,4,28.006,SEA,@,MIA,W 31-23,*,4,2,39,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,89%,0,0%,0,0%,
85,2020,2020-10-11,5,5,28.013,SEA,,MIN,W 27-26,*,5,4,44,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,
86,2020,2020-10-25,6,7,28.027,SEA,@,ARI,L 34-37,*,20,15,200,13.33,3,75.0%,10.00,0,0,,0,1,9,9.00,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,78,93%,0,0%,2,6%,
87,2020,2020-11-01,7,8,28.034,SEA,,SFO,W 37-27,*,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
88,2020,2020-11-08,8,9,28.041,SEA,@,BUF,L 34-44,*,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,
89,2020,2020-11-15,9,10,28.048,SEA,@,LAR,L 16-23,*,9,5,66,13.20,0,55.6%,7.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,
90,2020,2020-11-19,10,11,28.052,SEA,,ARI,W 28-21,*,9,9,67,7.44,1,100.0%,7.44,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,0,0%,
91,2020,2020-11-30,11,12,28.063,SEA,@,PHI,W 23-17,*,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,90%,0,0%,0,0%,
92,2020,2020-12-06,12,13,28.069,SEA,,NYG,L 12-17,*,9,6,63,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,62,86%,0,0%,0,0%,
93,2020,2020-12-13,13,14,28.076,SEA,,NYJ,W 40-3,*,5,5,52,10.40,0,100.0%,10.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,
94,2020,2020-12-20,14,15,28.083,SEA,@,WAS,W 20-15,*,7,4,34,8.50,0,57.1%,4.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,91%,0,0%,0,0%,
95,2020,2020-12-27,15,16,28.090,SEA,,LAR,W 20-9,*,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,
96,2020,2021-01-03,16,17,28.097,SEA,@,SFO,W 26-23,*,14,12,90,7.50,2,85.7%,6.43,0,0,,0,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,
