Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
77,2021,2021-12-12,13,14,29.146,NYJ,,NOR,L 9-30,*,,,,,,0.0%,,,,,,,,,,,,,,66,100%,0,0%,0,0%,
78,2021,2021-12-19,14,15,,NYJ,@,MIA,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,2021,2021-12-26,15,16,29.160,NYJ,,JAX,W 26-21,*,,,,,,0.0%,,,,,,,,,,,,,,58,100%,0,0%,6,25%,
80,2021,2022-01-02,16,17,29.167,NYJ,,TAM,L 24-28,*,,,,,,0.0%,,,,,,,,,,,,,,20,33%,0,0%,0,0%,
81,2021,2022-01-09,17,18,,NYJ,@,BUF,L 10-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,2022,2022-09-11,1,1,30.054,NYJ,,BAL,L 9-24,*,,,,,,0.0%,,,,,,,,,,,,,,84,100%,0,0%,3,11%,
83,2022,2022-09-18,2,2,30.061,NYJ,@,CLE,W 31-30,*,,,,,,0.0%,,,,,,,,,,,,,,70,100%,0,0%,5,17%,
84,2022,2022-09-25,3,3,30.068,NYJ,,CIN,L 12-27,*,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,1,0,0,0,43,55%,0,0%,0,0%,
85,2022,2022-10-02,4,4,,NYJ,@,PIT,W 24-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
86,2022,2022-10-09,5,5,,NYJ,,MIA,W 40-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2022,2022-10-16,6,6,,NYJ,@,GNB,W 27-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2022,2022-10-23,7,7,,NYJ,@,DEN,W 16-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2022,2022-10-30,8,8,,NYJ,,NWE,L 17-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2022,2022-11-06,9,9,,NYJ,,BUF,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
91,2022,2022-11-20,10,11,,NYJ,@,NWE,L 3-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
92,2022,2022-11-27,11,12,,NYJ,,CHI,W 31-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
93,2022,2022-12-04,12,13,30.138,NYJ,@,MIN,L 22-27,,,,,,,0.0%,,,,,,,,,,,,,,60,71%,0,0%,0,0%,
94,2022,2022-12-11,13,14,30.145,NYJ,@,BUF,L 12-20,*,,,,,,0.0%,,,,,,,,,,,,,,69,93%,0,0%,0,0%,
95,2022,2022-12-18,14,15,30.152,NYJ,,DET,L 17-20,*,,,,,,0.0%,,,,,,,,,,,,,,63,100%,0,0%,0,0%,
96,2022,2022-12-22,15,16,30.156,NYJ,,JAX,L 3-19,*,,,,,,0.0%,,,,,,,,,,,,,,59,100%,0,0%,0,0%,
97,2022,2023-01-01,16,17,30.166,NYJ,@,SEA,L 6-23,*,,,,,,0.0%,,,,,,,,,,,,,,70,100%,0,0%,0,0%,
98,2022,2023-01-08,17,18,,NYJ,@,MIA,L 6-11,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2023,2023-09-10,1,1,31.053,HOU,@,BAL,L 9-25,*,,,,,,0.0%,,,,,,,,,,,,,,62,81%,0,0%,3,12%,
100,2023,2023-09-17,2,2,31.060,HOU,,IND,L 20-31,*,,,,,,0.0%,,,,,,,,,,,,,,84,100%,0,0%,5,17%,
101,2023,2023-09-24,3,3,31.067,HOU,@,JAX,W 37-17,*,,,,,,0.0%,,,,,,,,,,,,,,56,100%,0,0%,7,24%,
102,2023,2023-10-01,4,4,31.074,HOU,,PIT,W 30-6,*,,,,,,0.0%,,,,,,,,,,,,,,71,100%,0,0%,6,24%,
103,2023,2023-10-08,5,5,31.081,HOU,@,ATL,L 19-21,*,,,,,,0.0%,,,,,,,,,,,,,,58,100%,0,0%,5,17%,
104,2023,2023-10-15,6,6,31.088,HOU,,NOR,W 20-13,*,,,,,,0.0%,,,,,,,,,,,,,,63,100%,0,0%,4,15%,
105,2023,2023-10-29,7,8,31.102,HOU,@,CAR,L 13-15,*,,,,,,0.0%,,,,,,,,,,,,,,58,100%,0,0%,1,4%,
106,2023,2023-11-05,8,9,31.109,HOU,,TAM,W 39-37,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,6,0,72,100%,0,0%,3,9%,
107,2023,2023-11-12,9,10,31.116,HOU,@,CIN,W 30-27,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,6,19%,
108,2023,2023-11-19,10,11,31.123,HOU,,ARI,W 21-16,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,4,22%,
109,2023,2023-11-26,11,12,31.130,HOU,,JAX,L 21-24,*,,,,,,0.0%,,,,,,,,,,,,,,60,100%,0,0%,5,19%,
110,2023,2023-12-03,12,13,31.137,HOU,,DEN,W 22-17,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,4,13%,
111,2023,2023-12-10,13,14,31.144,HOU,@,NYJ,L 6-30,*,,,,,,0.0%,,,,,,,,,,,,,,56,100%,0,0%,1,3%,
112,2023,2023-12-17,14,15,,HOU,@,TEN,W 19-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
113,2023,2023-12-24,15,16,31.158,HOU,,CLE,L 22-36,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,2,8%,
114,2023,2023-12-31,16,17,31.165,HOU,,TEN,W 26-3,,,,,,,0.0%,,,,,,,,,,,,,,41,67%,0,0%,6,25%,
115,2023,2024-01-06,17,18,31.171,HOU,@,IND,W 23-19,,,,,,,0.0%,,,,,,,,,,,,,,23,41%,0,0%,4,13%,
116,2024,2024-09-08,1,1,32.051,SEA,,DEN,W 26-20,*,,,,,,0.0%,,,,,,,,,,,,,,13,19%,0,0%,0,0%,
117,2024,2024-09-15,2,2,,SEA,@,NWE,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
118,2024,2024-09-22,3,3,,SEA,,MIA,W 24-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
119,2024,2024-09-30,4,4,,SEA,@,DET,L 29-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
120,2024,2024-10-06,5,5,,SEA,,NYG,L 20-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
121,2024,2024-10-10,6,6,,SEA,,SFO,L 24-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
122,2024,2024-10-20,7,7,,SEA,@,ATL,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
123,2024,2024-10-27,8,8,,SEA,,BUF,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
124,2024,2024-11-03,9,9,32.107,SEA,,LAR,L 20-26,*,,,,,,0.0%,,,,,,,,,,,,,,17,21%,0,0%,0,0%,
125,2024,2024-11-17,10,11,,SEA,@,SFO,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
