Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
62,2016,2016-12-18,,15,,PHI,@,BAL,L 26-27,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
63,2016,2016-12-22,15,16,26.228,PHI,,NYG,W 24-19,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,56,100%,0,0%,4,14%,
64,2016,2017-01-01,16,17,26.238,PHI,,DAL,W 27-13,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,76,100%,0,0%,6,21%,
65,2017,2017-09-10,1,1,27.125,PHI,@,WAS,W 30-17,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,69,100%,0,0%,5,19%,
66,2017,2017-09-17,2,2,27.132,PHI,@,KAN,L 20-27,*,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,72,100%,0,0%,5,17%,
67,2017,2017-09-24,3,3,27.139,PHI,,NYG,W 27-24,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,76,100%,0,0%,6,21%,
68,2017,2017-10-01,4,4,27.146,PHI,@,LAC,W 26-24,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,79,100%,0,0%,6,22%,
69,2017,2017-10-08,5,5,27.153,PHI,,ARI,W 34-7,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,33,49%,0,0%,3,11%,
70,2017,2017-10-12,,6,,PHI,@,CAR,W 28-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,2017,2017-10-23,7,7,27.168,PHI,,WAS,W 34-24,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,65,100%,0,0%,7,22%,
72,2017,2017-10-29,8,8,27.174,PHI,,SFO,W 33-10,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,70,100%,0,0%,5,16%,
73,2017,2017-11-05,9,9,27.181,PHI,,DEN,W 51-23,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,49,71%,0,0%,5,14%,
74,2017,2017-11-19,10,11,27.195,PHI,@,DAL,W 37-9,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,2,8%,
75,2017,2017-11-26,11,12,27.202,PHI,,CHI,W 31-3,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,86%,0,0%,5,22%,
76,2017,2017-12-03,12,13,27.209,PHI,@,SEA,L 10-24,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,75,100%,0,0%,2,9%,
77,2017,2017-12-10,13,14,27.216,PHI,@,LAR,W 43-35,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,92,100%,0,0%,8,22%,
78,2017,2017-12-17,14,15,27.223,PHI,@,NYG,W 34-29,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,6,19%,
79,2017,2017-12-25,15,16,27.231,PHI,,OAK,W 19-10,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,4,15%,
80,2017,2017-12-31,16,17,27.237,PHI,,DAL,L 0-6,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,19,32%,0,0%,0,0%,
81,2018,2018-09-06,1,1,28.121,PHI,,ATL,W 18-12,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,72,100%,0,0%,2,7%,
82,2018,2018-09-16,2,2,28.131,PHI,@,TAM,L 21-27,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,79,100%,0,0%,4,14%,
83,2018,2018-09-23,3,3,28.138,PHI,,IND,W 20-16,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,82,100%,0,0%,5,18%,
84,2018,2018-09-30,4,4,28.145,PHI,@,TEN,L 23-26,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,78,100%,0,0%,5,16%,
85,2018,2018-10-07,5,5,28.152,PHI,,MIN,L 21-23,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,59,100%,0,0%,3,11%,
