Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
60,2023,2023-11-26,11,12,26.002,PHI,,BUF,W 37-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,269,53.80,38,231,46.2,0,0.0%,1,20.0%,0,0,0%,0,0%,10,28%,
61,2023,2023-12-03,12,13,26.009,PHI,,SFO,L 19-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,152,50.67,9,143,47.7,0,0.0%,3,100.0%,0,0,0%,0,0%,7,27%,
62,2023,2023-12-10,13,14,26.016,PHI,@,DAL,L 13-33,,1,1,100.00,28,0,0,118.7,0,0,28.00,28.00,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,39,39.00,0,39,39.0,0,0.0%,0,0.0%,0,0,0%,0,0%,5,20%,
63,2023,2023-12-18,14,15,26.024,PHI,@,SEA,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,248,49.60,7,241,48.2,0,0.0%,3,60.0%,0,0,0%,0,0%,8,30%,
64,2023,2023-12-25,15,16,26.031,PHI,,NYG,W 33-25,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,108,54.00,10,98,49.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,31%,
65,2023,2023-12-31,16,17,26.037,PHI,,ARI,L 31-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,117,58.50,29,88,44.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,28%,
66,2023,2024-01-07,17,18,26.044,PHI,@,NYG,L 10-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,201,50.25,29,172,43.0,0,0.0%,1,25.0%,0,0,0%,0,0%,6,23%,
67,2024,2024-09-06,1,1,26.287,PHI,,GNB,W 34-29,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,101,50.50,0,101,50.5,0,0.0%,1,50.0%,0,0,0%,0,0%,14,45%,
68,2024,2024-09-16,2,2,26.297,PHI,,ATL,L 21-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,93,46.50,11,82,41.0,0,0.0%,1,50.0%,0,0,0%,0,0%,10,45%,
69,2024,2024-09-22,3,3,26.303,PHI,@,NOR,W 15-12,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,43,43.00,0,43,21.5,0,0.0%,0,0.0%,1,0,0%,0,0%,7,42%,
70,2024,2024-09-29,4,4,26.310,PHI,@,TAM,L 16-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,282,56.40,16,246,49.2,1,20.0%,0,0.0%,0,0,0%,0,0%,10,37%,
71,2024,2024-10-13,5,6,26.324,PHI,,CLE,W 20-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,146,48.67,26,120,40.0,0,0.0%,2,66.7%,0,0,0%,0,0%,13,48%,
72,2024,2024-10-20,6,7,26.331,PHI,@,NYG,W 28-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,419,52.38,39,360,45.0,1,12.5%,2,25.0%,0,0,0%,0,0%,17,53%,
73,2024,2024-10-27,7,8,26.338,PHI,@,CIN,W 37-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,52,52.00,0,32,32.0,1,100.0%,0,0.0%,0,0,0%,0,0%,16,67%,
74,2024,2024-11-03,8,9,26.345,PHI,,JAX,W 28-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,146,48.67,11,135,45.0,0,0.0%,1,33.3%,0,0,0%,0,0%,13,57%,
75,2024,2024-11-10,9,10,26.352,PHI,@,DAL,W 34-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,208,52.00,0,168,42.0,2,50.0%,1,25.0%,0,0,0%,0,0%,17,61%,
76,2024,2024-11-14,10,11,26.356,PHI,,WAS,W 26-18,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,133,44.33,11,122,40.7,0,0.0%,1,33.3%,0,0,0%,0,0%,16,59%,
