Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
28,2018,2018-12-02,12,13,23.005,CIN,,DEN,L 10-24,,3,2,13,6.50,0,66.7%,4.33,1,2,2.00,0,0,0,,0,0,0,0,0,0,0,0,0,60,88%,0,0%,0,0%,
29,2018,2018-12-09,13,14,23.012,CIN,@,LAC,L 21-26,*,4,2,11,5.50,1,50.0%,2.75,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,60,90%,0,0%,0,0%,
30,2018,2018-12-16,14,15,23.019,CIN,,OAK,W 30-16,*,5,1,6,6.00,0,20.0%,1.20,1,3,3.00,0,0,0,,0,0,0,0,0,0,0,0,0,73,91%,0,0%,0,0%,
31,2018,2018-12-23,15,16,23.026,CIN,@,CLE,L 18-26,*,5,1,3,3.00,1,20.0%,0.60,1,7,7.00,0,0,0,,0,1,6,0,0,0,0,0,0,45,96%,0,0%,0,0%,
32,2018,2018-12-30,16,17,23.033,CIN,@,PIT,L 13-16,*,5,1,1,1.00,0,20.0%,0.20,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,49,100%,0,0%,0,0%,
33,2019,2019-09-08,1,1,23.285,CIN,@,SEA,L 20-21,*,12,7,158,22.57,2,58.3%,13.17,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,61,81%,0,0%,0,0%,
34,2019,2019-09-15,2,2,23.292,CIN,,SFO,L 17-41,*,8,4,112,28.00,1,50.0%,14.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,59,86%,0,0%,0,0%,
35,2019,2019-09-22,3,3,23.299,CIN,@,BUF,L 17-21,*,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,
36,2019,2019-09-30,4,4,23.307,CIN,@,PIT,L 3-27,*,6,3,36,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,
37,2019,2019-10-06,,5,,CIN,,ARI,L 23-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
