Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2018,2018-11-25,11,12,23.326,PHI,,NYG,W 25-22,,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,55%,0,0%,13,50%,
12,2018,2018-12-03,12,13,23.334,PHI,,WAS,W 28-13,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,52%,0,0%,10,40%,
13,2018,2018-12-09,13,14,23.340,PHI,@,DAL,L 23-29,*,5,4,44,11.00,1,80.0%,8.80,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,31,60%,0,0%,15,52%,
14,2018,2018-12-16,14,15,23.347,PHI,@,LAR,W 30-23,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,61%,0,0%,15,48%,
15,2018,2018-12-23,15,16,23.354,PHI,,HOU,W 32-30,,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,48,59%,0,0%,13,46%,
16,2018,2018-12-30,16,17,23.361,PHI,@,WAS,W 24-0,,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,61%,0,0%,8,42%,
17,2019,2019-09-08,1,1,24.248,PHI,,WAS,W 32-27,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,55%,0,0%,9,31%,
18,2019,2019-09-15,,2,,PHI,@,ATL,L 20-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2019,2019-09-22,3,3,24.262,PHI,,DET,L 24-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,2,7%,
20,2019,2019-09-26,4,4,24.266,PHI,@,GNB,W 34-27,*,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,69%,0,0%,10,37%,
21,2019,2019-10-06,5,5,24.276,PHI,,NYJ,W 31-6,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,49,74%,0,0%,12,43%,
22,2019,2019-10-13,6,6,24.283,PHI,@,MIN,L 20-38,*,8,5,48,9.60,0,62.5%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,70%,0,0%,15,52%,
23,2019,2019-10-20,7,7,24.290,PHI,@,DAL,L 10-37,*,4,4,69,17.25,1,100.0%,17.25,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,35,58%,0,0%,12,48%,
24,2019,2019-10-27,8,8,24.297,PHI,@,BUF,W 31-13,,5,3,22,7.33,1,60.0%,4.40,0,0,,0,1,16,16.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,75%,0,0%,11,42%,
25,2019,2019-11-03,9,9,24.304,PHI,,CHI,W 22-14,*,5,4,39,9.75,0,80.0%,7.80,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,79%,0,0%,13,45%,
26,2019,2019-11-17,10,11,24.318,PHI,,NWE,L 10-17,*,6,3,36,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,81%,0,0%,15,52%,
27,2019,2019-11-24,11,12,24.325,PHI,,SEA,L 9-17,*,8,7,32,4.57,0,87.5%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,65,88%,0,0%,9,41%,
28,2019,2019-12-01,12,13,24.332,PHI,@,MIA,L 31-37,*,7,6,66,11.00,0,85.7%,9.43,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,57%,0,0%,9,28%,
29,2019,2019-12-09,13,14,24.340,PHI,,NYG,W 23-17,,6,3,41,13.67,0,50.0%,6.83,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,68%,0,0%,12,36%,
30,2019,2019-12-15,14,15,24.346,PHI,@,WAS,W 37-27,,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,84%,0,0%,5,17%,
31,2019,2019-12-22,15,16,24.353,PHI,,DAL,W 17-9,*,12,9,91,10.11,1,75.0%,7.58,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,90%,0,0%,9,32%,
32,2019,2019-12-29,16,17,24.360,PHI,@,NYG,W 34-17,*,10,4,65,16.25,0,40.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
33,2020,2020-09-13,1,1,25.254,PHI,@,WAS,L 17-27,*,9,8,101,12.63,1,88.9%,11.22,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,79%,0,0%,4,12%,
34,2020,2020-09-20,2,2,25.261,PHI,,LAR,L 19-37,,8,4,30,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,89%,0,0%,3,12%,
35,2020,2020-09-27,3,3,25.268,PHI,,CIN,T 23-23,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,7%,0,0%,0,0%,
36,2020,2020-10-04,4,4,,PHI,@,SFO,W 25-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
37,2020,2020-10-11,5,5,,PHI,@,PIT,L 29-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
38,2020,2020-10-18,6,6,,PHI,,BAL,L 28-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
39,2020,2020-10-22,7,7,,PHI,,NYG,W 22-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
40,2020,2020-11-01,8,8,25.303,PHI,,DAL,W 23-9,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,84%,0,0%,0,0%,
41,2020,2020-11-15,9,10,25.317,PHI,@,NYG,L 17-27,*,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,93%,0,0%,0,0%,
42,2020,2020-11-22,10,11,25.324,PHI,@,CLE,L 17-22,*,6,5,77,15.40,1,83.3%,12.83,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,3,10%,
43,2020,2020-11-30,11,12,25.332,PHI,,SEA,L 17-23,*,10,7,75,10.71,1,70.0%,7.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,2,8%,
44,2020,2020-12-06,12,13,25.338,PHI,@,GNB,L 16-30,*,7,5,66,13.20,0,71.4%,9.43,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,84%,0,0%,5,19%,
45,2020,2020-12-13,13,14,25.345,PHI,,NOR,W 24-21,*,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,86%,0,0%,8,31%,
46,2020,2020-12-20,14,15,25.352,PHI,@,ARI,L 26-33,*,8,4,39,9.75,0,50.0%,4.88,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,88%,0,0%,13,43%,
47,2020,2020-12-27,15,16,25.359,PHI,@,DAL,L 17-37,*,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,56%,0,0%,3,10%,
48,2020,2021-01-03,16,17,,PHI,,WAS,L 14-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2021,2021-09-12,1,1,26.252,PHI,@,ATL,W 32-6,*,5,4,42,10.50,1,80.0%,8.40,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,73%,0,0%,5,19%,
50,2021,2021-09-19,2,2,26.259,PHI,,SFO,L 11-17,*,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,66%,0,0%,2,10%,
51,2021,2021-09-27,3,3,26.267,PHI,@,DAL,L 21-41,*,4,2,66,33.00,0,50.0%,16.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,59%,0,0%,3,10%,
52,2021,2021-10-03,4,4,26.273,PHI,,KAN,L 30-42,*,5,5,56,11.20,1,100.0%,11.20,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,55,74%,0,0%,7,26%,
53,2021,2021-10-10,5,5,26.280,PHI,@,CAR,W 21-18,,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,67%,0,0%,3,10%,
54,2021,2021-10-14,6,6,,PHI,,TAM,L 22-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2021,2021-10-24,7,7,26.294,PHI,@,LVR,L 22-33,*,5,3,70,23.33,0,60.0%,14.00,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,64,93%,0,0%,0,0%,
56,2021,2021-10-31,8,8,26.301,PHI,@,DET,W 44-6,*,7,6,72,12.00,0,85.7%,10.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,68%,0,0%,4,16%,
57,2021,2021-11-07,9,9,26.308,PHI,,LAC,L 24-27,*,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,
