Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
29,2022,2022-12-04,12,13,24.020,PHI,,TEN,W 35-10,*,8,5,102,20.40,1,62.5%,12.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,86%,0,0%,0,0%,
30,2022,2022-12-11,13,14,24.027,PHI,@,NYG,W 48-22,*,8,5,64,12.80,1,62.5%,8.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,91%,0,0%,1,3%,
31,2022,2022-12-18,14,15,24.034,PHI,@,CHI,W 25-20,*,8,5,126,25.20,0,62.5%,15.75,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,96%,0,0%,1,4%,
32,2022,2022-12-24,15,16,24.040,PHI,@,DAL,L 34-40,*,12,8,113,14.13,2,66.7%,9.42,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,66,93%,0,0%,0,0%,
33,2022,2023-01-01,16,17,24.048,PHI,,NOR,L 10-20,*,13,9,115,12.78,0,69.2%,8.85,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,98%,0,0%,0,0%,
34,2022,2023-01-08,17,18,24.055,PHI,,NYG,W 22-16,*,8,7,67,9.57,0,87.5%,8.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,1,4%,
35,2023,2023-09-10,1,1,24.300,PHI,@,NWE,W 25-20,*,10,7,47,6.71,1,70.0%,4.70,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,98%,0,0%,1,3%,
36,2023,2023-09-14,2,2,24.304,PHI,,MIN,W 34-28,*,5,4,131,32.75,1,80.0%,26.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,1,3%,
37,2023,2023-09-25,3,3,24.315,PHI,@,TAM,W 25-11,*,5,4,28,7.00,0,80.0%,5.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,99%,0,0%,0,0%,
38,2023,2023-10-01,4,4,24.321,PHI,,WAS,W 34-31,*,9,7,78,11.14,0,77.8%,8.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,
