Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2018,2018-11-25,11,12,21.289,NYG,@,PHI,L 22-25,*,13,101,7.77,1,8,7,41,5.86,1,87.5%,5.13,,2,12,0,0,0,0,0,0,47,77%,0,0%,0,0%,
12,2018,2018-12-02,12,13,21.296,NYG,,CHI,W 30-27,*,24,125,5.21,0,4,3,21,7.00,0,75.0%,5.25,,0,0,0,0,0,0,0,0,57,79%,0,0%,1,3%,
13,2018,2018-12-09,13,14,21.303,NYG,@,WAS,W 40-16,*,14,170,12.14,1,5,4,27,6.75,0,80.0%,5.40,,1,6,0,0,0,0,0,0,31,48%,0,0%,0,0%,
14,2018,2018-12-16,14,15,21.310,NYG,,TEN,L 0-17,*,14,31,2.21,0,10,4,25,6.25,0,40.0%,2.50,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
15,2018,2018-12-23,15,16,21.317,NYG,@,IND,L 27-28,*,21,43,2.05,1,7,5,34,6.80,0,71.4%,4.86,,1,6,0,0,0,0,0,0,56,88%,0,0%,0,0%,
16,2018,2018-12-30,16,17,21.324,NYG,,DAL,L 35-36,*,17,109,6.41,1,8,4,33,8.25,0,50.0%,4.13,,1,6,0,0,0,0,0,0,59,83%,0,0%,0,0%,
17,2019,2019-09-08,1,1,22.211,NYG,@,DAL,L 17-35,*,11,120,10.91,0,6,4,19,4.75,0,66.7%,3.17,,0,0,1,0,0,0,0,0,54,79%,0,0%,0,0%,
18,2019,2019-09-15,2,2,22.218,NYG,,BUF,L 14-28,*,18,107,5.94,1,7,3,28,9.33,0,42.9%,4.00,,1,6,0,0,0,0,0,0,60,88%,0,0%,0,0%,
19,2019,2019-09-22,3,3,22.225,NYG,@,TAM,W 32-31,*,8,10,1.25,0,5,4,27,6.75,0,80.0%,5.40,,0,0,0,0,0,0,0,0,23,37%,0,0%,0,0%,
20,2019,2019-09-29,,4,,NYG,,WAS,W 24-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2019,2019-10-06,,5,,NYG,,MIN,L 10-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2019,2019-10-10,,6,,NYG,@,NWE,L 14-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2019,2019-10-20,7,7,22.253,NYG,,ARI,L 21-27,*,18,72,4.00,1,5,3,8,2.67,0,60.0%,1.60,,1,6,0,0,0,0,0,0,60,86%,0,0%,0,0%,
24,2019,2019-10-27,8,8,22.260,NYG,@,DET,L 26-31,*,19,64,3.37,0,10,8,79,9.88,1,80.0%,7.90,,1,6,0,0,0,0,0,0,61,82%,0,0%,0,0%,
25,2019,2019-11-04,9,9,22.268,NYG,,DAL,L 18-37,*,14,28,2.00,0,8,6,67,11.17,0,75.0%,8.38,,0,0,0,0,0,0,0,0,58,82%,0,0%,0,0%,
26,2019,2019-11-10,10,10,22.274,NYG,@,NYJ,L 27-34,*,13,1,0.08,0,5,5,30,6.00,0,100.0%,6.00,,0,0,0,0,0,1,0,0,57,83%,0,0%,0,0%,
27,2019,2019-11-24,11,12,22.288,NYG,@,CHI,L 14-19,*,17,59,3.47,0,3,2,1,0.50,0,66.7%,0.33,,0,0,0,0,0,0,0,0,58,97%,0,0%,0,0%,
28,2019,2019-12-01,12,13,22.295,NYG,,GNB,L 13-31,*,19,83,4.37,0,7,3,32,10.67,0,42.9%,4.57,,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%,
29,2019,2019-12-09,13,14,22.303,NYG,@,PHI,L 17-23,*,17,66,3.88,0,4,3,1,0.33,0,75.0%,0.25,,0,0,0,0,0,1,0,0,49,94%,0,0%,0,0%,
30,2019,2019-12-15,14,15,22.309,NYG,,MIA,W 36-20,*,24,112,4.67,2,5,4,31,7.75,0,80.0%,6.20,,2,12,0,0,0,0,0,0,53,79%,0,0%,1,3%,
31,2019,2019-12-22,15,16,22.316,NYG,@,WAS,W 41-35,*,22,189,8.59,1,4,4,90,22.50,1,100.0%,22.50,,2,12,0,0,0,0,0,0,68,97%,0,0%,0,0%,
32,2019,2019-12-29,16,17,22.323,NYG,,PHI,L 17-34,*,17,92,5.41,1,4,3,25,8.33,0,75.0%,6.25,,1,6,0,0,0,0,0,0,64,86%,0,0%,0,0%,
33,2020,2020-09-14,1,1,23.218,NYG,,PIT,L 16-26,*,15,6,0.40,0,9,6,60,10.00,0,66.7%,6.67,,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
34,2020,2020-09-20,2,2,23.224,NYG,@,CHI,L 13-17,*,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,8,12%,0,0%,0,0%,
35,2020,2020-09-27,3,3,,NYG,,SFO,L 9-36,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
36,2020,2020-10-04,4,4,,NYG,@,LAR,L 9-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
37,2020,2020-10-11,5,5,,NYG,@,DAL,L 34-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
38,2020,2020-10-18,6,6,,NYG,,WAS,W 20-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
39,2020,2020-10-22,7,7,,NYG,@,PHI,L 21-22,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
40,2020,2020-11-02,8,8,,NYG,,TAM,L 23-25,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
41,2020,2020-11-08,9,9,,NYG,@,WAS,W 23-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
42,2020,2020-11-15,10,10,,NYG,,PHI,W 27-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
43,2020,2020-11-29,11,12,,NYG,@,CIN,W 19-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
44,2020,2020-12-06,12,13,,NYG,@,SEA,W 17-12,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
45,2020,2020-12-13,13,14,,NYG,,ARI,L 7-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
46,2020,2020-12-20,14,15,,NYG,,CLE,L 6-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
47,2020,2020-12-27,15,16,,NYG,@,BAL,L 13-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
48,2020,2021-01-03,16,17,,NYG,,DAL,W 23-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
49,2021,2021-09-12,1,1,24.215,NYG,,DEN,L 13-27,*,10,26,2.60,0,3,1,1,1.00,0,33.3%,0.33,,0,0,0,0,0,0,0,0,29,48%,0,0%,0,0%,
50,2021,2021-09-16,2,2,24.219,NYG,@,WAS,L 29-30,*,13,57,4.38,0,3,2,12,6.00,0,66.7%,4.00,,0,0,0,0,0,0,0,0,58,84%,0,0%,0,0%,
51,2021,2021-09-26,3,3,24.229,NYG,,ATL,L 14-17,*,16,51,3.19,1,7,6,43,7.17,0,85.7%,6.14,,1,6,0,0,0,0,0,0,60,86%,0,0%,0,0%,
52,2021,2021-10-03,4,4,24.236,NYG,@,NOR,W 27-21,*,13,52,4.00,1,6,5,74,14.80,1,83.3%,12.33,,2,12,1,0,0,0,0,0,56,89%,0,0%,0,0%,
53,2021,2021-10-10,5,5,24.243,NYG,@,DAL,L 20-44,*,2,9,4.50,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,
54,2021,2021-10-17,6,6,,NYG,,LAR,L 11-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2021,2021-10-24,7,7,,NYG,,CAR,W 25-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2021,2021-11-01,8,8,,NYG,@,KAN,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2021,2021-11-07,9,9,,NYG,,LVR,W 23-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,2021,2021-11-22,10,11,24.286,NYG,@,TAM,L 10-30,*,6,25,4.17,0,6,6,31,5.17,0,100.0%,5.17,,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,
59,2021,2021-11-28,11,12,24.292,NYG,,PHI,W 13-7,*,13,40,3.08,0,5,4,13,3.25,0,80.0%,2.60,,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,
60,2021,2021-12-05,12,13,24.299,NYG,@,MIA,L 9-20,*,11,55,5.00,0,9,6,19,3.17,0,66.7%,2.11,,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,
61,2021,2021-12-12,13,14,24.306,NYG,@,LAC,L 21-37,*,16,64,4.00,0,3,3,31,10.33,1,100.0%,10.33,,1,6,0,0,0,0,0,0,38,55%,0,0%,0,0%,
62,2021,2021-12-19,14,15,24.313,NYG,,DAL,L 6-21,*,15,50,3.33,0,8,4,24,6.00,0,50.0%,3.00,,0,0,1,1,0,0,0,0,37,59%,0,0%,0,0%,
63,2021,2021-12-26,15,16,24.320,NYG,@,PHI,L 10-34,*,15,32,2.13,0,1,1,-4,-4.00,0,100.0%,-4.00,,0,0,0,0,0,0,0,0,26,34%,0,0%,0,0%,
64,2021,2022-01-02,16,17,24.327,NYG,@,CHI,L 3-29,*,21,102,4.86,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,30,54%,0,0%,0,0%,
65,2021,2022-01-09,17,18,24.334,NYG,,WAS,L 7-22,*,11,30,2.73,0,4,3,19,6.33,0,75.0%,4.75,,0,0,0,0,0,0,0,0,36,60%,0,0%,0,0%,
66,2022,2022-09-11,1,1,25.214,NYG,@,TEN,W 21-20,*,18,164,9.11,1,7,6,30,5.00,0,85.7%,4.29,1,1,8,1,0,0,0,0,0,50,83%,0,0%,0,0%,
67,2022,2022-09-18,2,2,25.221,NYG,,CAR,W 19-16,*,21,72,3.43,0,4,3,16,5.33,0,75.0%,4.00,,0,0,0,0,0,0,0,0,61,84%,0,0%,0,0%,
68,2022,2022-09-26,3,3,25.229,NYG,,DAL,L 16-23,*,14,81,5.79,1,4,4,45,11.25,0,100.0%,11.25,,1,6,0,0,0,0,0,0,66,92%,0,0%,0,0%,
69,2022,2022-10-02,4,4,25.235,NYG,,CHI,W 20-12,*,31,146,4.71,0,2,2,16,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,
70,2022,2022-10-09,5,5,25.242,NYG,@,GNB,W 27-22,*,13,70,5.38,1,6,3,36,12.00,0,50.0%,6.00,,1,6,0,0,0,0,0,0,42,69%,0,0%,0,0%,
71,2022,2022-10-16,6,6,25.249,NYG,,BAL,W 24-20,*,22,83,3.77,1,3,3,12,4.00,0,100.0%,4.00,,1,6,0,0,0,0,0,0,57,88%,0,0%,0,0%,
72,2022,2022-10-23,7,7,25.256,NYG,@,JAX,W 23-17,*,24,110,4.58,0,4,4,25,6.25,0,100.0%,6.25,,0,0,0,0,0,0,0,0,62,81%,0,0%,0,0%,
73,2022,2022-10-30,8,8,25.263,NYG,@,SEA,L 13-27,*,20,53,2.65,1,5,3,9,3.00,0,60.0%,1.80,,1,6,0,0,0,0,0,0,52,80%,0,0%,0,0%,
74,2022,2022-11-13,9,10,25.277,NYG,,HOU,W 24-16,*,35,152,4.34,1,1,1,8,8.00,0,100.0%,8.00,,1,6,0,0,0,0,0,0,55,80%,0,0%,2,7%,
75,2022,2022-11-20,10,11,25.284,NYG,,DET,L 18-31,*,15,22,1.47,0,5,2,13,6.50,0,40.0%,2.60,,0,0,0,0,0,0,0,0,58,76%,0,0%,0,0%,
76,2022,2022-11-24,11,12,25.288,NYG,@,DAL,L 20-28,*,11,39,3.55,1,6,4,13,3.25,0,66.7%,2.17,,1,6,0,0,0,0,0,0,47,74%,0,0%,0,0%,
77,2022,2022-12-04,12,13,25.298,NYG,,WAS,T 20-20,*,18,63,3.50,1,5,5,18,3.60,0,100.0%,3.60,,1,6,0,0,0,0,0,0,58,88%,0,0%,0,0%,
78,2022,2022-12-11,13,14,25.305,NYG,,PHI,L 22-48,*,9,28,3.11,0,2,2,20,10.00,0,100.0%,10.00,,0,0,0,0,0,0,0,0,20,31%,0,0%,0,0%,
79,2022,2022-12-18,14,15,25.312,NYG,@,WAS,W 20-12,*,18,87,4.83,1,8,5,33,6.60,0,62.5%,4.13,,1,6,0,0,0,0,0,0,54,86%,0,0%,0,0%,
80,2022,2022-12-24,15,16,25.318,NYG,@,MIN,L 24-27,*,14,84,6.00,1,10,8,49,6.13,0,80.0%,4.90,,1,6,0,0,0,0,0,0,63,91%,0,0%,0,0%,
81,2022,2023-01-01,16,17,25.326,NYG,,IND,W 38-10,*,12,58,4.83,0,4,2,-5,-2.50,0,50.0%,-1.25,,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,
82,2022,2023-01-08,17,18,,NYG,@,PHI,L 16-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
83,2023,2023-09-10,1,1,26.213,NYG,,DAL,L 0-40,*,12,51,4.25,0,4,3,12,4.00,0,75.0%,3.00,,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%,
84,2023,2023-09-17,2,2,26.220,NYG,@,ARI,W 31-28,*,17,63,3.71,1,7,6,29,4.83,1,85.7%,4.14,,2,12,0,0,0,0,0,0,66,97%,0,0%,0,0%,
85,2023,2023-09-21,3,3,,NYG,@,SFO,L 12-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2023,2023-10-02,4,4,,NYG,,SEA,L 3-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
87,2023,2023-10-08,5,5,,NYG,@,MIA,L 16-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,2023,2023-10-15,6,6,26.248,NYG,@,BUF,L 9-14,*,24,93,3.88,0,5,4,5,1.25,0,80.0%,1.00,,0,0,0,0,0,0,0,0,60,78%,0,0%,0,0%,
89,2023,2023-10-22,7,7,26.255,NYG,,WAS,W 14-7,*,21,77,3.67,0,4,3,41,13.67,1,75.0%,10.25,,1,6,1,1,0,0,0,0,57,84%,0,0%,0,0%,
90,2023,2023-10-29,8,8,26.262,NYG,,NYJ,L 10-13,*,36,128,3.56,0,5,3,0,0.00,0,60.0%,0.00,,0,0,0,0,0,0,0,0,67,89%,0,0%,0,0%,
91,2023,2023-11-05,9,9,26.269,NYG,@,LVR,L 6-30,*,16,90,5.63,0,4,3,23,7.67,0,75.0%,5.75,,0,0,0,0,0,0,0,0,47,75%,0,0%,0,0%,
92,2023,2023-11-12,10,10,26.276,NYG,@,DAL,L 17-49,*,13,66,5.08,0,3,1,-5,-5.00,0,33.3%,-1.67,,0,0,0,0,0,0,0,0,35,61%,0,0%,0,0%,
93,2023,2023-11-19,11,11,26.283,NYG,@,WAS,W 31-19,*,14,83,5.93,0,5,4,57,14.25,2,80.0%,11.40,,2,12,0,0,0,0,0,0,50,91%,0,0%,0,0%,
94,2023,2023-11-26,12,12,26.290,NYG,,NWE,W 10-7,*,12,46,3.83,0,3,1,6,6.00,0,33.3%,2.00,,0,0,0,0,0,0,0,0,42,81%,0,0%,0,0%,
95,2023,2023-12-11,13,14,26.305,NYG,,GNB,W 24-22,*,20,86,4.30,2,4,3,15,5.00,0,75.0%,3.75,,2,12,1,1,0,0,0,0,48,86%,0,0%,0,0%,
96,2023,2023-12-17,14,15,26.311,NYG,@,NOR,L 6-24,*,9,14,1.56,0,2,2,23,11.50,0,100.0%,11.50,,0,0,0,0,0,0,0,0,31,50%,0,0%,0,0%,
97,2023,2023-12-25,15,16,26.319,NYG,@,PHI,L 25-33,*,23,80,3.48,1,6,3,4,1.33,0,50.0%,0.67,1,1,8,0,0,0,0,0,0,56,89%,0,0%,0,0%,
98,2023,2023-12-31,16,17,26.325,NYG,,LAR,L 25-26,*,12,39,3.25,0,6,3,19,6.33,0,50.0%,3.17,,0,0,0,0,0,0,0,0,66,89%,0,0%,0,0%,
99,2023,2024-01-07,17,18,26.332,NYG,,PHI,W 27-10,*,18,46,2.56,2,2,2,51,25.50,0,100.0%,25.50,,2,12,0,0,0,1,0,0,47,70%,0,0%,0,0%,
100,2024,2024-09-06,1,1,27.210,PHI,,GNB,W 34-29,*,24,109,4.54,2,2,2,23,11.50,1,100.0%,11.50,,3,18,0,0,0,1,0,0,61,80%,0,0%,0,0%,
101,2024,2024-09-16,2,2,27.220,PHI,,ATL,L 21-22,*,22,95,4.32,0,5,4,21,5.25,0,80.0%,4.20,1,0,2,0,0,0,0,0,0,64,90%,0,0%,0,0%,
102,2024,2024-09-22,3,3,27.226,PHI,@,NOR,W 15-12,*,17,147,8.65,2,4,4,9,2.25,0,100.0%,2.25,1,2,14,0,0,0,0,0,0,58,80%,0,0%,0,0%,
103,2024,2024-09-29,4,4,27.233,PHI,@,TAM,L 16-33,*,10,84,8.40,0,4,2,32,16.00,0,50.0%,8.00,,0,0,0,0,0,0,0,0,32,56%,0,0%,0,0%,
104,2024,2024-10-13,5,6,27.247,PHI,,CLE,W 20-16,*,18,47,2.61,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0,0,0,0,0,0,49,79%,0,0%,0,0%,
105,2024,2024-10-20,6,7,27.254,PHI,@,NYG,W 28-3,*,17,176,10.35,1,3,2,11,5.50,0,66.7%,3.67,,1,6,0,0,0,0,0,0,35,53%,0,0%,0,0%,
