Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
56,2022,2022-10-27,8,8,,TAM,,BAL,L 22-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2022,2022-11-14,9,10,,PHI,,WAS,L 21-32,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2022,2022-11-20,10,11,,PHI,@,IND,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2022,2022-11-27,11,12,,PHI,,GNB,W 40-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2022,2022-12-04,12,13,,PHI,,TEN,W 35-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2022,2022-12-11,13,14,,PHI,@,NYG,W 48-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2022,2022-12-18,14,15,,PHI,@,CHI,W 25-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2022,2022-12-24,15,16,,PHI,@,DAL,L 34-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2022,2023-01-01,16,17,,PHI,,NOR,L 10-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,2022,2023-01-08,17,18,,PHI,,NYG,W 22-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,2023,2023-09-10,1,1,26.097,PHI,@,NWE,W 25-20,,,,,,,,0,0%,0,0%,6,21%,
67,2023,2023-09-14,2,2,26.101,PHI,,MIN,W 34-28,,,,,,,,0,0%,0,0%,7,24%,
68,2023,2023-09-25,3,3,26.112,PHI,@,TAM,W 25-11,,,,,,,,0,0%,0,0%,5,25%,
69,2023,2023-10-01,4,4,26.118,PHI,,WAS,W 34-31,,,,,,,,0,0%,0,0%,6,19%,
70,2023,2023-10-08,5,5,26.125,PHI,@,LAR,W 23-14,,,,,,,,0,0%,0,0%,5,25%,
71,2023,2023-10-15,6,6,26.132,PHI,@,NYJ,L 14-20,,,,,,,,0,0%,0,0%,3,14%,
72,2023,2023-10-22,7,7,26.139,PHI,,MIA,W 31-17,,,,,,,,0,0%,0,0%,5,23%,
73,2023,2023-10-29,8,8,26.146,PHI,@,WAS,W 38-31,,,,,,,,0,0%,0,0%,6,21%,
74,2023,2023-11-05,9,9,26.153,PHI,,DAL,W 28-23,,,,,,,,0,0%,0,0%,4,17%,
75,2023,2023-11-20,10,11,26.168,PHI,@,KAN,W 21-17,,,,,,,,0,0%,0,0%,3,12%,
76,2023,2023-11-26,11,12,26.174,PHI,,BUF,W 37-34,,,,,,,,0,0%,0,0%,5,14%,
77,2023,2023-12-03,12,13,26.181,PHI,,SFO,L 19-42,,,,,,,,0,0%,0,0%,3,12%,
78,2023,2023-12-10,13,14,26.188,PHI,@,DAL,L 13-33,,,,,,,,2,4%,0,0%,3,12%,
79,2023,2023-12-18,14,15,26.196,PHI,@,SEA,L 17-20,,,,,,,,0,0%,0,0%,3,11%,
80,2023,2023-12-25,15,16,26.203,PHI,,NYG,W 33-25,,,,,,,,0,0%,0,0%,7,24%,
81,2023,2023-12-31,16,17,26.209,PHI,,ARI,L 31-35,,,,,,,,0,0%,0,0%,5,20%,
82,2023,2024-01-07,17,18,26.216,PHI,@,NYG,L 10-27,,,,,,,,33,51%,0,0%,2,8%,
83,2024,2024-09-06,1,1,27.093,PHI,,GNB,W 34-29,,,,,,,,0,0%,0,0%,6,19%,
84,2024,2024-09-16,2,2,27.103,PHI,,ATL,L 21-22,,,,,,,,1,1%,0,0%,3,14%,
85,2024,2024-09-22,3,3,27.109,PHI,@,NOR,W 15-12,,,,,,,,54,75%,0,0%,2,12%,
86,2024,2024-09-29,4,4,27.116,PHI,@,TAM,L 16-33,*,0,0,0,1,0,0,57,100%,0,0%,2,7%,
87,2024,2024-10-13,5,6,27.130,PHI,,CLE,W 20-16,,,,,,,,13,21%,0,0%,5,19%,
88,2024,2024-10-20,6,7,27.137,PHI,@,NYG,W 28-3,*,,,,,,,66,100%,0,0%,4,13%,
89,2024,2024-10-27,7,8,27.144,PHI,@,CIN,W 37-17,*,,,,,,,61,100%,0,0%,7,29%,
90,2024,2024-11-03,8,9,27.151,PHI,,JAX,W 28-23,*,,,,,,,78,99%,0,0%,4,17%,
91,2024,2024-11-10,9,10,27.158,PHI,@,DAL,W 34-6,*,,,,,,,68,100%,0,0%,6,21%,
92,2024,2024-11-14,10,11,27.162,PHI,,WAS,W 26-18,,,,,,,,0,0%,0,0%,7,26%,
