Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
59,2020,2020-12-06,12,13,25.320,PHI,@,GNB,L 16-30,,0,0,,0,0,0,,0,0,,,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,26%,
60,2020,2020-12-13,13,14,25.327,PHI,,NOR,W 24-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,38%,
61,2020,2020-12-20,14,15,25.334,PHI,@,ARI,L 26-33,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,2,77,38.50,0,77,38.5,0,0.0%,1,50.0%,0,1,1%,0,0%,10,33%,
62,2020,2020-12-27,15,16,25.341,PHI,@,DAL,L 17-37,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,23%,
63,2020,2021-01-03,16,17,25.348,PHI,,WAS,L 14-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,20%,
64,2021,2021-09-12,1,1,26.234,PHI,@,ATL,W 32-6,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,42%,
65,2021,2021-09-19,2,2,26.241,PHI,,SFO,L 11-17,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,24%,
66,2021,2021-09-27,3,3,26.249,PHI,@,DAL,L 21-41,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,23%,
67,2021,2021-10-03,4,4,26.255,PHI,,KAN,L 30-42,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,14,52%,
68,2021,2021-10-10,5,5,26.262,PHI,@,CAR,W 21-18,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,23%,
