Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
32,2023,2023-12-24,15,16,23.277,WAS,@,NYJ,L 28-30,*,4,2,31,15.50,0,50.0%,7.75,0,0,,0,,0,0,0.0,0,0,0,0,0,45,74%,0,0%,0,0%,
33,2023,2023-12-31,16,17,23.284,WAS,,SFO,L 10-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,39,85%,0,0%,0,0%,
34,2023,2024-01-07,17,18,23.291,WAS,,DAL,L 10-38,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0,0.0,0,0,0,0,0,41,84%,0,0%,0,0%,
35,2024,2024-09-06,1,1,24.168,PHI,,GNB,W 34-29,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,32,42%,0,0%,0,0%,
36,2024,2024-09-16,2,2,24.178,PHI,,ATL,L 21-22,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,56,79%,0,0%,0,0%,
37,2024,2024-09-22,3,3,24.184,PHI,@,NOR,W 15-12,*,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,0,0,0.0,0,0,0,0,0,63,87%,0,0%,0,0%,
38,2024,2024-09-29,4,4,24.191,PHI,@,TAM,L 16-33,*,4,2,11,5.50,0,50.0%,2.75,0,0,,0,,0,0,0.0,0,0,0,0,0,49,86%,0,0%,0,0%,
39,2024,2024-10-13,5,6,24.205,PHI,,CLE,W 20-16,,3,1,10,10.00,0,33.3%,3.33,1,13,13.00,0,,0,0,0.0,0,0,0,0,0,22,35%,0,0%,0,0%,
40,2024,2024-10-20,6,7,24.212,PHI,@,NYG,W 28-3,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,38,58%,0,0%,0,0%,
41,2024,2024-10-27,7,8,24.219,PHI,@,CIN,W 37-17,,,,,,,0.0%,,,,,,,0,0,,,,,,,26,43%,0,0%,0,0%,
42,2024,2024-11-03,8,9,24.226,PHI,,JAX,W 28-23,,1,1,36,36.00,0,100.0%,36.00,0,0,,0,,0,0,0.0,0,0,0,0,0,42,53%,0,0%,0,0%,
43,2024,2024-11-10,9,10,24.233,PHI,@,DAL,W 34-6,,1,1,27,27.00,0,100.0%,27.00,0,0,,0,,0,0,0.0,0,0,0,0,0,30,44%,0,0%,0,0%,
44,2024,2024-11-14,10,11,24.237,PHI,,WAS,W 26-18,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,29,41%,0,0%,0,0%,
