Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
25,2020,2020-11-05,9,9,,SFO,,GNB,L 17-34,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
26,2020,2020-11-15,10,10,,SFO,@,NOR,L 13-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2020,2020-11-29,11,12,24.319,SFO,@,LAR,W 23-20,*,13,11,133,12.09,0,84.6%,10.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,88%,0,0%,0,0%,
28,2020,2020-12-07,12,13,24.327,SFO,,BUF,L 24-34,,9,6,73,12.17,0,66.7%,8.11,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,
29,2020,2020-12-13,13,14,24.333,SFO,,WAS,L 15-23,*,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,
30,2020,2020-12-20,14,15,,SFO,@,DAL,L 33-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2020,2020-12-26,15,16,,SFO,@,ARI,W 20-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2020,2021-01-03,16,17,,SFO,,SEA,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2021,2021-09-12,1,1,25.240,SFO,@,DET,W 41-33,*,12,9,189,21.00,1,75.0%,15.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,46,84%,0,0%,0,0%,
34,2021,2021-09-19,2,2,25.247,SFO,@,PHI,W 17-11,*,8,6,93,15.50,0,75.0%,11.63,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,70%,0,0%,0,0%,
