Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2018,2018-11-11,9,10,26.064,CHI,,DET,W 34-22,*,,0,0,1.0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,53,68%,2,7%,
42,2018,2018-11-18,10,11,26.071,CHI,,MIN,W 25-20,*,,0,0,0.0,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,84%,1,5%,
43,2018,2018-11-22,11,12,26.075,CHI,@,DET,W 23-16,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,94%,0,0%,
44,2018,2018-12-02,12,13,26.085,CHI,@,NYG,L 27-30,*,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,58,81%,1,3%,
45,2018,2018-12-09,13,14,26.092,CHI,,LAR,W 15-6,*,,0,0,0.0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,51,81%,2,8%,
46,2018,2018-12-16,14,15,26.099,CHI,,GNB,W 24-17,*,,0,0,2.0,6,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,82%,0,0%,
47,2018,2018-12-23,15,16,26.106,CHI,@,SFO,W 14-9,*,,0,0,0.0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,50,91%,0,0%,
48,2018,2018-12-30,16,17,26.113,CHI,@,MIN,W 24-10,*,,0,0,0.0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,70%,0,0%,
49,2019,2019-09-05,1,1,26.362,CHI,,GNB,L 3-10,*,,0,0,2.0,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,52,85%,1,4%,
50,2019,2019-09-15,2,2,27.007,CHI,@,DEN,W 16-14,*,,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,65,79%,3,12%,
51,2019,2019-09-23,3,3,27.015,CHI,@,WAS,W 31-15,*,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,74%,0,0%,
52,2019,2019-09-29,4,4,27.021,CHI,,MIN,W 16-6,*,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,51,85%,0,0%,
53,2019,2019-10-06,5,5,27.028,CHI,@,OAK,L 21-24,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,88%,1,4%,
54,2019,2019-10-20,6,7,27.042,CHI,,NOR,L 25-36,*,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,82%,2,6%,
55,2019,2019-10-27,7,8,27.049,CHI,,LAC,L 16-17,*,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,93%,1,4%,
56,2019,2019-11-03,8,9,27.056,CHI,@,PHI,L 14-22,*,,0,0,1.0,4,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,68,81%,0,0%,
57,2019,2019-11-10,9,10,27.063,CHI,,DET,W 20-13,*,,0,0,0.0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,72,88%,3,10%,
58,2019,2019-11-17,10,11,27.070,CHI,@,LAR,L 7-17,*,,0,0,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,83%,4,16%,
59,2019,2019-11-24,11,12,27.077,CHI,,NYG,W 19-14,*,,0,0,0.0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0%,52,87%,0,0%,
60,2019,2019-11-28,12,13,27.081,CHI,@,DET,W 24-20,*,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,81%,1,4%,
61,2019,2019-12-05,13,14,27.088,CHI,,DAL,W 31-24,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,84%,0,0%,
62,2019,2019-12-15,14,15,27.098,CHI,@,GNB,L 13-21,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,83%,4,15%,
63,2019,2019-12-22,15,16,27.105,CHI,,KAN,L 3-26,*,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,85%,0,0%,
64,2019,2019-12-29,16,17,27.112,CHI,@,MIN,W 21-19,*,,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,44,90%,0,0%,
65,2020,2020-09-13,1,1,28.005,LAR,,DAL,W 20-17,*,,0,0,1.0,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,68,94%,0,0%,
66,2020,2020-09-20,2,2,28.012,LAR,@,PHI,W 37-19,*,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,87%,1,4%,
67,2020,2020-09-27,3,3,28.019,LAR,@,BUF,L 32-35,*,,0,0,1.0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,90%,0,0%,
68,2020,2020-10-04,4,4,28.026,LAR,,NYG,W 17-9,*,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,59,87%,0,0%,
69,2020,2020-10-11,5,5,28.033,LAR,@,WAS,W 30-10,*,,0,0,0.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,53,98%,2,6%,
70,2020,2020-10-18,6,6,28.040,LAR,@,SFO,L 16-24,*,,0,0,0.0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,93%,0,0%,
71,2020,2020-10-26,7,7,28.048,LAR,,CHI,W 24-10,*,,0,0,2.0,4,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,60,95%,0,0%,
72,2020,2020-11-01,8,8,28.054,LAR,@,MIA,L 17-28,*,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0%,44,90%,1,3%,
73,2020,2020-11-15,9,10,28.068,LAR,,SEA,W 23-16,*,,0,0,3.0,5,0,5,2,5,0,0,0,0,0,0,0,1,0,0,0,0%,61,91%,0,0%,
74,2020,2020-11-23,10,11,28.076,LAR,@,TAM,W 27-24,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,91%,0,0%,
75,2020,2020-11-29,11,12,28.082,LAR,,SFO,L 20-23,*,,0,0,0.0,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,90%,1,3%,
76,2020,2020-12-06,12,13,28.089,LAR,@,ARI,W 38-28,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,88%,0,0%,
77,2020,2020-12-10,13,14,28.093,LAR,,NWE,W 24-3,*,,0,0,0.5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,50,85%,0,0%,
78,2020,2020-12-20,14,15,28.103,LAR,,NYJ,L 20-23,*,,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,57,88%,0,0%,
79,2020,2020-12-27,15,16,28.110,LAR,@,SEA,L 9-20,*,,0,0,2.0,5,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,54,86%,0,0%,
80,2020,2021-01-03,16,17,28.117,LAR,,ARI,W 18-7,*,,0,0,1.0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,40,75%,0,0%,
81,2021,2021-09-12,1,1,29.004,LAR,,CHI,W 34-14,*,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,83%,0,0%,
82,2021,2021-09-19,2,2,29.011,LAR,@,IND,W 27-24,*,,0,0,1.0,2,4,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,54,81%,0,0%,
83,2021,2021-09-26,3,3,29.018,LAR,,TAM,W 34-24,*,,0,0,1.0,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,58,79%,0,0%,
84,2021,2021-10-03,4,4,29.025,LAR,,ARI,L 20-37,*,,0,0,1.0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,79%,0,0%,
85,2021,2021-10-07,5,5,29.029,LAR,@,SEA,W 26-17,*,,0,0,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,97%,0,0%,
86,2021,2021-10-17,6,6,29.039,LAR,@,NYG,W 38-11,*,,0,0,1.5,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0%,38,51%,0,0%,
87,2021,2021-10-24,7,7,29.046,LAR,,DET,W 28-19,*,,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,94%,0,0%,
88,2021,2021-10-31,8,8,29.053,LAR,@,HOU,W 38-22,*,,0,0,2.0,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,33,54%,0,0%,
89,2021,2021-11-07,9,9,29.060,LAR,,TEN,L 16-28,*,,0,0,1.0,3,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,56,97%,0,0%,
90,2021,2021-11-15,10,10,29.068,LAR,@,SFO,L 10-31,*,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,75%,0,0%,
91,2021,2021-11-28,11,12,29.081,LAR,@,GNB,L 28-36,*,,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,63,77%,0,0%,
92,2021,2021-12-05,12,13,29.088,LAR,,JAX,W 37-7,*,,0,0,0.5,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,81%,0,0%,
93,2021,2021-12-13,13,14,29.096,LAR,@,ARI,W 30-23,*,,0,0,0.0,5,3,8,0,1,1,11,0,2,0,0,0,0,0,0,0,0%,65,83%,0,0%,
94,2021,2021-12-21,14,15,29.104,LAR,,SEA,W 20-10,*,,0,0,1.0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,48,84%,0,0%,
95,2021,2021-12-26,15,16,29.109,LAR,@,MIN,W 30-23,*,,0,0,0.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,71%,0,0%,
96,2021,2022-01-02,16,17,29.116,LAR,@,BAL,W 20-19,*,,0,0,0.5,4,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,87%,0,0%,
97,2021,2022-01-09,17,18,29.123,LAR,,SFO,L 24-27,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,91%,0,0%,
98,2022,2022-09-08,1,1,30.000,LAR,,BUF,L 10-31,*,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,51,86%,0,0%,
99,2022,2022-09-18,2,2,30.010,LAR,,ATL,W 31-27,*,,0,0,0.0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,43,70%,0,0%,
100,2022,2022-09-25,3,3,30.017,LAR,@,ARI,W 20-12,*,,0,0,0.0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,63,76%,0,0%,
101,2022,2022-10-03,4,4,30.025,LAR,@,SFO,L 9-24,*,,0,0,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,88%,0,0%,
102,2022,2022-10-09,5,5,30.031,LAR,,DAL,L 10-22,*,,0,0,0.0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,89%,0,0%,
103,2022,2022-10-16,6,6,30.038,LAR,,CAR,W 24-10,*,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,77%,0,0%,
104,2022,2022-10-30,7,8,30.052,LAR,,SFO,L 14-31,*,,0,0,2.0,4,5,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,44,83%,0,0%,
105,2022,2022-11-06,8,9,30.059,LAR,@,TAM,L 13-16,*,,0,0,0.0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,72,86%,0,0%,
106,2022,2022-11-13,9,10,30.066,LAR,,ARI,L 17-27,*,,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,56,82%,0,0%,
107,2022,2022-11-20,10,11,30.073,LAR,@,NOR,L 20-27,*,,0,0,2.0,3,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,51,89%,0,0%,
108,2022,2022-11-27,11,12,30.080,LAR,@,KAN,L 10-26,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,97%,0,0%,
109,2022,2022-12-04,12,13,30.087,LAR,,SEA,L 23-27,*,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,63,94%,0,0%,
110,2022,2022-12-08,13,14,30.091,LAR,,LVR,W 17-16,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,92%,0,0%,
111,2022,2022-12-19,14,15,30.102,LAR,@,GNB,L 12-24,*,,0,0,2.0,3,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,66,93%,0,0%,
112,2022,2022-12-25,15,16,30.108,LAR,,DEN,W 51-14,*,,0,0,1.0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,49,73%,0,0%,
113,2022,2023-01-01,16,17,30.115,LAR,@,LAC,L 10-31,*,,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,84%,0,0%,
114,2022,2023-01-08,17,18,30.122,LAR,@,SEA,L 16-19,*,,0,0,1.0,4,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,65,93%,0,0%,
