Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
34,2019,2019-09-12,2,2,23.097,CAR,,TAM,L 14-20,*,16,37,2.31,0,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
35,2019,2019-09-22,3,3,23.107,CAR,@,ARI,W 38-20,*,24,153,6.38,1,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,93%,0,0%,0,0%,
36,2019,2019-09-29,4,4,23.114,CAR,@,HOU,W 16-10,*,27,93,3.44,1,10,10,86,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
37,2019,2019-10-06,5,5,23.121,CAR,,JAX,W 34-27,*,19,176,9.26,2,8,6,61,10.17,1,75.0%,7.63,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,54,86%,0,0%,0,0%,
38,2019,2019-10-13,6,6,23.128,CAR,@,TAM,W 37-26,*,22,31,1.41,1,5,4,26,6.50,1,80.0%,5.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,
39,2019,2019-10-27,7,8,23.142,CAR,@,SFO,L 13-51,*,14,117,8.36,1,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,
40,2019,2019-11-03,8,9,23.149,CAR,,TEN,W 30-20,*,24,146,6.08,2,3,3,20,6.67,1,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,61,86%,0,0%,0,0%,
41,2019,2019-11-10,9,10,23.156,CAR,@,GNB,L 16-24,*,20,108,5.40,1,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%,
42,2019,2019-11-17,10,11,23.163,CAR,,ATL,L 3-29,*,14,70,5.00,0,15,11,121,11.00,0,73.3%,8.07,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,93%,0,0%,0,0%,
43,2019,2019-11-24,11,12,23.170,CAR,@,NOR,L 31-34,*,22,64,2.91,1,9,9,69,7.67,1,100.0%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
