Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
51,2022,2022-09-18,2,2,30.199,SFO,,SEA,W 27-7,,,,,,,,0,0,0.0,0,0,0,0,0,3,132,44.00,-2,134,44.7,0,0.0%,2,66.7%,0,0,0%,0,0%,9,39%,
52,2022,2022-09-25,3,3,30.206,SFO,@,DEN,L 10-11,,,,,,,,0,0,0.0,0,0,0,0,0,7,362,51.71,9,313,44.7,2,28.6%,3,42.9%,0,0,0%,0,0%,10,36%,
53,2022,2022-10-03,4,4,30.214,SFO,,LAR,W 24-9,,,,,,,,0,0,0.0,0,0,0,0,0,4,158,39.50,0,138,34.5,1,25.0%,1,25.0%,0,0,0%,0,0%,9,36%,
54,2022,2022-10-09,5,5,30.220,SFO,@,CAR,W 37-15,,1,2,50.0,,,,0,1,0.0,0,0,0,0,0,2,75,37.50,0,75,37.5,0,0.0%,2,100.0%,0,0,0%,0,0%,11,39%,
55,2022,2022-10-16,6,6,30.227,SFO,@,ATL,L 14-28,,,,,,,,0,0,0.0,0,0,0,0,0,3,158,52.67,48,110,36.7,0,0.0%,1,33.3%,0,0,0%,0,0%,5,23%,
56,2022,2022-10-23,7,7,30.234,SFO,,KAN,L 23-44,,,,,,,,0,0,0.0,0,0,0,0,0,1,29,29.00,3,26,26.0,0,0.0%,1,100.0%,0,0,0%,0,0%,7,25%,
57,2022,2022-10-30,8,8,30.241,SFO,@,LAR,W 31-14,,,,,,,,0,0,0.0,0,0,0,0,0,3,123,41.00,0,123,41.0,0,0.0%,3,100.0%,0,0,0%,0,0%,8,33%,
58,2022,2022-11-13,9,10,30.255,SFO,,LAC,W 22-16,,,,,,,,0,0,0.0,0,0,0,0,0,4,132,33.00,0,132,33.0,0,0.0%,1,25.0%,0,0,0%,0,0%,9,32%,
59,2022,2022-11-21,10,11,30.263,SFO,@,ARI,W 38-10,,,,,,,,0,0,0.0,1,0,1,0,0,4,215,53.75,53,142,35.5,1,25.0%,2,50.0%,0,0,0%,0,0%,10,38%,
60,2022,2022-11-27,11,12,30.269,SFO,,NOR,W 13-0,,,,,,,,0,0,0.0,0,0,0,0,0,4,175,43.75,18,157,39.3,0,0.0%,2,50.0%,0,0,0%,0,0%,7,41%,
61,2022,2022-12-04,12,13,30.276,SFO,,MIA,W 33-17,,,,,,,,0,0,0.0,0,0,0,0,0,4,178,44.50,21,157,39.3,0,0.0%,2,50.0%,0,0,0%,0,0%,11,37%,
