Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
70,2017,2017-10-15,,6,,SFO,@,WAS,L 24-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,2017,2017-10-22,,7,,SFO,,DAL,L 10-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,2017,2017-10-29,8,8,26.189,SFO,@,PHI,L 10-33,,0,0,0,,0,0.0%,,1,12,12.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,30%,0,0%,8,25%,
73,2017,2017-11-05,9,9,26.196,SFO,,ARI,L 10-20,,2,1,5,5.00,0,50.0%,2.50,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,17,23%,0,0%,6,21%,
74,2017,2017-11-12,10,10,26.203,SFO,,NYG,W 31-21,*,6,5,27,5.40,0,83.3%,4.50,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,38,62%,0,0%,1,4%,
75,2017,2017-11-26,11,12,26.217,SFO,,SEA,L 13-24,*,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,23%,0,0%,9,29%,
76,2017,2017-12-03,12,13,26.224,SFO,@,CHI,W 15-14,*,3,3,20,6.67,0,100.0%,6.67,1,3,3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,53%,0,0%,2,9%,
77,2017,2017-12-10,13,14,26.231,SFO,@,HOU,W 26-16,*,4,3,64,21.33,0,75.0%,16.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,5,16%,
78,2017,2017-12-17,14,15,26.238,SFO,,TEN,W 25-23,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,46%,0,0%,1,4%,
79,2017,2017-12-24,15,16,26.245,SFO,,JAX,W 44-33,,5,5,76,15.20,0,100.0%,15.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,56%,0,0%,5,16%,
80,2017,2017-12-31,16,17,26.252,SFO,@,LAR,W 34-13,*,4,4,19,4.75,0,100.0%,4.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,39,61%,0,0%,4,14%,
81,2018,2018-09-09,1,1,27.139,SFO,@,MIN,L 16-24,*,2,1,56,56.00,0,50.0%,28.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,39%,0,0%,4,14%,
82,2018,2018-09-16,2,2,27.146,SFO,,DET,W 30-27,*,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,5,15%,
83,2018,2018-09-23,3,3,27.153,SFO,@,KAN,L 27-38,*,4,2,38,19.00,1,50.0%,9.50,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,78%,0,0%,4,14%,
84,2018,2018-09-30,4,4,27.160,SFO,@,LAC,L 27-29,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,62%,0,0%,5,16%,
85,2018,2018-10-07,5,5,27.167,SFO,,ARI,L 18-28,*,7,6,75,12.50,0,85.7%,10.71,1,12,12.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,69%,0,0%,4,15%,
86,2018,2018-10-15,6,6,27.175,SFO,@,GNB,L 30-33,*,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,39,68%,0,0%,3,9%,
87,2018,2018-10-21,7,7,27.181,SFO,,LAR,L 10-39,*,3,2,18,9.00,0,66.7%,6.00,1,-5,-5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,59%,0,0%,5,17%,
88,2018,2018-10-28,8,8,27.188,SFO,@,ARI,L 15-18,*,1,0,0,,0,0.0%,0.00,2,10,5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,71%,0,0%,7,27%,
89,2018,2018-11-01,9,9,27.192,SFO,,OAK,W 34-3,*,2,2,10,5.00,0,100.0%,5.00,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,62%,0,0%,3,11%,
90,2018,2018-11-12,10,10,27.203,SFO,,NYG,L 23-27,,2,2,10,5.00,0,100.0%,5.00,1,3,3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,63%,0,0%,3,10%,
91,2018,2018-11-25,11,12,27.216,SFO,@,TAM,L 9-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,59%,0,0%,7,25%,
92,2018,2018-12-02,12,13,27.223,SFO,@,SEA,L 16-43,,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,51%,0,0%,6,20%,
93,2018,2018-12-09,13,14,27.230,SFO,,DEN,W 20-14,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,58%,0,0%,6,23%,
94,2018,2018-12-16,14,15,27.237,SFO,,SEA,W 26-23,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,74%,0,0%,4,12%,
95,2018,2018-12-23,15,16,27.244,SFO,,CHI,L 9-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,60%,0,0%,4,21%,
96,2018,2018-12-30,16,17,27.251,SFO,@,LAR,L 32-48,*,2,1,15,15.00,0,50.0%,7.50,2,9,4.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,40,65%,0,0%,2,6%,
97,2019,2019-09-08,1,1,28.138,SFO,@,TAM,W 31-17,*,,,,,,0.0%,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,31,46%,0,0%,2,8%,
98,2019,2019-09-15,2,2,28.145,SFO,@,CIN,W 41-17,*,2,1,5,5.00,0,50.0%,2.50,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,53%,0,0%,3,10%,
99,2019,2019-09-22,3,3,28.152,SFO,,PIT,W 24-20,*,3,3,51,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,63%,0,0%,3,11%,
100,2019,2019-10-07,4,5,28.167,SFO,,CLE,W 31-3,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,45%,0,0%,2,7%,
101,2019,2019-10-13,,6,,SFO,@,LAR,W 20-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
102,2019,2019-10-20,,7,,SFO,@,WAS,W 9-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
103,2019,2019-10-27,,8,,SFO,,CAR,W 51-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
