Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,SFO,,ARI,L 20-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2022,2022-10-30,8,8,24.227,SFO,@,LAR,W 31-14,*,6,6,81,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,98%,0,0%,0,0%,
42,2022,2022-11-13,9,10,24.241,SFO,,LAC,W 22-16,*,7,6,84,14.00,0,85.7%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,69,97%,0,0%,0,0%,
43,2022,2022-11-21,10,11,24.249,SFO,@,ARI,W 38-10,*,4,2,20,10.00,2,50.0%,5.00,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,79%,0,0%,0,0%,
44,2022,2022-11-27,11,12,24.255,SFO,,NOR,W 13-0,*,8,5,65,13.00,0,62.5%,8.13,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
45,2022,2022-12-04,12,13,24.262,SFO,,MIA,W 33-17,*,9,5,46,9.20,0,55.6%,5.11,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,80,95%,0,0%,0,0%,
46,2022,2022-12-11,13,14,24.269,SFO,,TAM,W 35-7,*,3,2,57,28.50,1,66.7%,19.00,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,49,78%,0,0%,0,0%,
47,2022,2022-12-15,14,15,24.273,SFO,@,SEA,W 21-13,*,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,
48,2022,2022-12-24,15,16,24.282,SFO,,WAS,W 37-20,*,7,5,81,16.20,0,71.4%,11.57,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,96%,0,0%,0,0%,
49,2022,2023-01-01,16,17,24.290,SFO,@,LVR,W 37-34,*,12,9,101,11.22,1,75.0%,8.42,1,16,16.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,
50,2022,2023-01-08,17,18,24.297,SFO,,ARI,W 38-13,*,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,73%,0,0%,0,0%,
51,2023,2023-09-10,1,1,25.177,SFO,@,PIT,W 30-7,*,8,8,129,16.13,2,100.0%,16.13,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%,
52,2023,2023-09-17,2,2,25.184,SFO,@,LAR,W 30-23,*,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,53%,0,0%,0,0%,
53,2023,2023-09-21,3,3,,SFO,,NYG,W 30-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
