Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
67,2019,2019-09-22,3,3,27.224,BUF,,CIN,W 21-17,*,,,,,0,,,0,0,0,21,27%,0,0%,0,0%,
68,2019,2019-09-29,4,4,27.231,BUF,,NWE,L 10-16,*,,,,,0,,,0,0,0,79,100%,0,0%,3,11%,
69,2019,2019-10-06,5,5,27.238,BUF,@,TEN,W 14-7,*,,,,,0,,,0,0,0,64,100%,0,0%,2,8%,
70,2019,2019-10-20,6,7,27.252,BUF,,MIA,W 31-21,*,,,,,0,,,0,0,0,55,100%,0,0%,5,19%,
71,2019,2019-10-27,7,8,27.259,BUF,,PHI,L 13-31,*,,,,,0,,,0,0,0,59,100%,0,0%,3,12%,
72,2019,2019-11-03,8,9,27.266,BUF,,WAS,W 24-9,*,,,,,0,,,0,0,0,62,100%,0,0%,4,17%,
73,2019,2019-11-10,9,10,27.273,BUF,@,CLE,L 16-19,*,0,0,,0,0,0,0,1,0,0,68,100%,0,0%,4,17%,
74,2019,2019-11-17,10,11,27.280,BUF,@,MIA,W 37-20,*,,,,,0,,,0,0,0,71,100%,0,0%,7,22%,
75,2019,2019-11-24,11,12,27.287,BUF,,DEN,W 20-3,*,,,,,0,,,0,0,0,74,100%,0,0%,4,17%,
76,2019,2019-11-28,12,13,27.291,BUF,@,DAL,W 26-15,*,,,,,0,,,0,0,0,66,100%,0,0%,6,26%,
77,2019,2019-12-08,13,14,27.301,BUF,,BAL,L 17-24,*,,,,,0,,,0,0,0,73,100%,0,0%,3,10%,
78,2019,2019-12-15,14,15,27.308,BUF,@,PIT,W 17-10,*,0,0,,0,0,0,0,0,0,0,58,89%,0,0%,3,13%,
79,2019,2019-12-21,15,16,27.314,BUF,@,NWE,L 17-24,*,,,,,0,,,0,0,0,54,100%,0,0%,3,12%,
80,2019,2019-12-29,16,17,27.322,BUF,,NYJ,L 6-13,*,,,,,0,,,0,0,0,7,11%,0,0%,1,4%,
81,2020,2020-09-13,1,1,,BUF,,NYJ,W 27-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
82,2020,2020-09-20,2,2,,BUF,@,MIA,W 31-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
83,2020,2020-09-27,3,3,,BUF,,LAR,W 35-32,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
84,2020,2020-10-04,4,4,,BUF,@,LVR,W 30-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
85,2020,2020-10-13,5,5,,BUF,@,TEN,L 16-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
86,2020,2020-10-19,6,6,,BUF,,KAN,L 17-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
87,2020,2020-10-25,7,7,,BUF,@,NYJ,W 18-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
88,2020,2020-11-01,8,8,28.265,BUF,,NWE,W 24-21,*,,,,,0,,,0,0,0,58,100%,0,0%,0,0%,
89,2020,2020-11-08,9,9,28.272,BUF,,SEA,W 44-34,*,,,,,0,,,0,0,0,68,100%,0,0%,7,21%,
90,2020,2020-11-15,10,10,28.279,BUF,@,ARI,L 30-32,*,,,,,0,,,0,0,0,73,100%,0,0%,0,0%,
91,2020,2020-11-29,11,12,28.293,BUF,,LAC,W 27-17,*,0,0,,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
92,2020,2020-12-07,12,13,28.301,BUF,@,SFO,W 34-24,*,,,,,0,,,0,0,0,57,78%,0,0%,0,0%,
93,2020,2020-12-13,13,14,28.307,BUF,,PIT,W 26-15,*,,,,,0,,,0,0,0,75,100%,0,0%,0,0%,
94,2020,2020-12-19,14,15,28.313,BUF,@,DEN,W 48-19,*,,,,,0,,,0,0,0,72,99%,0,0%,4,13%,
95,2020,2020-12-28,15,16,28.322,BUF,@,NWE,W 38-9,*,,,,,0,,,0,0,0,71,99%,0,0%,0,0%,
96,2020,2021-01-03,16,17,28.328,BUF,,MIA,W 56-26,*,,,,,0,,,0,0,0,35,55%,0,0%,8,22%,
97,2021,2021-09-12,1,1,29.214,BUF,,PIT,L 16-23,*,,,,,,,,,,,85,100%,0,0%,0,0%,
98,2021,2021-09-19,2,2,29.221,BUF,@,MIA,W 35-0,*,,,,,,,,,,,63,97%,0,0%,0,0%,
