Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2017,2017-10-08,4,5,25.028,MIA,,TEN,W 16-10,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,6,19%,
12,2017,2017-10-15,5,6,25.035,MIA,@,ATL,W 20-17,,0,0,0,,0,0.0%,,0,0,0,0,0,0,39,58%,0,0%,7,30%,
13,2017,2017-10-22,6,7,25.042,MIA,,NYJ,W 31-28,,0,0,0,,0,0.0%,,0,0,0,0,0,0,1,1%,0,0%,8,24%,
14,2017,2017-10-26,7,8,25.046,MIA,@,BAL,L 0-40,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,1,3%,
15,2017,2017-11-05,8,9,25.056,MIA,,OAK,L 24-27,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,8,31%,
16,2017,2017-11-13,9,10,25.064,MIA,@,CAR,L 21-45,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,11,39%,
17,2017,2017-11-19,10,11,25.070,MIA,,TAM,L 20-30,,0,0,0,,0,0.0%,,0,0,0,0,0,0,1,2%,0,0%,4,13%,
18,2017,2017-11-26,11,12,25.077,MIA,@,NWE,L 17-35,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,3,11%,
19,2017,2017-12-03,12,13,25.084,MIA,,DEN,W 35-9,,0,0,0,,0,0.0%,,0,0,0,0,0,0,11,16%,0,0%,5,15%,
20,2017,2017-12-11,13,14,25.092,MIA,,NWE,W 27-20,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,5,15%,
21,2017,2017-12-17,14,15,25.098,MIA,@,BUF,L 16-24,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,4,15%,
22,2017,2017-12-24,15,16,25.105,MIA,@,KAN,L 13-29,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,4,15%,
23,2017,2017-12-31,16,17,25.112,MIA,,BUF,L 16-22,,0,0,0,,0,0.0%,,0,0,0,0,0,0,15,21%,0,0%,2,8%,
24,2018,2018-09-09,,1,,MIA,,TEN,W 27-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
25,2018,2018-09-16,,2,,MIA,@,NYJ,W 20-12,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
26,2018,2018-09-23,,3,,MIA,,OAK,W 28-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
27,2018,2018-09-30,,4,,MIA,@,NWE,L 7-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
28,2018,2018-10-07,,5,,MIA,@,CIN,L 17-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
29,2018,2018-10-14,,6,,MIA,,CHI,W 31-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
30,2018,2018-10-21,,7,,MIA,,DET,L 21-32,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
31,2018,2018-10-25,,8,,MIA,@,HOU,L 23-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2018,2018-11-04,9,9,26.055,MIA,,NYJ,W 13-6,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,3,11%,
33,2018,2018-11-11,10,10,26.062,MIA,@,GNB,L 12-31,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,68,100%,0,0%,4,15%,
34,2018,2018-11-25,11,12,26.076,MIA,@,IND,L 24-27,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,53,100%,0,0%,4,14%,
35,2018,2018-12-02,12,13,26.083,MIA,,BUF,W 21-17,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,55,100%,0,0%,3,12%,
36,2018,2018-12-09,,14,,MIA,,NWE,W 34-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2018,2018-12-16,,15,,MIA,@,MIN,L 17-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
38,2018,2018-12-23,,16,,MIA,,JAX,L 7-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
39,2018,2018-12-30,,17,,MIA,@,BUF,L 17-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
40,2021,2021-09-12,1,1,,SFO,@,DET,W 41-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,2021,2021-09-19,2,2,29.009,SFO,@,PHI,W 17-11,,,,,,,0.0%,,,,,,,,0,0%,0,0%,3,14%,
42,2021,2021-09-26,3,3,29.016,SFO,,GNB,L 28-30,,,,,,,0.0%,,,,,,,,0,0%,0,0%,4,15%,
43,2021,2021-10-03,4,4,29.023,SFO,,SEA,L 21-28,,,,,,,0.0%,,,,,,,,1,1%,0,0%,3,10%,
44,2021,2021-10-10,5,5,29.030,SFO,@,ARI,L 10-17,,,,,,,0.0%,,,,,,,,0,0%,0,0%,2,11%,
45,2021,2021-10-24,6,7,29.044,SFO,,IND,L 18-30,,,,,,,0.0%,,,,,,,,0,0%,0,0%,3,11%,
46,2021,2021-10-31,7,8,29.051,SFO,@,CHI,W 33-22,,,,,,,0.0%,,,,,,,,0,0%,0,0%,7,26%,
47,2021,2021-11-07,8,9,29.058,SFO,,ARI,L 17-31,,,,,,,0.0%,,,,,,,,0,0%,0,0%,3,12%,
48,2021,2021-11-15,9,10,29.066,SFO,,LAR,W 31-10,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,22%,
49,2021,2021-11-21,10,11,29.072,SFO,@,JAX,W 30-10,,,,,,,0.0%,,,,,,,,5,7%,0,0%,6,26%,
50,2021,2021-11-28,11,12,29.079,SFO,,MIN,W 34-26,,,,,,,0.0%,,,,,,,,0,0%,0,0%,7,25%,
51,2021,2021-12-05,12,13,29.086,SFO,@,SEA,L 23-30,,,,,,,0.0%,,,,,,,,0,0%,0,0%,4,14%,
52,2021,2021-12-12,13,14,29.093,SFO,@,CIN,W 26-23,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,15%,
53,2021,2021-12-19,14,15,29.100,SFO,,ATL,W 31-13,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,21%,
54,2021,2021-12-23,15,16,29.104,SFO,@,TEN,L 17-20,,,,,,,0.0%,,,,,,,,0,0%,0,0%,3,13%,
55,2021,2022-01-02,16,17,29.114,SFO,,HOU,W 23-7,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,20%,
56,2021,2022-01-09,17,18,29.121,SFO,@,LAR,W 27-24,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,18%,
57,2022,2022-09-11,1,1,30.001,SFO,@,CHI,L 10-19,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,0,0%,
58,2022,2022-09-18,2,2,30.008,SFO,,SEA,W 27-7,*,0,0,0,,0,0.0%,,1,0,0,0,0,0,76,100%,0,0%,0,0%,
59,2022,2022-09-25,3,3,30.015,SFO,@,DEN,L 10-11,*,,,,,,0.0%,,,,,,,,56,100%,0,0%,0,0%,
60,2022,2022-10-03,4,4,30.023,SFO,,LAR,W 24-9,*,,,,,,0.0%,,,,,,,,50,100%,0,0%,0,0%,
61,2022,2022-10-09,5,5,30.029,SFO,@,CAR,W 37-15,*,,,,,,0.0%,,,,,,,,67,100%,0,0%,0,0%,
62,2022,2022-10-16,6,6,30.036,SFO,@,ATL,L 14-28,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,60,100%,0,0%,0,0%,
63,2022,2022-10-23,7,7,30.043,SFO,,KAN,L 23-44,*,,,,,,0.0%,,,,,,,,79,100%,0,0%,0,0%,
64,2022,2022-10-30,8,8,30.050,SFO,@,LAR,W 31-14,*,,,,,,0.0%,,,,,,,,53,100%,0,0%,0,0%,
65,2022,2022-11-13,9,10,30.064,SFO,,LAC,W 22-16,*,,,,,,0.0%,,,,,,,,71,100%,0,0%,0,0%,
66,2022,2022-11-21,10,11,30.072,SFO,@,ARI,W 38-10,*,,,,,,0.0%,,,,,,,,54,93%,0,0%,0,0%,
67,2022,2022-11-27,11,12,30.078,SFO,,NOR,W 13-0,*,,,,,,0.0%,,,,,,,,70,100%,0,0%,0,0%,
68,2022,2022-12-04,12,13,30.085,SFO,,MIA,W 33-17,*,,,,,,0.0%,,,,,,,,84,100%,0,0%,0,0%,
69,2022,2022-12-11,13,14,30.092,SFO,,TAM,W 35-7,*,,,,,,0.0%,,,,,,,,58,92%,0,0%,2,10%,
70,2022,2022-12-15,14,15,30.096,SFO,@,SEA,W 21-13,*,,,,,,0.0%,,,,,,,,64,100%,0,0%,4,14%,
71,2022,2022-12-24,15,16,30.105,SFO,,WAS,W 37-20,*,,,,,,0.0%,,,,,,,,52,100%,0,0%,7,26%,
72,2022,2023-01-01,16,17,30.113,SFO,@,LVR,W 37-34,*,,,,,,0.0%,,,,,,,,67,100%,0,0%,8,24%,
73,2022,2023-01-08,17,18,30.120,SFO,,ARI,W 38-13,*,,,,,,0.0%,,,,,,,,51,82%,0,0%,6,23%,
74,2023,2023-09-10,1,1,31.000,SFO,@,PIT,W 30-7,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,0,0%,
75,2023,2023-09-17,2,2,31.007,SFO,@,LAR,W 30-23,*,,,,,,0.0%,,,,,,,,57,100%,0,0%,0,0%,
76,2023,2023-09-21,3,3,31.011,SFO,,NYG,W 30-12,*,,,,,,0.0%,,,,,,,,79,95%,0,0%,0,0%,
77,2023,2023-10-01,4,4,31.021,SFO,,ARI,W 35-16,*,,,,,,0.0%,,,,,,,,55,100%,0,0%,2,9%,
78,2023,2023-10-08,5,5,31.028,SFO,,DAL,W 42-10,*,,,,,,0.0%,,,,,,,,60,85%,0,0%,3,11%,
79,2023,2023-10-15,6,6,31.035,SFO,@,CLE,L 17-19,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,62,100%,0,0%,5,16%,
80,2023,2023-10-23,7,7,31.043,SFO,@,MIN,L 17-22,*,,,,,,0.0%,,,,,,,,53,100%,0,0%,0,0%,
81,2023,2023-10-29,8,8,31.049,SFO,,CIN,L 17-31,*,,,,,,0.0%,,,,,,,,59,100%,0,0%,0,0%,
82,2023,2023-11-12,9,10,31.063,SFO,@,JAX,W 34-3,*,,,,,,0.0%,,,,,,,,62,100%,0,0%,0,0%,
83,2023,2023-11-19,10,11,31.070,SFO,,TAM,W 27-14,*,,,,,,0.0%,,,,,,,,60,100%,0,0%,0,0%,
84,2023,2023-11-23,11,12,31.074,SFO,@,SEA,W 31-13,*,,,,,,0.0%,,,,,,,,66,100%,0,0%,0,0%,
85,2023,2023-12-03,12,13,31.084,SFO,@,PHI,W 42-19,*,,,,,,0.0%,,,,,,,,55,93%,0,0%,0,0%,
86,2023,2023-12-10,13,14,31.091,SFO,,SEA,W 28-16,*,,,,,,0.0%,,,,,,,,54,100%,0,0%,0,0%,
87,2023,2023-12-17,14,15,31.098,SFO,@,ARI,W 45-29,*,,,,,,0.0%,,,,,,,,54,96%,0,0%,0,0%,
88,2023,2023-12-25,15,16,31.106,SFO,,BAL,L 19-33,*,,,,,,0.0%,,,,,,,,70,100%,0,0%,1,4%,
89,2023,2023-12-31,16,17,31.112,SFO,@,WAS,W 27-10,*,,,,,,0.0%,,,,,,,,65,93%,0,0%,0,0%,
90,2023,2024-01-07,17,18,31.119,SFO,,LAR,L 20-21,*,,,,,,0.0%,,,,,,,,45,74%,0,0%,0,0%,
91,2024,2024-09-09,1,1,31.365,SFO,,NYJ,W 32-19,*,,,,,,0.0%,,,,,,,,71,99%,0,0%,2,8%,
92,2024,2024-09-15,2,2,32.005,SFO,@,MIN,L 17-23,*,,,,,,0.0%,,,,,,,,70,100%,0,0%,0,0%,
93,2024,2024-09-22,3,3,32.012,SFO,@,LAR,L 24-27,*,0,0,2,,0,0.0%,,1,0,0,0,0,0,71,100%,0,0%,0,0%,
94,2024,2024-09-29,4,4,32.019,SFO,,NWE,W 30-13,*,,,,,,0.0%,,,,,,,,63,100%,0,0%,0,0%,
95,2024,2024-10-06,5,5,32.026,SFO,,ARI,L 23-24,*,,,,,,0.0%,,,,,,,,64,100%,0,0%,0,0%,
96,2024,2024-10-10,6,6,32.030,SFO,@,SEA,W 36-24,*,,,,,,0.0%,,,,,,,,65,100%,0,0%,1,3%,
97,2024,2024-10-20,7,7,32.040,SFO,,KAN,L 18-28,*,,,,,,0.0%,,,,,,,,63,100%,0,0%,0,0%,
98,2024,2024-10-27,8,8,32.047,SFO,,DAL,W 30-24,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,0,0%,
99,2024,2024-11-10,9,10,32.061,SFO,@,TAM,W 23-20,*,,,,,,0.0%,,,,,,,,64,100%,0,0%,0,0%,
100,2024,2024-11-17,10,11,32.068,SFO,,SEA,L 17-20,*,,,,,,0.0%,,,,,,,,63,100%,0,0%,0,0%,
101,2024,2024-11-24,11,12,32.075,SFO,@,GNB,L 10-38,*,,,,,,0.0%,,,,,,,,49,100%,0,0%,0,0%,
