Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
100,2020,2020-10-04,4,4,29.225,CHI,,IND,L 11-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,313,44.71,42,251,35.9,1,14.3%,2,28.6%,0,0,0%,0,0%,8,30%,
101,2020,2020-10-08,5,5,29.229,CHI,,TAM,W 20-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,228,45.60,20,208,41.6,0,0.0%,3,60.0%,0,0,0%,0,0%,9,32%,
102,2020,2020-10-18,6,6,29.239,CHI,@,CAR,W 23-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,177,44.25,9,148,37.0,1,25.0%,3,75.0%,0,0,0%,0,0%,9,35%,
103,2020,2020-10-26,7,7,29.247,CHI,@,LAR,L 10-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,238,47.60,14,224,44.8,0,0.0%,2,40.0%,0,0,0%,0,0%,7,28%,
104,2020,2020-11-01,8,8,29.253,CHI,,NOR,L 23-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,200,50.00,67,133,33.3,0,0.0%,1,25.0%,0,0,0%,0,0%,10,29%,
105,2020,2020-11-08,9,9,29.260,CHI,@,TEN,L 17-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,298,49.67,49,229,38.2,1,16.7%,2,33.3%,0,0,0%,0,0%,10,30%,
106,2020,2020-11-16,10,10,29.268,CHI,,MIN,L 13-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,221,44.20,0,201,40.2,1,20.0%,2,40.0%,0,0,0%,0,0%,8,32%,
107,2020,2020-11-29,11,12,29.281,CHI,@,GNB,L 25-41,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,88,44.00,0,88,44.0,0,0.0%,1,50.0%,0,0,0%,0,0%,5,20%,
108,2020,2020-12-06,12,13,29.288,CHI,,DET,L 30-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,170,42.50,20,150,37.5,0,0.0%,2,50.0%,0,0,0%,0,0%,9,30%,
109,2020,2020-12-13,13,14,29.295,CHI,,HOU,W 36-7,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,199,39.80,7,172,34.4,1,20.0%,2,40.0%,0,0,0%,0,0%,12,45%,
110,2020,2020-12-20,14,15,29.302,CHI,@,MIN,W 33-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,44,44.00,0,44,44.0,0,0.0%,1,100.0%,0,0,0%,0,0%,8,28%,
111,2020,2020-12-27,15,16,29.309,CHI,@,JAX,W 41-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,133,44.33,0,133,44.3,0,0.0%,1,33.3%,0,0,0%,0,0%,10,32%,
112,2020,2021-01-03,16,17,29.316,CHI,,GNB,L 16-35,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,53,53.00,7,46,46.0,0,0.0%,1,100.0%,0,0,0%,0,0%,5,22%,
113,2021,2021-09-12,1,1,30.202,CHI,@,LAR,L 14-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,36,36.00,0,36,36.0,0,0.0%,1,100.0%,0,0,0%,0,0%,3,15%,
114,2021,2021-09-19,2,2,30.209,CHI,,CIN,W 20-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,169,42.25,15,134,33.5,1,25.0%,2,50.0%,0,0,0%,0,0%,8,37%,
115,2021,2021-09-26,3,3,30.216,CHI,@,CLE,L 6-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,397,56.71,103,294,42.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,33%,
116,2021,2021-10-03,4,4,30.223,CHI,,DET,W 24-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,159,53.00,29,130,43.3,0,0.0%,0,0.0%,0,0,0%,0,0%,8,38%,
117,2021,2021-10-10,5,5,30.230,CHI,@,LVR,W 20-9,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,234,46.80,9,225,45.0,0,0.0%,2,40.0%,0,0,0%,0,0%,9,41%,
118,2021,2021-10-17,6,6,30.237,CHI,,GNB,L 14-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,161,40.25,16,145,36.3,0,0.0%,3,75.0%,0,0,0%,0,0%,6,29%,
119,2021,2021-10-24,7,7,30.244,CHI,@,TAM,L 3-38,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,4,160,40.00,43,97,24.3,1,25.0%,1,25.0%,0,0,0%,0,0%,5,20%,
120,2021,2021-10-31,8,8,30.251,CHI,,SFO,L 22-33,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,85,42.50,28,57,28.5,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%,
121,2021,2021-11-08,9,9,30.259,CHI,@,PIT,L 27-29,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,234,46.80,28,206,41.2,0,0.0%,2,40.0%,0,0,0%,0,0%,11,31%,
122,2021,2021-11-21,10,11,30.272,CHI,,BAL,L 13-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,205,41.00,19,186,37.2,0,0.0%,2,40.0%,0,0,0%,0,0%,7,28%,
123,2021,2021-11-25,11,12,30.276,CHI,@,DET,W 16-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,183,45.75,9,174,43.5,0,0.0%,2,50.0%,0,0,0%,0,0%,9,38%,
124,2021,2021-12-05,12,13,30.286,CHI,,ARI,L 22-33,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,91,45.50,0,91,45.5,0,0.0%,1,50.0%,0,0,0%,0,0%,5,21%,
125,2021,2021-12-12,13,14,30.293,CHI,@,GNB,L 30-45,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,185,46.25,28,137,34.3,1,25.0%,0,0.0%,0,0,0%,0,0%,11,31%,
126,2021,2021-12-20,14,15,30.301,CHI,,MIN,L 9-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,161,53.67,16,145,48.3,0,0.0%,1,33.3%,0,0,0%,0,0%,5,24%,
127,2021,2021-12-26,15,16,30.307,CHI,@,SEA,W 25-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,135,45.00,15,100,33.3,1,33.3%,0,0.0%,0,0,0%,0,0%,6,24%,
128,2021,2022-01-02,16,17,30.314,CHI,,NYG,W 29-3,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,227,45.40,17,190,38.0,1,20.0%,1,20.0%,0,0,0%,0,0%,10,43%,
129,2021,2022-01-09,17,18,30.321,CHI,@,MIN,L 17-31,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,43,43.00,0,43,43.0,0,0.0%,1,100.0%,0,0,0%,0,0%,4,16%,
