Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
121,2023,2023-10-22,7,7,30.294,LAR,,PIT,L 17-24,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,90%,0,0%,0,0%,
122,2023,2023-10-29,8,8,30.301,LAR,@,DAL,L 20-43,*,7,5,45,9.00,0,71.4%,6.43,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,87%,0,0%,0,0%,
123,2023,2023-11-05,9,9,30.308,LAR,@,GNB,L 3-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,91%,0,0%,0,0%,
124,2023,2023-11-19,10,11,30.322,LAR,,SEA,W 17-16,*,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,
125,2023,2023-11-26,11,12,30.329,LAR,@,ARI,W 37-14,*,5,5,29,5.80,2,100.0%,5.80,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,50,75%,0,0%,1,4%,
126,2023,2023-12-03,12,13,30.336,LAR,,CLE,W 36-19,*,4,2,35,17.50,0,50.0%,8.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,67%,0,0%,0,0%,
127,2023,2023-12-10,13,14,,LAR,@,BAL,L 31-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
128,2023,2023-12-17,14,15,30.350,LAR,,WAS,W 28-20,*,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,63%,0,0%,2,7%,
129,2023,2023-12-21,15,16,30.354,LAR,,NOR,W 30-22,*,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,74%,0,0%,2,8%,
130,2023,2023-12-31,16,17,30.364,LAR,@,NYG,W 26-25,*,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,94%,0,0%,1,3%,
