Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
53,2024,2024-09-15,2,2,24.344,LAR,@,ARI,L 10-41,,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,10,19%,0,0%,0,0%,
54,2024,2024-09-22,3,3,24.351,LAR,,SFO,W 27-24,*,5,4,93,23.25,0,80.0%,18.60,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,43,74%,0,0%,0,0%,
55,2024,2024-09-29,4,4,24.358,LAR,@,CHI,L 18-24,*,6,4,82,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,90%,0,0%,0,0%,
56,2024,2024-10-06,5,5,24.365,LAR,,GNB,L 19-24,*,10,6,58,9.67,0,60.0%,5.80,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,63,81%,0,0%,0,0%,
57,2024,2024-10-20,6,7,25.013,LAR,,LVR,W 20-15,*,9,6,51,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,43,78%,0,0%,0,0%,
58,2024,2024-10-24,7,8,25.017,LAR,,MIN,W 30-20,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,9,13%,0,0%,1,4%,
59,2024,2024-11-03,8,9,25.027,LAR,@,SEA,W 26-20,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,26,34%,0,0%,0,0%,
60,2024,2024-11-11,9,10,25.035,LAR,,MIA,L 15-23,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,13,19%,0,0%,0,0%,
61,2024,2024-11-17,10,11,25.041,LAR,@,NWE,W 28-22,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,7,13%,0,0%,0,0%,
62,2024,2024-11-24,11,12,25.048,LAR,,PHI,L 20-37,,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,17,27%,0,0%,0,0%,
