Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
11,2020,2020-11-23,11,11,22.090,TAM,,LAR,L 24-27,,,,,,,0.0%,,,,,,0,0,,,,,,,7,10%,0,0%,0,0%,
12,2020,2020-11-29,12,12,22.096,TAM,,KAN,L 24-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,5,8%,0,0%,6,21%,
13,2020,2020-12-13,13,14,22.110,TAM,,MIN,W 26-14,,,,,,,0.0%,,,,,,0,0,,,,,,,3,6%,0,0%,0,0%,
14,2020,2020-12-20,14,15,22.117,TAM,@,ATL,W 31-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,11,16%,0,0%,17,52%,
15,2020,2020-12-26,15,16,22.123,TAM,@,DET,W 47-7,,1,1,35,35.00,0,100.0%,35.00,0,0,,0,0,0,0.0,0,0,0,0,0,25,32%,0,0%,8,27%,
16,2020,2021-01-03,16,17,22.131,TAM,,ATL,W 44-27,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,0.0,0,0,0,0,0,18,27%,0,0%,0,0%,
17,2021,2021-09-09,1,1,23.015,TAM,,DAL,W 31-29,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,3,5%,0,0%,7,21%,
18,2021,2021-09-19,2,2,23.025,TAM,,ATL,W 48-25,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,17,27%,0,0%,9,30%,
19,2021,2021-09-26,3,3,23.032,TAM,@,LAR,L 24-34,,6,3,63,21.00,0,50.0%,10.50,0,0,,0,0,0,0.0,0,0,0,0,0,34,47%,0,0%,11,37%,
20,2021,2021-10-03,4,4,23.039,TAM,@,NWE,W 19-17,,2,0,0,,0,0.0%,0.00,1,10,10.00,0,0,0,0.0,0,0,0,0,0,17,22%,0,0%,8,28%,
21,2021,2021-10-10,5,5,23.046,TAM,,MIA,W 45-17,,3,3,42,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0,0,0,0,38,51%,0,0%,7,25%,
22,2021,2021-10-14,6,6,23.050,TAM,@,PHI,W 28-22,,,,,,,0.0%,,,,,,0,0,,,,,,,12,16%,0,0%,9,38%,
23,2021,2021-10-24,7,7,23.060,TAM,,CHI,W 38-3,*,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,49,67%,0,0%,0,0%,
24,2021,2021-10-31,8,8,23.067,TAM,@,NOR,L 27-36,,6,5,65,13.00,0,83.3%,10.83,0,0,,0,0,0,0.0,0,0,0,0,0,39,64%,0,0%,0,0%,
25,2021,2021-11-14,9,10,23.081,TAM,@,WAS,L 19-29,,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,0.0,0,0,0,0,0,33,69%,0,0%,0,0%,
26,2021,2021-11-22,10,11,23.089,TAM,,NYG,W 30-10,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0.0,1,0,1,0,0,57,73%,0,0%,0,0%,
27,2021,2021-11-28,11,12,23.095,TAM,@,IND,W 38-31,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,48,72%,0,0%,6,19%,
28,2021,2021-12-05,12,13,23.102,TAM,@,ATL,W 30-17,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,9,13%,0,0%,4,15%,
29,2021,2021-12-12,13,14,23.109,TAM,,BUF,W 33-27,*,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,0.0,0,0,0,0,0,49,59%,0,0%,7,20%,
30,2021,2021-12-19,14,15,23.116,TAM,,NOR,L 0-9,*,7,4,41,10.25,0,57.1%,5.86,0,0,,0,0,0,0.0,0,0,0,0,0,70,95%,0,0%,4,15%,
31,2021,2021-12-26,15,16,23.123,TAM,@,CAR,W 32-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,36,54%,0,0%,0,0%,
32,2021,2022-01-02,16,17,23.130,TAM,@,NYJ,W 28-24,,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,0.0,0,0,0,0,0,49,66%,0,0%,13,50%,
33,2021,2022-01-09,17,18,23.137,TAM,,CAR,W 41-17,,7,5,22,4.40,0,71.4%,3.14,0,0,,0,0,0,0.0,0,0,0,0,0,52,87%,0,0%,4,14%,
34,2022,2022-09-11,1,1,,HOU,,IND,T 20-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2022,2022-09-18,2,2,,HOU,@,DEN,L 9-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2022,2022-09-25,3,3,,HOU,@,CHI,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2022,2022-10-02,4,4,24.038,HOU,,LAC,L 24-34,,,,,,,0.0%,,,,,,0,0,,,,,,,4,7%,0,0%,0,0%,
38,2022,2022-10-09,5,5,24.045,HOU,@,JAX,W 13-6,,,,,,,0.0%,,,,,,0,0,,,,,,,25,43%,0,0%,0,0%,
39,2022,2022-10-23,6,7,,HOU,@,LVR,L 20-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2022,2022-11-06,9,9,,TAM,,LAR,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,2022,2022-11-13,10,10,,TAM,,SEA,W 21-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2022,2022-11-27,11,12,,TAM,@,CLE,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2022,2022-12-05,12,13,,TAM,,NOR,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2022,2022-12-11,13,14,,TAM,@,SFO,L 7-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2022,2022-12-18,14,15,,TAM,,CIN,L 23-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2022,2022-12-25,15,16,,TAM,@,ARI,W 19-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2022,2023-01-01,16,17,,TAM,,CAR,W 30-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,2022,2023-01-08,17,18,,TAM,@,ATL,L 17-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2023,2023-09-10,1,1,,LAR,@,SEA,W 30-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2023,2023-09-17,2,2,,LAR,,SFO,L 23-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,2023,2023-09-25,3,3,,LAR,@,CIN,L 16-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2023,2023-10-01,4,4,,LAR,@,IND,W 29-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,2023,2023-10-08,5,5,,LAR,,PHI,L 14-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2023,2023-10-15,6,6,,LAR,,ARI,W 26-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2023,2023-10-22,7,7,,LAR,,PIT,L 17-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2023,2023-10-29,8,8,,LAR,@,DAL,L 20-43,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2023,2023-11-05,9,9,,LAR,@,GNB,L 3-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2023,2023-11-19,10,11,,LAR,,SEA,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2023,2023-11-26,11,12,,LAR,@,ARI,W 37-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2023,2023-12-03,12,13,,LAR,,CLE,W 36-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2023,2023-12-10,13,14,,LAR,@,BAL,L 31-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2023,2023-12-17,14,15,,LAR,,WAS,W 28-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2023,2023-12-21,15,16,,LAR,,NOR,W 30-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2023,2023-12-31,16,17,,LAR,@,NYG,W 26-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,2023,2024-01-07,17,18,25.135,LAR,@,SFO,W 21-20,,3,2,8,4.00,1,66.7%,2.67,0,0,,0,1,6,0.0,0,0,0,0,0,36,54%,0,0%,4,21%,
66,2024,2024-09-08,1,1,26.014,LAR,@,DET,L 20-26,,7,5,79,15.80,0,71.4%,11.29,0,0,,0,0,0,0.0,0,0,0,0,0,51,65%,0,0%,1,4%,
67,2024,2024-09-15,2,2,26.021,LAR,@,ARI,L 10-41,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,0.0,0,0,0,0,0,45,87%,0,0%,0,0%,
68,2024,2024-09-22,3,3,26.028,LAR,,SFO,W 27-24,,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,29,50%,0,0%,0,0%,
69,2024,2024-09-29,4,4,26.035,LAR,@,CHI,L 18-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,10,16%,0,0%,0,0%,
70,2024,2024-10-06,5,5,26.042,LAR,,GNB,L 19-24,,,,,,,0.0%,,,,,,0,0,,,,,,,11,14%,0,0%,0,0%,
71,2024,2024-10-20,6,7,26.056,LAR,,LVR,W 20-15,*,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,0.0,0,0,0,0,0,50,91%,0,0%,0,0%,
72,2024,2024-10-24,7,8,26.060,LAR,,MIN,W 30-20,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,27,38%,0,0%,0,0%,
73,2024,2024-11-03,8,9,26.070,LAR,@,SEA,W 26-20,,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,0.0,0,0,0,0,0,29,38%,0,0%,0,0%,
74,2024,2024-11-11,9,10,26.078,LAR,,MIA,L 15-23,,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,0.0,0,0,0,0,0,10,14%,0,0%,0,0%,
75,2024,2024-11-17,10,11,26.084,LAR,@,NWE,W 28-22,,,,,,,0.0%,,,,,,0,0,,,,,,,7,13%,0,0%,0,0%,
76,2024,2024-11-24,11,12,26.091,LAR,,PHI,L 20-37,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,13,20%,0,0%,0,0%,
