Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
51,2023,2024-01-07,17,18,,LAR,@,SFO,W 21-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2024,2024-09-08,1,1,26.020,LAR,@,DET,L 20-26,,,,,,,0.0%,,,,,,,,3,4%,0,0%,5,19%,
53,2024,2024-09-15,2,2,26.027,LAR,@,ARI,L 10-41,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,10,19%,0,0%,14,56%,
54,2024,2024-09-22,3,3,26.034,LAR,,SFO,W 27-24,*,,,,,,0.0%,,,,,,,,26,45%,0,0%,14,52%,
55,2024,2024-09-29,4,4,26.041,LAR,@,CHI,L 18-24,,,,,,,0.0%,,,,,,,,13,21%,0,0%,12,46%,
56,2024,2024-10-06,5,5,26.048,LAR,,GNB,L 19-24,,2,2,16,8.00,0,100.0%,8.00,0.0,0,0,0,0,0,17,22%,0,0%,10,45%,
57,2024,2024-10-20,6,7,26.062,LAR,,LVR,W 20-15,,1,1,5,5.00,0,100.0%,5.00,0.0,0,0,0,0,0,16,29%,0,0%,15,54%,
58,2024,2024-10-24,7,8,26.066,LAR,,MIN,W 30-20,,1,1,18,18.00,0,100.0%,18.00,0.0,0,0,0,0,0,30,42%,0,0%,13,52%,
59,2024,2024-11-03,8,9,26.076,LAR,@,SEA,W 26-20,,1,1,4,4.00,0,100.0%,4.00,0.0,0,0,0,0,0,26,34%,0,0%,20,63%,
60,2024,2024-11-11,9,10,26.084,LAR,,MIA,L 15-23,*,,,,,,0.0%,,,,,,,,9,13%,0,0%,19,68%,
61,2024,2024-11-17,10,11,26.090,LAR,@,NWE,W 28-22,,,,,,,0.0%,,,,,,,,18,35%,0,0%,16,59%,
62,2024,2024-11-24,11,12,26.097,LAR,,PHI,L 20-37,,,,,,,0.0%,,,,,,,,13,20%,0,0%,21,75%,
