Team,Player,Position,Age,Experience,College,Games_Played,GS_total,GS_avg,GS_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Y/Tgt_total,Y/Tgt_avg,Y/Tgt_max,Att_total,Att_avg,Att_max,Y/A_total,Y/A_avg,Y/A_max
Lions,Kalif Raymond,WR,30.0,8,Holy Cross,97,0.0,0.0,0.0,230.0,2.277227722772277,10.0,165.0,1.6336633663366336,6.0,2254.0,22.316831683168317,118.0,899.44,8.905346534653466,56.0,8.0,0.07920792079207921,2.0,5240.2,51.88316831683168,100.0,771.76,7.641188118811881,56.0,23.0,0.22772277227722773,2.0,120.0,1.188118811881188,40.0
Lions,Tim Patrick,WR,31.0,6,Utah,65,0.0,0.0,0.0,259.0,2.3545454545454545,10.0,162.0,1.4727272727272727,7.0,2267.0,20.60909090909091,119.0,714.61,6.4964545454545455,26.0,12.0,0.10909090909090909,2.0,3559.6,32.36,100.0,499.23,4.538454545454545,26.0,3.0,0.02727272727272727,1.0,17.0,0.15454545454545454,13.0
Rams,Puka Nacua,WR,23.0,1,WashingtonBYU,23,0.0,0.0,0.0,213.0,7.607142857142857,20.0,142.0,5.071428571428571,15.0,1976.0,70.57142857142857,164.0,317.32,11.332857142857142,26.25,7.0,0.25,1.0,1498.0,53.5,100.0,208.97,7.463214285714286,16.3,15.0,0.5357142857142857,2.0,60.5,2.1607142857142856,17.0
Commanders,Noah Brown,WR,28.0,7,Ohio St.,85,0.0,0.0,0.0,237.0,2.135135135135135,11.0,141.0,1.2702702702702702,8.0,1902.0,17.135135135135137,172.0,660.76,5.952792792792793,25.5,6.0,0.05405405405405406,2.0,3886.2,35.01081081081081,100.0,479.52,4.319999999999999,25.5,2.0,0.018018018018018018,1.0,3.0,0.02702702702702703,4.0
Packers,Romeo Doubs,WR,24.0,2,Nevada,40,0.0,0.0,0.0,216.0,4.8,13.0,135.0,3.0,9.0,1582.0,35.15555555555556,95.0,454.87,10.108222222222222,24.0,13.0,0.28888888888888886,2.0,2490.2,55.337777777777774,100.0,310.15,6.892222222222221,20.67,1.0,0.022222222222222223,1.0,11.0,0.24444444444444444,11.0
Falcons,Ray-Ray McCloud,WR,28.0,6,Clemson,88,0.0,0.0,0.0,189.0,1.89,12.0,131.0,1.31,9.0,1149.0,11.49,66.0,529.83,5.2983,42.0,2.0,0.02,1.0,4528.9,45.288999999999994,100.0,411.58,4.1158,33.0,21.0,0.21,3.0,200.33,2.0033000000000003,71.0
Seahawks,Jaxon Smith-Njigba,WR,22.0,1,Ohio St.,28,0.0,0.0,0.0,186.0,6.642857142857143,16.0,129.0,4.607142857142857,12.0,1383.0,49.392857142857146,180.0,295.1,10.539285714285715,25.71,8.0,0.2857142857142857,2.0,1958.0,69.92857142857143,100.0,209.28,7.474285714285714,13.85,1.0,0.03571428571428571,1.0,8.0,0.2857142857142857,8.0
Commanders,Olamide Zaccheaus,WR,27.0,5,Virginia,83,0.0,0.0,0.0,205.0,2.1808510638297873,9.0,127.0,1.351063829787234,8.0,1734.0,18.4468085106383,103.0,813.13,8.65031914893617,93.0,10.0,0.10638297872340426,2.0,3870.9,41.17978723404256,100.0,579.45,6.16436170212766,46.5,4.0,0.0425531914893617,1.0,9.0,0.09574468085106383,13.0
49ers,Jauan Jennings,WR,27.0,3,Tennessee,54,0.0,0.0,0.0,192.0,3.096774193548387,12.0,125.0,2.0161290322580645,11.0,1591.0,25.661290322580644,175.0,539.73,8.705322580645161,29.33,11.0,0.1774193548387097,3.0,3014.8,48.62580645161291,100.0,375.34,6.053870967741935,22.5,,,,,,
Bears,DeAndre Carter,WR,31.0,6,Sacramento St.,105,0.0,0.0,0.0,171.0,1.6285714285714286,10.0,117.0,1.1142857142857143,7.0,1331.0,12.676190476190476,73.0,557.6,5.310476190476191,46.0,6.0,0.05714285714285714,1.0,3872.7,36.88285714285714,100.0,412.57,3.929238095238095,24.0,16.0,0.1523809523809524,2.0,97.5,0.9285714285714286,27.0
Packers,Jayden Reed,WR,24.0,1,Western MichiganMichigan St.,27,0.0,0.0,0.0,146.0,5.214285714285714,10.0,105.0,3.75,8.0,1462.0,52.214285714285715,139.0,380.14,13.57642857142857,34.5,12.0,0.42857142857142855,2.0,1998.9,71.38928571428572,100.0,274.1,9.789285714285715,28.0,23.0,0.8214285714285714,4.0,119.33,4.261785714285714,33.0
Cardinals,Greg Dortch,WR,26.0,5,Wake Forest,50,0.0,0.0,0.0,143.0,2.1666666666666665,11.0,102.0,1.5454545454545454,10.0,954.0,14.454545454545455,103.0,256.51,3.8865151515151513,22.5,5.0,0.07575757575757576,1.0,2338.7,35.43484848484848,100.0,180.41,2.7334848484848484,13.75,10.0,0.15151515151515152,3.0,52.83,0.8004545454545454,24.0
Panthers,David Moore,WR,29.0,7,East Central (OK),68,0.0,0.0,0.0,175.0,1.8617021276595744,10.0,102.0,1.0851063829787233,6.0,1459.0,15.52127659574468,103.0,696.59,7.4105319148936175,45.0,15.0,0.1595744680851064,2.0,3391.9,36.08404255319149,100.0,481.41,5.121382978723404,45.0,12.0,0.1276595744680851,2.0,77.0,0.8191489361702128,19.0
Vikings,Jordan Addison,WR,22.0,1,PittsburghUSC,26,0.0,0.0,0.0,158.0,5.642857142857143,10.0,102.0,3.642857142857143,8.0,1432.0,51.142857142857146,162.0,345.75,12.348214285714286,24.0,14.0,0.5,2.0,1621.7,57.917857142857144,100.0,229.69,8.203214285714285,18.5,4.0,0.14285714285714285,1.0,22.0,0.7857142857142857,9.0
Eagles,Jahan Dotson,WR,24.0,2,Penn St.,39,0.0,0.0,0.0,161.0,3.659090909090909,10.0,93.0,2.1136363636363638,8.0,1147.0,26.068181818181817,108.0,404.46,9.192272727272726,36.0,11.0,0.25,2.0,2090.2,47.50454545454545,100.0,282.89,6.429318181818181,36.0,3.0,0.06818181818181818,1.0,6.0,0.13636363636363635,13.0
Packers,Christian Watson,WR,25.0,2,North Dakota St.,33,0.0,0.0,0.0,153.0,3.4,9.0,89.0,1.9777777777777779,7.0,1416.0,31.466666666666665,150.0,466.57,10.368222222222222,37.5,14.0,0.3111111111111111,3.0,1917.4,42.60888888888889,100.0,303.1,6.735555555555556,37.5,13.0,0.28888888888888886,2.0,77.5,1.7222222222222223,46.0
Rams,Tutu Atwell,WR,25.0,3,Louisville,48,0.0,0.0,0.0,147.0,2.370967741935484,10.0,87.0,1.403225806451613,7.0,1204.0,19.419354838709676,119.0,528.13,8.518225806451612,62.0,4.0,0.06451612903225806,1.0,2042.2,32.938709677419354,100.0,356.06,5.742903225806452,62.0,15.0,0.24193548387096775,4.0,53.25,0.8588709677419355,22.0
Vikings,Trent Sherfield,WR,28.0,6,Vanderbilt,107,0.0,0.0,0.0,149.0,1.3545454545454545,7.0,85.0,0.7727272727272727,6.0,1007.0,9.154545454545454,77.0,588.9,5.3536363636363635,75.0,6.0,0.05454545454545454,1.0,3499.7,31.815454545454543,100.0,386.24,3.5112727272727273,38.0,,,,,,
Vikings,Brandon Powell,WR,29.0,6,Florida,72,0.0,0.0,0.0,119.0,1.202020202020202,9.0,81.0,0.8181818181818182,6.0,729.0,7.363636363636363,103.0,304.85,3.0792929292929294,17.67,3.0,0.030303030303030304,1.0,3023.3,30.53838383838384,100.0,243.65,2.4611111111111112,15.0,25.0,0.25252525252525254,3.0,67.83,0.6851515151515152,15.0
Rams,Tyler Johnson,WR,26.0,4,Minnesota,45,0.0,0.0,0.0,108.0,1.4210526315789473,7.0,72.0,0.9473684210526315,5.0,793.0,10.43421052631579,79.0,313.96,4.131052631578947,35.0,3.0,0.039473684210526314,1.0,2310.4,30.400000000000002,100.0,252.19,3.3182894736842106,35.0,,,,,,
Cardinals,Michael Wilson,WR,24.0,1,Stanford,24,0.0,0.0,0.0,106.0,3.7857142857142856,9.0,70.0,2.5,8.0,926.0,33.07142857142857,95.0,303.25,10.830357142857142,43.0,6.0,0.21428571428571427,2.0,1475.1,52.68214285714286,100.0,222.44,7.944285714285714,43.0,,,,,,
Giants,Malik Nabers,WR,21.0,Rook,LSU,9,0.0,0.0,0.0,103.0,9.363636363636363,18.0,67.0,6.090909090909091,12.0,671.0,61.0,127.0,91.17999999999999,8.289090909090909,13.2,3.0,0.2727272727272727,2.0,586.0,53.27272727272727,81.8,58.72,5.338181818181818,9.43,4.0,0.36363636363636365,2.0,-4.0,-0.36363636363636365,2.0
Falcons,KhaDarel Hodge,WR,29.0,6,Alcorn St.Hinds CCPrairie View A&M,101,0.0,0.0,0.0,106.0,0.9814814814814815,10.0,62.0,0.5740740740740741,5.0,962.0,8.907407407407407,76.0,557.03,5.157685185185185,41.0,2.0,0.018518518518518517,1.0,3090.0,28.61111111111111,100.0,435.95,4.036574074074074,33.5,1.0,0.009259259259259259,1.0,0.0,0.0,0.0
Cowboys,Jalen Tolbert,WR,25.0,2,South Alabama,35,0.0,0.0,0.0,92.0,2.090909090909091,10.0,59.0,1.3409090909090908,7.0,668.0,15.181818181818182,87.0,241.6,5.490909090909091,25.5,5.0,0.11363636363636363,1.0,1575.1,35.79772727272727,100.0,184.5,4.193181818181818,25.5,,,,,,
Packers,Dontayvion Wicks,WR,23.0,1,Virginia,26,0.0,0.0,0.0,104.0,3.7142857142857144,13.0,56.0,2.0,6.0,798.0,28.5,97.0,286.77,10.241785714285713,30.33,8.0,0.2857142857142857,2.0,1356.8,48.457142857142856,100.0,190.21,6.793214285714286,18.2,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0
Cowboys,Jonathan Mingo,WR,23.0,1,Mississippi,25,0.0,0.0,0.0,115.0,4.107142857142857,10.0,55.0,1.9642857142857142,6.0,539.0,19.25,69.0,186.44,6.658571428571428,20.0,0.0,0.0,0.0,1190.8,42.528571428571425,100.0,102.46000000000001,3.6592857142857147,12.4,2.0,0.07142857142857142,1.0,5.0,0.17857142857142858,3.0
Lions,Jameson Williams,WR,23.0,2,Ohio St.Alabama,27,0.0,0.0,0.0,99.0,2.2,11.0,54.0,1.2,5.0,997.0,22.155555555555555,124.0,370.65,8.236666666666666,41.0,7.0,0.15555555555555556,1.0,1398.1,31.068888888888885,100.0,251.75,5.594444444444444,40.0,10.0,0.2222222222222222,1.0,107.0,2.3777777777777778,40.0
Buccaneers,Trey Palmer,WR,23.0,1,LSUNebraska,26,0.0,0.0,0.0,85.0,3.0357142857142856,7.0,49.0,1.75,4.0,526.0,18.785714285714285,84.0,253.25,9.044642857142858,23.5,4.0,0.14285714285714285,1.0,1487.0,53.107142857142854,100.0,160.24,5.722857142857143,18.0,3.0,0.10714285714285714,1.0,22.0,0.7857142857142857,13.0
Commanders,Dyami Brown,WR,25.0,3,North Carolina,58,0.0,0.0,0.0,82.0,1.3225806451612903,6.0,43.0,0.6935483870967742,3.0,625.0,10.080645161290322,105.0,385.66,6.220322580645162,52.5,4.0,0.06451612903225806,2.0,2033.3,32.79516129032258,100.0,288.09,4.646612903225806,28.5,3.0,0.04838709677419355,1.0,11.0,0.1774193548387097,15.0
Cowboys,KaVontae Turpin,WR,28.0,2,TCU,43,0.0,0.0,0.0,51.0,1.1590909090909092,7.0,33.0,0.75,4.0,403.0,9.159090909090908,86.0,219.67000000000002,4.992500000000001,34.0,5.0,0.11363636363636363,1.0,1403.8,31.904545454545453,100.0,181.93,4.134772727272727,34.0,19.0,0.4318181818181818,3.0,128.67,2.9243181818181814,46.0
Panthers,Xavier Legette,WR,23.0,Rook,South Carolina,11,0.0,0.0,0.0,51.0,4.636363636363637,10.0,33.0,3.0,6.0,340.0,30.90909090909091,66.0,102.0,9.272727272727273,21.0,4.0,0.36363636363636365,1.0,691.0,62.81818181818182,100.0,70.04,6.367272727272728,14.0,5.0,0.45454545454545453,2.0,17.0,1.5454545454545454,6.0
Seahawks,Jake Bobo,WR,26.0,1,DukeUCLA,28,0.0,0.0,0.0,39.0,1.3928571428571428,5.0,29.0,1.0357142857142858,4.0,285.0,10.178571428571429,61.0,163.25,5.830357142857143,21.5,2.0,0.07142857142857142,1.0,1663.3,59.403571428571425,100.0,143.87,5.138214285714286,21.5,1.0,0.03571428571428571,1.0,3.0,0.10714285714285714,3.0
Vikings,Jalen Nailor,WR,25.0,2,Michigan St.,32,0.0,0.0,0.0,47.0,1.0444444444444445,5.0,29.0,0.6444444444444445,4.0,460.0,10.222222222222221,89.0,226.0,5.022222222222222,31.0,6.0,0.13333333333333333,1.0,1066.6,23.702222222222222,100.0,168.79,3.7508888888888885,29.67,3.0,0.06666666666666667,1.0,-4.0,-0.08888888888888889,3.0
Bears,Rome Odunze,WR,22.0,Rook,Washington,9,0.0,0.0,0.0,50.0,5.555555555555555,11.0,28.0,3.111111111111111,6.0,414.0,46.0,112.0,126.31,14.034444444444444,20.8,1.0,0.1111111111111111,1.0,507.5,56.388888888888886,100.0,75.05,8.338888888888889,20.0,3.0,0.3333333333333333,2.0,8.5,0.9444444444444444,6.5
Giants,Jalin Hyatt,WR,23.0,1,Tennessee,27,0.0,0.0,0.0,52.0,1.8571428571428572,6.0,28.0,1.0,5.0,418.0,14.928571428571429,109.0,167.88,5.9957142857142856,44.5,0.0,0.0,0.0,805.0,28.75,100.0,119.55,4.269642857142857,44.5,,,,,,
Panthers,Deven Thompkins,WR,25.0,2,Utah St.,25,0.0,0.0,0.0,38.0,0.9047619047619048,9.0,25.0,0.5952380952380952,4.0,128.0,3.0476190476190474,45.0,50.5,1.2023809523809523,11.25,1.0,0.023809523809523808,1.0,911.1,21.692857142857143,100.0,41.86,0.9966666666666667,11.25,11.0,0.2619047619047619,2.0,76.5,1.8214285714285714,17.0
Packers,Malik Heath,WR,24.0,1,Copiah-Lincoln CCMississippi St.Mississippi,22,0.0,0.0,0.0,31.0,1.1071428571428572,4.0,21.0,0.75,4.0,166.0,5.928571428571429,46.0,85.67,3.0596428571428573,15.0,2.0,0.07142857142857142,1.0,891.7,31.84642857142857,100.0,65.59,2.3425000000000002,11.5,,,,,,
Packers,Bo Melton,WR,25.0,1,Rutgers,16,0.0,0.0,0.0,36.0,0.8,9.0,21.0,0.4666666666666667,6.0,291.0,6.466666666666667,105.0,120.9,2.686666666666667,28.0,1.0,0.022222222222222223,1.0,538.1,11.957777777777778,100.0,67.19,1.493111111111111,11.67,9.0,0.2,2.0,35.5,0.7888888888888889,13.5
Rams,Jordan Whittington,WR,24.0,Rook,Texas,9,0.0,0.0,0.0,23.0,2.090909090909091,10.0,18.0,1.6363636363636365,7.0,201.0,18.272727272727273,89.0,43.370000000000005,3.9427272727272733,12.71,0.0,0.0,0.0,345.0,31.363636363636363,100.0,36.980000000000004,3.3618181818181823,11.0,,,,,,
Bears,Tyler Scott,WR,23.0,1,Cincinnati,23,0.0,0.0,0.0,32.0,1.2307692307692308,5.0,17.0,0.6538461538461539,3.0,168.0,6.461538461538462,49.0,105.33,4.051153846153846,16.33,0.0,0.0,0.0,698.3,26.857692307692307,100.0,71.25,2.7403846153846154,15.0,7.0,0.2692307692307692,2.0,24.5,0.9423076923076923,16.0
Panthers,Jalen Coker,WR,23.0,Rook,Holy Cross,7,0.0,0.0,0.0,26.0,2.3636363636363638,8.0,17.0,1.5454545454545454,4.0,263.0,23.90909090909091,78.0,88.17,8.015454545454546,19.5,1.0,0.09090909090909091,1.0,470.9,42.809090909090905,100.0,67.13,6.102727272727273,17.0,,,,,,
