Team,Player,Position,Age,Experience,College,Games_Played,GS_total,GS_avg,GS_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Y/Tgt_total,Y/Tgt_avg,Y/Tgt_max,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max
Cowboys,Luke Schoonmaker,TE,26.0,1,Michigan,27,0.0,0.0,0.0,36.0,1.3333333333333333,10.0,22.0,0.8148148148148148,6.0,177.0,6.555555555555555,56.0,83.0,3.074074074074074,13.0,2.0,0.07407407407407407,1.0,910.0,33.7037037037037,100.0,66.77,2.472962962962963,13.0,0.0,0.0,0.0,2.0,0.07407407407407407,1.0,0.0,0.0,0.0,2.0,0.07407407407407407,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Seahawks,AJ Barner,TE,22.0,Rook,IndianaMichigan,11,0.0,0.0,0.0,25.0,2.272727272727273,7.0,19.0,1.7272727272727273,4.0,166.0,15.090909090909092,34.0,86.41,7.8554545454545455,17.0,1.0,0.09090909090909091,1.0,782.1,71.10000000000001,100.0,78.19,7.108181818181818,17.0,,,,,,,,,,,,,,,,,,
Rams,Davis Allen,TE,23.0,1,Clemson,24,0.0,0.0,0.0,23.0,0.8214285714285714,6.0,16.0,0.5714285714285714,5.0,134.0,4.785714285714286,50.0,50.55,1.8053571428571427,14.0,1.0,0.03571428571428571,1.0,496.6,17.735714285714288,100.0,43.59,1.5567857142857144,14.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lions,Shane Zylstra,TE,28.0,3,Minnesota St.,23,0.0,0.0,0.0,23.0,0.3770491803278688,6.0,15.0,0.2459016393442623,5.0,116.0,1.901639344262295,26.0,77.2,1.2655737704918033,22.0,4.0,0.06557377049180328,3.0,766.6,12.567213114754098,100.0,66.83,1.0955737704918032,22.0,0.0,0.0,0.0,1.0,0.01639344262295082,1.0,0.0,0.0,0.0,1.0,0.01639344262295082,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Falcons,Charlie Woerner,TE,27.0,4,Georgia,77,0.0,0.0,0.0,19.0,0.24358974358974358,2.0,13.0,0.16666666666666666,2.0,137.0,1.7564102564102564,33.0,105.5,1.3525641025641026,20.0,0.0,0.0,0.0,1000.0,12.820512820512821,100.0,100.0,1.2820512820512822,20.0,0.0,0.0,0.0,19.0,0.24358974358974358,2.0,9.0,0.11538461538461539,1.0,28.0,0.358974358974359,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccaneers,Ko Kieft,TE,26.0,2,Minnesota,44,0.0,0.0,0.0,15.0,0.3333333333333333,3.0,8.0,0.17777777777777778,1.0,82.0,1.8222222222222222,19.0,82.0,1.8222222222222222,19.0,2.0,0.044444444444444446,1.0,700.0,15.555555555555555,100.0,73.0,1.6222222222222222,19.0,0.0,0.0,0.0,13.0,0.28888888888888886,2.0,7.0,0.15555555555555556,1.0,20.0,0.4444444444444444,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Packers,Ben Sims,TE,24.0,1,Baylor,28,0.0,0.0,0.0,10.0,0.35714285714285715,2.0,7.0,0.25,2.0,61.0,2.1785714285714284,38.0,42.0,1.5,19.0,1.0,0.03571428571428571,1.0,600.0,21.428571428571427,100.0,42.0,1.5,19.0,,,,,,,,,,,,,,,,,,
Buccaneers,Payne Durham,TE,24.0,1,Purdue,23,0.0,0.0,0.0,9.0,0.32142857142857145,2.0,7.0,0.25,2.0,92.0,3.2857142857142856,26.0,85.5,3.0535714285714284,26.0,0.0,0.0,0.0,600.0,21.428571428571427,100.0,85.5,3.0535714285714284,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rams,Hunter Long,TE,26.0,3,Boston Col.,31,0.0,0.0,0.0,8.0,0.12903225806451613,2.0,6.0,0.0967741935483871,2.0,51.0,0.8225806451612904,18.0,43.0,0.6935483870967742,18.0,0.0,0.0,0.0,500.0,8.064516129032258,100.0,43.0,0.6935483870967742,18.0,0.0,0.0,0.0,2.0,0.03225806451612903,1.0,1.0,0.016129032258064516,1.0,3.0,0.04838709677419355,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cowboys,Brevyn Spann-Ford,TE,25.0,Rook,Minnesota,10,0.0,0.0,0.0,11.0,1.1,5.0,6.0,0.6,4.0,62.0,6.2,42.0,20.5,2.05,10.5,0.0,0.0,0.0,146.7,14.669999999999998,80.0,15.07,1.5070000000000001,8.4,,,,,,,,,,,,,,,,,,
