Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
26,2015,2015-11-22,10,11,24.010,KAN,@,SDG,W 33-3,,0,0,,0,0,0,,0,0,,,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,14,50%,
27,2015,2015-11-29,11,12,24.017,KAN,,BUF,W 30-22,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,15,52%,
28,2015,2015-12-06,12,13,24.024,KAN,@,OAK,W 34-20,,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,10,37%,
29,2015,2015-12-13,13,14,24.031,KAN,,SDG,W 10-3,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,32%,
30,2015,2015-12-20,14,15,24.038,KAN,@,BAL,W 34-14,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0%,0,0%,13,45%,
31,2015,2015-12-27,15,16,24.045,KAN,,CLE,W 17-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,30%,
32,2015,2016-01-03,16,17,24.052,KAN,,OAK,W 23-17,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0%,0,0%,9,31%,
33,2016,2016-09-11,1,1,24.304,KAN,,SDG,W 33-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,32%,
34,2016,2016-09-18,2,2,24.311,KAN,@,HOU,L 12-19,,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,9,28%,
35,2016,2016-09-25,3,3,24.318,KAN,,NYJ,W 24-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,50%,
36,2016,2016-10-02,4,4,24.325,KAN,@,PIT,L 14-43,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,6,21%,
