Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
96,2011,2012-01-01,16,17,27.227,JAX,,IND,W 19-13,*,4,3,33,11.00,0,75.0%,8.25,,0,0,0,,0,0,0,0,,,,,,,
97,2012,2012-09-09,1,1,28.113,JAX,@,MIN,L 23-26,*,5,5,52,10.40,1,100.0%,10.40,,1,6,0,0,0,0,0,0,53,67%,0,0%,4,12%,
98,2012,2012-09-16,2,2,28.120,JAX,,HOU,L 7-27,*,,,,,,0.0%,,,0,0,0,,,0,0,0,38,88%,0,0%,1,3%,
99,2012,2012-09-23,3,3,28.127,JAX,@,IND,W 22-17,*,1,1,8,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,54,90%,0,0%,4,13%,
100,2012,2012-09-30,4,4,28.134,JAX,,CIN,L 10-27,,3,3,32,10.67,1,100.0%,10.67,,1,6,0,0,0,0,0,0,34,57%,0,0%,2,7%,
101,2012,2012-10-07,5,5,28.141,JAX,,CHI,L 3-41,*,7,5,24,4.80,0,71.4%,3.43,,0,0,0,0,0,0,0,0,48,83%,0,0%,1,4%,
102,2012,2012-10-21,6,7,28.155,JAX,@,OAK,L 23-26,*,3,3,20,6.67,0,100.0%,6.67,,0,0,0,0,0,0,0,0,52,81%,0,0%,6,15%,
103,2012,2012-10-28,7,8,28.162,JAX,@,GNB,L 15-24,*,7,2,21,10.50,0,28.6%,3.00,,0,0,0,0,0,0,0,0,65,84%,0,0%,3,10%,
104,2012,2012-11-04,8,9,28.169,JAX,,DET,L 14-31,*,6,4,41,10.25,0,66.7%,6.83,,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,
105,2012,2012-11-08,9,10,28.173,JAX,,IND,L 10-27,*,4,3,36,12.00,0,75.0%,9.00,,0,0,0,0,0,0,0,0,41,59%,0,0%,3,12%,
106,2012,2012-11-18,10,11,28.183,JAX,@,HOU,L 37-43,*,4,3,40,13.33,2,75.0%,10.00,,2,12,0,0,0,0,0,0,57,86%,0,0%,7,17%,
107,2012,2012-11-25,11,12,28.190,JAX,,TEN,W 24-19,*,6,4,56,14.00,0,66.7%,9.33,,0,0,0,0,0,0,0,0,57,89%,0,0%,2,7%,
108,2012,2012-12-02,12,13,28.197,JAX,@,BUF,L 18-34,*,7,4,68,17.00,0,57.1%,9.71,,0,0,0,0,0,1,0,0,57,79%,0,0%,0,0%,
109,2012,2012-12-09,13,14,28.204,JAX,,NYJ,L 10-17,*,4,1,4,4.00,0,25.0%,1.00,,0,0,0,0,0,0,0,0,53,74%,0,0%,0,0%,
