Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
290,2023,2023-12-31,16,17,39.226,CHI,,ATL,W 37-17,,,,,,,0.0%,,,0,0,,,,,,,29,39%,0,0%,8,25%,
291,2023,2024-01-07,17,18,39.233,CHI,@,GNB,L 9-17,,,,,,,0.0%,,,0,0,,,,,,,16,33%,0,0%,3,17%,
292,2024,2024-09-08,1,1,40.112,CHI,,TEN,W 24-17,*,,,,,,0.0%,,,0,0,,,,,,,9,16%,0,0%,4,14%,
293,2024,2024-09-15,2,2,40.119,CHI,@,HOU,L 13-19,,,,,,,0.0%,,,0,0,,,,,,,10,14%,0,0%,3,10%,
294,2024,2024-09-22,3,3,40.126,CHI,@,IND,L 16-21,,,,,,,0.0%,,,0,0,,,,,,,21,23%,0,0%,3,13%,
295,2024,2024-09-29,4,4,40.133,CHI,,LAR,W 24-18,*,,,,,,0.0%,,,0,0,,,,,,,19,32%,0,0%,4,15%,
296,2024,2024-10-06,5,5,40.140,CHI,,CAR,W 36-10,,,,,,,0.0%,,,0,0,,,,,,,17,23%,0,0%,5,19%,
297,2024,2024-10-13,6,6,40.147,CHI,,JAX,W 35-16,,1,1,2,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,13,20%,0,0%,6,25%,
298,2024,2024-10-27,7,8,40.161,CHI,@,WAS,L 15-18,,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,10,16%,0,0%,1,4%,
299,2024,2024-11-03,8,9,40.168,CHI,@,ARI,L 9-29,,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,10,14%,0,0%,3,11%,
300,2024,2024-11-10,9,10,40.175,CHI,,NWE,L 3-19,,,,,,,0.0%,,,0,0,,,,,,,14,23%,0,0%,1,4%,
