Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
66,2023,2023-09-11,1,1,26.209,BUF,@,NYJ,L 16-22,,,,,,,,0,0%,0,0%,4,15%,
67,2023,2023-09-17,2,2,26.215,BUF,,LVR,W 38-10,,,,,,,,6,8%,0,0%,6,27%,
68,2023,2023-09-24,3,3,26.222,BUF,@,WAS,W 37-3,,,,,,,,8,12%,0,0%,6,27%,
69,2023,2023-10-01,4,4,26.229,BUF,,MIA,W 48-20,,,,,,,,8,14%,0,0%,8,29%,
70,2023,2023-10-08,5,5,26.236,BUF,,JAX,L 20-25,,,,,,,,0,0%,0,0%,2,8%,
71,2023,2023-10-15,6,6,26.243,BUF,,NYG,W 14-9,,,,,,,,0,0%,0,0%,4,19%,
72,2023,2023-10-22,7,7,26.250,BUF,@,NWE,L 25-29,,,,,,,,0,0%,0,0%,4,17%,
73,2023,2023-10-26,8,8,26.254,BUF,,TAM,W 24-18,,,,,,,,0,0%,0,0%,4,15%,
74,2023,2023-11-05,9,9,26.264,BUF,@,CIN,L 18-24,,,,,,,,0,0%,0,0%,2,10%,
75,2023,2023-11-13,10,10,26.272,BUF,,DEN,L 22-24,,,,,,,,0,0%,0,0%,3,11%,
76,2023,2023-11-19,11,11,26.278,BUF,,NYJ,W 32-6,,,,,,,,4,5%,0,0%,7,26%,
77,2023,2023-11-26,12,12,26.285,BUF,@,PHI,L 34-37,,,,,,,,0,0%,0,0%,8,22%,
78,2023,2023-12-10,13,14,26.299,BUF,@,KAN,W 20-17,,,,,,,,0,0%,0,0%,4,17%,
79,2023,2023-12-17,14,15,26.306,BUF,,DAL,W 31-10,,,,,,,,7,10%,0,0%,5,21%,
80,2023,2023-12-23,15,16,26.312,BUF,@,LAC,W 24-22,,,,,,,,0,0%,0,0%,4,13%,
81,2023,2023-12-31,16,17,26.320,BUF,,NWE,W 27-21,,,,,,,,2,3%,0,0%,5,17%,
82,2023,2024-01-07,17,18,26.327,BUF,@,MIA,W 21-14,,,,,,,,0,0%,0,0%,3,17%,
83,2024,2024-09-08,1,1,27.207,CHI,,TEN,W 24-17,,,,,,,,38,68%,0,0%,0,0%,
84,2024,2024-09-15,2,2,,CHI,@,HOU,L 13-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
85,2024,2024-09-22,3,3,,CHI,@,IND,L 16-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
86,2024,2024-09-29,4,4,,CHI,,LAR,W 24-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2024,2024-10-06,5,5,,CHI,,CAR,W 36-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2024,2024-10-13,6,6,,CHI,,JAX,W 35-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2024,2024-10-27,7,8,,CHI,@,WAS,L 15-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2024,2024-11-03,8,9,,CHI,@,ARI,L 9-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
91,2024,2024-11-10,9,10,27.270,CHI,,NWE,L 3-19,*,,,,,,,60,100%,0,0%,0,0%,
