Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2022,2022-09-25,3,3,23.254,DET,@,MIN,L 24-28,*,7,31,4.43,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,32,41%,0,0%,0,0%,
37,2022,2022-10-02,4,4,,DET,,SEA,L 45-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2022,2022-10-09,5,5,,DET,@,NWE,L 0-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2022,2022-10-23,6,7,,DET,@,DAL,L 6-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2022,2022-10-30,7,8,23.289,DET,,MIA,L 27-31,,5,6,1.20,0,5,5,27,5.40,1,100.0%,5.40,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,33,55%,0,0%,0,0%,
41,2022,2022-11-06,8,9,23.296,DET,,GNB,W 15-9,,2,10,5.00,0,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,10,16%,0,0%,0,0%,
42,2022,2022-11-13,9,10,23.303,DET,@,CHI,W 31-30,*,6,6,1.00,1,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,19,31%,0,0%,0,0%,
43,2022,2022-11-20,10,11,23.310,DET,@,NYG,W 31-18,,5,20,4.00,1,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,1,0,0,1,0,0,21,31%,0,0%,0,0%,
44,2022,2022-11-24,11,12,23.314,DET,,BUF,L 25-28,*,5,19,3.80,0,8,4,24,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,,,1,0,2,0,0,0,0,0,0,24,34%,0,0%,0,0%,
45,2022,2022-12-04,12,13,23.324,DET,,JAX,W 40-14,*,14,62,4.43,1,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,39,51%,0,0%,0,0%,
46,2022,2022-12-11,13,14,23.331,DET,,MIN,W 34-23,,6,21,3.50,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,25,36%,0,0%,0,0%,
47,2022,2022-12-18,14,15,23.338,DET,@,NYJ,W 20-17,*,8,52,6.50,0,9,5,23,4.60,0,55.6%,2.56,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,27,40%,0,0%,0,0%,
48,2022,2022-12-24,15,16,23.344,DET,@,CAR,L 23-37,*,4,12,3.00,0,5,1,13,13.00,0,20.0%,2.60,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,37,56%,0,0%,0,0%,
49,2022,2023-01-01,16,17,23.352,DET,,CHI,W 41-10,,11,78,7.09,1,4,4,39,9.75,1,100.0%,9.75,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,25,35%,0,0%,0,0%,
50,2022,2023-01-08,17,18,23.359,DET,@,GNB,W 20-16,,6,25,4.17,0,7,7,61,8.71,0,100.0%,8.71,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,24,39%,0,0%,0,0%,
51,2023,2023-09-10,1,1,24.239,PHI,@,NWE,W 25-20,,1,3,3.00,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,19,29%,0,0%,0,0%,
52,2023,2023-09-14,2,2,24.243,PHI,,MIN,W 34-28,*,28,175,6.25,1,3,3,6,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,58,75%,0,0%,0,0%,
53,2023,2023-09-25,3,3,24.254,PHI,@,TAM,W 25-11,*,16,130,8.13,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,43,54%,0,0%,0,0%,
54,2023,2023-10-01,4,4,24.260,PHI,,WAS,W 34-31,*,14,56,4.00,1,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,45,63%,0,0%,0,0%,
55,2023,2023-10-08,5,5,24.267,PHI,@,LAR,W 23-14,*,17,70,4.12,0,6,6,38,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,49,62%,0,0%,0,0%,
56,2023,2023-10-15,6,6,24.274,PHI,@,NYJ,L 14-20,*,10,18,1.80,0,10,8,40,5.00,1,80.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,1,1,0,0,0,0,40,57%,0,0%,0,0%,
57,2023,2023-10-22,7,7,24.281,PHI,,MIA,W 31-17,*,15,62,4.13,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,49,68%,0,0%,0,0%,
58,2023,2023-10-29,8,8,24.288,PHI,@,WAS,W 38-31,*,16,57,3.56,1,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,44,70%,0,0%,0,0%,
59,2023,2023-11-05,9,9,24.295,PHI,,DAL,W 28-23,*,18,43,2.39,0,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,,,,0,0,2,0,0,1,0,0,40,65%,0,0%,0,0%,
60,2023,2023-11-20,10,11,24.310,PHI,@,KAN,W 21-17,*,12,76,6.33,1,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,36,64%,0,0%,0,0%,
61,2023,2023-11-26,11,12,24.316,PHI,,BUF,W 37-34,*,14,80,5.71,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,42,64%,0,0%,0,0%,
62,2023,2023-12-03,12,13,24.323,PHI,,SFO,L 19-42,*,6,13,2.17,0,6,2,7,3.50,0,33.3%,1.17,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,42%,0,0%,0,0%,
63,2023,2023-12-10,13,14,24.330,PHI,@,DAL,L 13-33,*,11,39,3.55,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,28,51%,0,0%,0,0%,
64,2023,2023-12-18,14,15,24.338,PHI,@,SEA,L 17-20,*,18,74,4.11,0,3,2,1,0.50,0,66.7%,0.33,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,
65,2023,2023-12-25,15,16,24.345,PHI,,NYG,W 33-25,*,20,92,4.60,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,43,57%,0,0%,0,0%,
66,2023,2023-12-31,16,17,24.351,PHI,,ARI,L 31-35,*,13,61,4.69,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,23,47%,0,0%,0,0%,
67,2023,2024-01-07,17,18,,PHI,@,NYG,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,2024,2024-09-08,1,1,25.238,CHI,,TEN,W 24-17,*,10,30,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,1,0,2,0,0,0,0,0,0,39,70%,0,0%,0,0%,
69,2024,2024-09-15,2,2,25.245,CHI,@,HOU,L 13-19,*,14,18,1.29,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,46,66%,0,0%,0,0%,
70,2024,2024-09-22,3,3,25.252,CHI,@,IND,L 16-21,*,13,20,1.54,0,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,48,53%,0,0%,0,0%,
71,2024,2024-09-29,4,4,25.259,CHI,,LAR,W 24-18,*,16,93,5.81,1,7,7,72,10.29,0,100.0%,10.29,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,38,63%,0,0%,0,0%,
72,2024,2024-10-06,5,5,25.266,CHI,,CAR,W 36-10,*,21,73,3.48,1,2,2,47,23.50,0,100.0%,23.50,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,50,67%,0,0%,0,0%,
73,2024,2024-10-13,6,6,25.273,CHI,,JAX,W 35-16,*,17,91,5.35,1,4,4,28,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,1,6,1,0,0,0,0,0,45,68%,0,0%,0,0%,
74,2024,2024-10-27,7,8,25.287,CHI,@,WAS,L 15-18,*,18,129,7.17,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,46,73%,0,0%,0,0%,
75,2024,2024-11-03,8,9,25.294,CHI,@,ARI,L 9-29,*,16,51,3.19,0,6,6,31,5.17,0,100.0%,5.17,0,0,,0,0,0,,0,0,,,,0,0,1,0,0,0,0,0,46,62%,0,0%,0,0%,
76,2024,2024-11-10,9,10,25.301,CHI,,NWE,L 3-19,*,16,59,3.69,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,40,67%,0,0%,0,0%,
