Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
51,2023,2023-11-19,10,11,28.120,GNB,,LAC,W 23-20,*,0,0,,0,0,0,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,10,38%,
52,2023,2023-11-23,11,12,28.124,GNB,@,DET,W 29-22,*,0,0,,0,1,6,0.0,8,4,12,1,0,0,0,0,0,0,0,0,1,27,1,0,0%,84,100%,13,57%,
53,2023,2023-12-03,12,13,28.134,GNB,,KAN,W 27-19,*,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,11,50%,
54,2023,2023-12-11,13,14,28.142,GNB,@,NYG,L 22-24,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,14,52%,
55,2023,2023-12-17,14,15,28.148,GNB,,TAM,L 20-34,*,0,0,,0,0,0,0.0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,13,52%,
56,2023,2023-12-24,15,16,28.155,GNB,@,CAR,W 33-30,*,0,0,,0,0,0,0.0,4,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,66,100%,14,47%,
57,2023,2023-12-31,16,17,28.162,GNB,@,MIN,W 33-10,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,53,100%,12,50%,
58,2023,2024-01-07,17,18,28.169,GNB,,CHI,W 17-9,*,0,0,,0,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,100%,9,50%,
59,2024,2024-09-08,1,1,29.048,CHI,,TEN,W 24-17,,,,,,1,0,,,,,,,,,,,,,,,,,0,0%,0,0%,12,41%,
60,2024,2024-09-15,2,2,29.055,CHI,@,HOU,L 13-19,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,53%,
61,2024,2024-09-22,3,3,29.062,CHI,@,IND,L 16-21,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,17,74%,
62,2024,2024-09-29,4,4,29.069,CHI,,LAR,W 24-18,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,17,65%,
63,2024,2024-10-06,5,5,29.076,CHI,,CAR,W 36-10,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,9,15%,17,65%,
64,2024,2024-10-13,6,6,29.083,CHI,,JAX,W 35-16,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,14,58%,
65,2024,2024-10-27,7,8,29.097,CHI,@,WAS,L 15-18,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,7,27%,
66,2024,2024-11-03,8,9,29.104,CHI,@,ARI,L 9-29,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,20,71%,
67,2024,2024-11-10,9,10,29.111,CHI,,NWE,L 3-19,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,22,81%,
