Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
92,2017,2017-12-03,12,13,27.270,CLE,@,LAC,L 10-19,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,2,10%,
93,2017,2017-12-10,13,14,27.277,CLE,,GNB,L 21-27,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,3,12%,
94,2017,2017-12-17,14,15,27.284,CLE,,BAL,L 10-27,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,2,8%,
95,2017,2017-12-24,15,16,27.291,CLE,@,CHI,L 3-20,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,1,4%,
96,2017,2017-12-31,16,17,27.298,CLE,@,PIT,L 24-28,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,4,15%,
97,2018,2018-09-09,1,1,28.185,CLE,,PIT,T 21-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,89,100%,0,0%,4,11%,
98,2018,2018-09-16,2,2,28.192,CLE,@,NOR,L 18-21,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,6,22%,
99,2018,2018-09-20,3,3,28.196,CLE,,NYJ,W 21-17,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,3,10%,
100,2018,2018-09-30,4,4,28.206,CLE,@,OAK,L 42-45,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,81,100%,0,0%,4,9%,
101,2018,2018-10-07,5,5,28.213,CLE,,BAL,W 12-9,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,4,12%,
