Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
67,2022,2023-01-01,16,17,29.061,TAM,,CAR,W 30-24,,,0,0,,,,,,,0,0%,7,11%,16,52%,
68,2022,2023-01-08,17,18,29.068,TAM,@,ATL,L 17-30,,,0,0,0.0,1,2,3,1,0,0,0%,32,47%,14,50%,
69,2023,2023-09-10,1,1,,TAM,@,MIN,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,2023,2023-09-17,2,2,29.320,TAM,,CHI,W 27-17,,,0,0,,,,,,,0,0%,0,0%,1,4%,
71,2023,2023-09-25,3,3,29.328,TAM,,PHI,L 11-25,,,0,0,,,,,,,0,0%,5,6%,5,25%,
72,2023,2023-10-01,4,4,29.334,TAM,@,NOR,W 26-9,,,0,0,,,,,,,0,0%,0,0%,3,12%,
73,2023,2023-10-15,5,6,,TAM,,DET,L 6-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,2023,2023-10-22,6,7,,TAM,,ATL,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,2023,2023-10-26,7,8,,TAM,@,BUF,L 18-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,2023,2023-11-05,8,9,30.004,TAM,@,HOU,L 37-39,,,0,0,,,,,,,0,0%,2,3%,3,9%,
77,2023,2023-11-12,9,10,,TAM,,TEN,W 20-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,2023,2023-11-19,10,11,,TAM,@,SFO,L 14-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,2023,2023-11-26,11,12,30.025,TAM,@,IND,L 20-27,,,0,0,,,,,,,0,0%,6,8%,6,22%,
80,2023,2023-12-03,12,13,30.032,TAM,,CAR,W 21-18,,,0,0,,,,,,,0,0%,0,0%,10,34%,
81,2023,2023-12-10,13,14,30.039,TAM,@,ATL,W 29-25,,1,0,2,0.0,1,0,1,1,0,0,0%,10,14%,8,25%,
82,2023,2023-12-17,14,15,30.046,TAM,@,GNB,W 34-20,,,0,0,0.0,0,1,1,0,0,0,0%,11,18%,5,20%,
83,2023,2023-12-24,15,16,30.053,TAM,,JAX,W 30-12,,,0,0,0.0,0,0,0,0,0,0,0%,2,3%,2,10%,
84,2023,2023-12-31,16,17,30.060,TAM,,NOR,L 13-23,,,0,0,0.0,1,1,2,1,0,0,0%,4,6%,17,66%,
85,2023,2024-01-07,17,18,30.067,TAM,@,CAR,W 9-0,,,0,0,,,,,,,0,0%,2,4%,11,55%,
86,2024,2024-09-08,1,1,,DET,,LAR,W 26-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2024,2024-09-15,2,2,,DET,,TAM,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2024,2024-09-22,3,3,,DET,@,ARI,W 20-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2024,2024-09-30,4,4,,DET,,SEA,W 42-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2024,2024-10-13,5,6,,DET,@,DAL,W 47-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
91,2024,2024-10-20,6,7,30.354,DET,@,MIN,W 31-29,,,0,0,0.0,0,2,2,0,0,0,0%,12,20%,5,16%,
92,2024,2024-10-27,7,8,30.361,DET,,TEN,W 52-14,,,0,0,0.0,0,2,2,0,0,0,0%,31,41%,14,42%,
93,2024,2024-11-03,8,9,31.002,DET,@,GNB,W 24-14,,,0,0,0.0,0,0,0,0,0,0,0%,11,17%,11,50%,
94,2024,2024-11-10,9,10,31.009,DET,@,HOU,W 26-23,,,0,0,1.0,2,0,2,2,1,0,0%,8,12%,17,57%,
95,2024,2024-11-17,10,11,31.016,DET,,JAX,W 52-6,,,0,0,0.0,0,2,2,0,0,0,0%,7,15%,13,50%,
96,2024,2024-11-24,11,12,31.023,DET,@,IND,W 24-6,,,0,0,,,,,,,0,0%,9,16%,10,42%,
