Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
39,2020,2020-11-01,7,8,,DEN,,LAC,W 31-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2020,2020-11-08,8,9,26.351,DEN,@,ATL,L 27-34,*,9,4,29,7.25,1,44.4%,3.22,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,
41,2020,2020-11-15,9,10,26.358,DEN,@,LVR,L 12-37,*,6,4,61,15.25,0,66.7%,10.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,59%,0,0%,0,0%,
42,2020,2020-11-22,10,11,26.365,DEN,,MIA,W 20-13,*,8,5,119,23.80,0,62.5%,14.88,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,
43,2020,2020-11-29,11,12,27.006,DEN,,NOR,L 3-31,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,72%,0,0%,0,0%,
44,2020,2020-12-06,12,13,27.013,DEN,@,KAN,L 16-22,*,4,4,44,11.00,2,100.0%,11.00,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,0,0%,
45,2020,2020-12-13,13,14,27.020,DEN,@,CAR,W 32-27,*,5,3,36,12.00,1,60.0%,7.20,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,82%,0,0%,1,3%,
46,2020,2020-12-19,14,15,27.026,DEN,,BUF,L 19-48,*,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,
47,2020,2020-12-27,15,16,27.034,DEN,@,LAC,L 16-19,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,90%,0,0%,0,0%,
48,2020,2021-01-03,16,17,27.041,DEN,,LVR,L 31-32,*,4,2,46,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,15%,0,0%,0,0%,
49,2021,2021-09-12,1,1,27.293,DEN,@,NYG,W 27-13,*,4,4,39,9.75,1,100.0%,9.75,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,70%,0,0%,1,5%,
50,2021,2021-09-19,2,2,27.300,DEN,@,JAX,W 23-13,*,4,3,37,12.33,1,75.0%,9.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,74%,0,0%,0,0%,
51,2021,2021-09-26,3,3,27.307,DEN,,NYJ,W 26-0,*,5,5,98,19.60,0,100.0%,19.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,76%,0,0%,0,0%,
52,2021,2021-10-03,4,4,27.314,DEN,,BAL,L 7-23,*,6,3,39,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,
