Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2022,2022-11-06,8,9,24.123,LVR,@,JAX,L 20-27,*,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,30%,0,0%,
42,2022,2022-11-13,9,10,24.130,LVR,,IND,L 20-25,,0,0,0.0,3,3,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,33,51%,0,0%,
43,2022,2022-11-20,10,11,24.137,LVR,@,DEN,W 22-16,,0,0,,,,,,,,,,,,,,,,,0,0%,16,25%,4,14%,
44,2022,2022-11-27,11,12,24.144,LVR,@,SEA,W 40-34,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,2,6%,
45,2022,2022-12-04,12,13,24.151,LVR,,LAC,W 27-20,,0,0,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,79%,0,0%,
46,2022,2022-12-08,13,14,24.155,LVR,@,LAR,L 16-17,,0,0,1.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,33%,5,20%,
47,2022,2022-12-18,14,15,24.165,LVR,,NWE,W 30-24,,0,0,0.0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,54,83%,0,0%,
48,2022,2022-12-24,15,16,24.171,LVR,@,PIT,L 10-13,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,97%,0,0%,
49,2022,2023-01-01,16,17,24.179,LVR,,SFO,L 34-37,*,0,0,0.0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,66,99%,0,0%,
50,2022,2023-01-07,17,18,24.185,LVR,,KAN,L 13-31,*,0,0,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,100%,0,0%,
51,2023,2023-09-10,1,1,25.066,LVR,@,DEN,W 17-16,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,5,26%,
52,2023,2023-09-17,2,2,25.073,LVR,@,BUF,L 10-38,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,1,5%,
53,2023,2023-09-24,3,3,25.080,LVR,,PIT,L 18-23,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,6,21%,
54,2023,2023-10-01,4,4,25.087,LVR,@,LAC,L 17-24,*,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,91%,4,16%,
55,2023,2023-10-09,5,5,25.095,LVR,,GNB,W 17-13,*,0,0,0.0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,58,100%,3,13%,
56,2023,2023-10-15,6,6,25.101,LVR,,NWE,W 21-17,*,0,0,1.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,65%,3,12%,
57,2023,2023-10-22,7,7,25.108,LVR,@,CHI,L 12-30,*,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,58%,5,22%,
58,2023,2023-10-30,8,8,25.116,LVR,@,DET,L 14-26,*,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,80,93%,8,32%,
59,2023,2023-11-05,9,9,25.122,LVR,,NYG,W 30-6,*,0,0,0.0,3,0,3,0,0,1,40,0,2,0,0,1,0,0,0,0,0%,52,83%,3,13%,
60,2023,2023-11-12,10,10,25.129,LVR,,NYJ,W 16-12,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,27%,2,7%,
61,2023,2023-11-19,11,11,25.136,LVR,@,MIA,L 13-20,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,5,19%,
62,2023,2023-11-26,12,12,25.143,LVR,,KAN,L 17-31,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,83%,5,19%,
63,2023,2023-12-10,13,14,25.157,LVR,,MIN,L 0-3,*,0,0,0.0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,94%,3,14%,
64,2023,2023-12-14,14,15,25.161,LVR,,LAC,W 63-21,*,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,45,69%,3,8%,
