Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2022,2022-12-18,14,15,23.055,DET,@,NYJ,W 20-17,*,10,7,76,10.86,0,70.0%,7.60,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,84%,0,0%,0,0%,
32,2022,2022-12-24,15,16,23.061,DET,@,CAR,L 23-37,*,13,7,76,10.86,0,53.8%,5.85,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,83%,0,0%,0,0%,
33,2022,2023-01-01,16,17,23.069,DET,,CHI,W 41-10,*,5,4,62,15.50,0,80.0%,12.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,70%,0,0%,0,0%,
34,2022,2023-01-08,17,18,23.076,DET,@,GNB,W 20-16,*,9,6,49,8.17,0,66.7%,5.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,
35,2023,2023-09-07,1,1,23.318,DET,@,KAN,W 21-20,*,9,6,71,11.83,1,66.7%,7.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,94%,0,0%,0,0%,
36,2023,2023-09-17,2,2,23.328,DET,,SEA,L 31-37,*,7,6,102,17.00,0,85.7%,14.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,74%,0,0%,0,0%,
37,2023,2023-09-24,3,3,23.335,DET,,ATL,W 20-6,*,12,9,102,11.33,0,75.0%,8.50,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,94%,0,0%,1,4%,
38,2023,2023-09-28,4,4,23.339,DET,@,GNB,W 34-20,*,7,5,56,11.20,1,71.4%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,88%,0,0%,1,3%,
39,2023,2023-10-08,5,5,,DET,,CAR,W 42-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2023,2023-10-15,6,6,23.356,DET,@,TAM,W 20-6,*,15,12,124,10.33,1,80.0%,8.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,
