Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
45,2023,2023-11-23,11,12,23.045,DET,,GNB,L 22-29,*,,,,,,0.0%,,,,,,,,84,100%,0,0%,1,4%,
46,2023,2023-12-03,12,13,23.055,DET,@,NOR,W 33-28,*,,,,,,0.0%,,,,,,,,58,100%,0,0%,5,17%,
47,2023,2023-12-10,13,14,23.062,DET,@,CHI,L 13-28,*,,,,,,0.0%,,,,,,,,65,100%,0,0%,2,8%,
48,2023,2023-12-16,14,15,23.068,DET,,DEN,W 42-17,*,,,,,,0.0%,,,,,,,,66,100%,0,0%,6,21%,
49,2023,2023-12-24,15,16,23.076,DET,@,MIN,W 30-24,*,,,,,,0.0%,,,,,,,,79,100%,0,0%,5,19%,
50,2023,2023-12-30,16,17,23.082,DET,@,DAL,L 19-20,*,,,,,,0.0%,,,,,,,,69,100%,0,0%,3,12%,
51,2023,2024-01-07,17,18,23.090,DET,,MIN,W 30-20,*,,,,,,0.0%,,,,,,,,57,100%,0,0%,5,18%,
52,2024,2024-09-08,1,1,23.335,DET,,LAR,W 26-20,*,,,,,,0.0%,,,,,,,,61,100%,0,0%,4,15%,
53,2024,2024-09-15,2,2,23.342,DET,,TAM,L 16-20,*,,,,,,0.0%,,,,,,,,85,99%,0,0%,4,15%,
54,2024,2024-09-22,3,3,23.349,DET,@,ARI,W 20-13,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,3,13%,
55,2024,2024-09-30,4,4,23.357,DET,,SEA,W 42-29,*,,,,,,0.0%,,,,,,,,53,100%,0,0%,6,21%,
56,2024,2024-10-13,5,6,24.004,DET,@,DAL,W 47-9,*,,,,,,0.0%,,,,,,,,68,100%,0,0%,9,32%,
57,2024,2024-10-20,6,7,24.011,DET,@,MIN,W 31-29,*,,,,,,0.0%,,,,,,,,57,100%,0,0%,5,16%,
58,2024,2024-10-27,7,8,24.018,DET,,TEN,W 52-14,*,,,,,,0.0%,,,,,,,,48,100%,0,0%,8,24%,
59,2024,2024-11-03,8,9,24.025,DET,@,GNB,W 24-14,*,,,,,,0.0%,,,,,,,,57,100%,0,0%,4,18%,
60,2024,2024-11-10,9,10,24.032,DET,@,HOU,W 26-23,*,,,,,,0.0%,,,,,,,,65,100%,0,0%,4,13%,
61,2024,2024-11-17,10,11,24.039,DET,,JAX,W 52-6,*,,,,,,0.0%,,,,,,,,79,100%,0,0%,8,31%,
62,2024,2024-11-24,11,12,24.046,DET,@,IND,W 24-6,*,,,,,,0.0%,,,,,,,,72,100%,0,0%,4,17%,
