Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
33,2020,2020-09-13,1,1,24.096,ARI,@,SFO,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,71%,
34,2020,2020-09-20,2,2,24.103,ARI,,WAS,W 30-15,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
35,2020,2020-09-27,3,3,24.110,ARI,,DET,L 23-26,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0%,0,0%,23,82%,
36,2020,2020-10-04,4,4,24.117,ARI,@,CAR,L 21-31,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,22,88%,
37,2020,2020-10-11,5,5,24.124,ARI,@,NYJ,W 30-10,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,72%,
38,2020,2020-10-19,6,6,24.132,ARI,@,DAL,W 38-10,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,78%,
39,2020,2020-10-25,7,7,24.138,ARI,,SEA,W 37-34,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,24,73%,
40,2020,2020-11-08,8,9,24.152,ARI,,MIA,L 31-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,22,79%,
41,2020,2020-11-15,9,10,24.159,ARI,,BUF,W 32-30,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,28,82%,
42,2020,2020-11-19,10,11,24.163,ARI,@,SEA,L 21-28,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,21,81%,
43,2020,2020-11-29,11,12,24.173,ARI,@,NWE,L 17-20,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,17,77%,
44,2020,2020-12-06,12,13,24.180,ARI,,LAR,L 28-38,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,25,83%,
45,2020,2020-12-13,13,14,24.187,ARI,@,NYG,W 26-7,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,69%,
46,2020,2020-12-20,14,15,24.194,ARI,,PHI,W 33-26,,0,0,,0,1,1,26,26.00,0,100.0%,26.00,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,4,5%,25,83%,
47,2020,2020-12-26,15,16,24.200,ARI,,SFO,L 12-20,,,,,,,,,,,0.0%,,,,,,,,0,,,0,0,0,0,0%,0,0%,20,83%,
48,2020,2021-01-03,16,17,24.208,ARI,@,LAR,L 7-18,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,2,3%,23,92%,
49,2021,2021-09-12,1,1,25.095,ARI,@,TEN,W 38-13,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,74%,
50,2021,2021-09-19,2,2,25.102,ARI,,MIN,W 34-33,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,27,75%,
51,2021,2021-09-26,3,3,25.109,ARI,@,JAX,W 31-19,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,21,73%,
52,2021,2021-10-03,4,4,25.116,ARI,@,LAR,W 37-20,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,3,4%,20,71%,
53,2021,2021-10-10,5,5,25.123,ARI,,SFO,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,2,3%,7,37%,
54,2021,2021-10-17,6,6,,ARI,@,CLE,W 37-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2021,2021-10-24,7,7,,ARI,,HOU,W 31-5,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2021,2021-10-28,8,8,,ARI,,GNB,L 21-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2021,2021-11-07,9,9,,ARI,@,SFO,W 31-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2021,2021-11-14,10,10,,ARI,,CAR,L 10-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2021,2021-11-21,11,11,,ARI,@,SEA,W 23-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2021,2021-12-05,12,13,,ARI,@,CHI,W 33-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2021,2021-12-13,13,14,,ARI,,LAR,L 23-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2021,2021-12-19,14,15,,ARI,@,DET,L 12-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2021,2021-12-25,15,16,,ARI,,IND,L 16-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2021,2022-01-02,16,17,,ARI,@,DAL,W 25-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,2021,2022-01-09,17,18,,ARI,,SEA,L 30-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,2022,2022-09-11,1,1,26.094,ARI,,KAN,L 21-44,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0%,16,23%,26,97%,
67,2022,2022-09-18,2,2,26.101,ARI,@,LVR,W 29-23,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,10,48%,
68,2022,2022-09-25,3,3,,ARI,,LAR,L 12-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,2022,2022-10-02,4,4,,ARI,@,CAR,W 26-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,2022,2022-10-09,5,5,26.122,ARI,,PHI,L 17-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,21,84%,
71,2022,2022-10-16,6,6,26.129,ARI,@,SEA,L 9-19,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0%,1,1%,23,88%,
72,2022,2022-10-20,7,7,26.133,ARI,,NOR,W 42-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,1,1%,26,81%,
73,2022,2022-10-30,8,8,26.143,ARI,@,MIN,L 26-34,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,3,4%,26,87%,
74,2022,2022-11-06,9,9,26.150,ARI,,SEA,L 21-31,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,2,3,1,0,0,0,0,0,0,0,0,0%,3,4%,23,85%,
75,2022,2022-11-13,10,10,26.157,ARI,@,LAR,W 27-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,23,82%,
76,2022,2022-11-21,11,11,26.165,ARI,,SFO,L 10-38,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,1,2%,24,92%,
77,2022,2022-11-27,12,12,26.171,ARI,,LAC,L 24-25,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,22,81%,
78,2022,2022-12-12,13,14,26.186,ARI,,NWE,L 13-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,22,85%,
79,2022,2022-12-18,14,15,26.192,ARI,@,DEN,L 15-24,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,9,13%,25,89%,
80,2022,2022-12-25,15,16,26.199,ARI,,TAM,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,29,88%,
81,2022,2023-01-01,16,17,26.206,ARI,@,ATL,L 19-20,,0,0,,0,0,0,0,,0,0.0%,,0.0,4,1,5,2,0,0,0,0,0,0,0,0,0%,34,55%,19,76%,
82,2022,2023-01-08,17,18,26.213,ARI,@,SFO,L 13-38,*,0,0,,0,0,0,0,,0,0.0%,,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0%,38,61%,9,35%,
83,2023,2023-09-10,1,1,27.093,ARI,@,WAS,L 16-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,24,87%,
84,2023,2023-09-17,2,2,27.100,ARI,,NYG,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,22,79%,
85,2023,2023-09-24,3,3,27.107,ARI,,DAL,W 28-16,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,12,15%,19,76%,
86,2023,2023-10-01,4,4,27.114,ARI,@,SFO,L 16-35,*,1,2,2.00,0,0,0,0,,0,0.0%,,0.0,4,6,10,0,0,0,0,0,0,0,0,0,0%,38,69%,11,50%,
87,2023,2023-10-08,5,5,27.121,ARI,,CIN,L 20-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,24,89%,
88,2023,2023-10-15,6,6,27.128,ARI,@,LAR,L 9-26,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,24,89%,
89,2023,2023-10-22,7,7,27.135,ARI,@,SEA,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,83%,
90,2023,2023-10-29,8,8,27.142,ARI,,BAL,L 24-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,26,93%,
91,2023,2023-11-05,9,9,27.149,ARI,@,CLE,L 0-27,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,24,86%,
92,2023,2023-11-12,10,10,,ARI,,ATL,W 25-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
93,2023,2023-11-19,11,11,27.163,ARI,@,HOU,L 16-21,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,15,83%,
94,2023,2023-11-26,12,12,27.170,ARI,,LAR,L 14-37,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,25,90%,
95,2023,2023-12-03,13,13,27.177,ARI,@,PIT,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,83%,
96,2023,2023-12-17,14,15,27.191,ARI,,SFO,L 29-45,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,26,84%,
97,2023,2023-12-24,15,16,27.198,ARI,@,CHI,L 16-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,25,86%,
98,2023,2023-12-31,16,17,27.205,ARI,@,PHI,W 35-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,20,80%,
99,2023,2024-01-07,17,18,27.212,ARI,,SEA,L 20-21,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,20,77%,
100,2024,2024-09-08,1,1,,HOU,@,IND,W 29-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
101,2024,2024-09-15,2,2,,HOU,,CHI,W 19-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
102,2024,2024-09-22,3,3,28.105,HOU,@,MIN,L 7-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,50%,
103,2024,2024-09-29,4,4,,HOU,,JAX,W 24-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
104,2024,2024-10-10,6,6,,SEA,,SFO,L 24-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
105,2024,2024-10-20,7,7,,SEA,@,ATL,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
106,2024,2024-11-10,9,10,28.154,DET,@,HOU,W 26-23,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,26,87%,
107,2024,2024-11-17,10,11,28.161,DET,,JAX,W 52-6,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,4,8%,17,65%,
108,2024,2024-11-24,11,12,28.168,DET,@,IND,W 24-6,,0,0,,0,0,0,0,,0,0.0%,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,11,20%,20,83%,
