Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
36,2018,2018-09-30,4,4,24.038,DET,@,DAL,L 24-26,*,0,0,0,,0,0.0%,,0,0,54,100%,0,0%,4,15%,
37,2018,2018-10-07,5,5,24.045,DET,,GNB,W 31-23,*,0,0,0,,0,0.0%,,0,0,62,100%,0,0%,4,14%,
38,2018,2018-10-21,6,7,24.059,DET,@,MIA,W 32-21,*,0,0,0,,0,0.0%,,0,0,64,100%,0,0%,6,22%,
39,2018,2018-10-28,7,8,24.066,DET,,SEA,L 14-28,*,0,0,0,,0,0.0%,,0,0,51,86%,0,0%,2,8%,
40,2018,2018-11-04,8,9,24.073,DET,@,MIN,L 9-24,*,0,0,0,,0,0.0%,,0,0,65,93%,0,0%,0,0%,
41,2018,2018-11-11,9,10,24.080,DET,@,CHI,L 22-34,*,0,0,0,,0,0.0%,,0,0,78,100%,0,0%,0,0%,
42,2018,2018-11-18,10,11,24.087,DET,,CAR,W 20-19,*,0,0,0,,0,0.0%,,0,0,65,100%,0,0%,0,0%,
43,2018,2018-11-22,11,12,24.091,DET,,CHI,L 16-23,*,0,0,0,,0,0.0%,,0,0,66,100%,0,0%,2,8%,
44,2018,2018-12-02,12,13,24.101,DET,,LAR,L 16-30,*,1,1,11,11.00,1,100.0%,11.00,1,6,72,100%,0,0%,0,0%,
45,2018,2018-12-09,13,14,24.108,DET,@,ARI,W 17-3,*,0,0,0,,0,0.0%,,0,0,60,100%,0,0%,2,8%,
46,2018,2018-12-16,14,15,24.115,DET,@,BUF,L 13-14,*,0,0,0,,0,0.0%,,0,0,57,100%,0,0%,0,0%,
47,2018,2018-12-23,15,16,24.122,DET,,MIN,L 9-27,*,0,0,0,,0,0.0%,,0,0,75,100%,0,0%,0,0%,
48,2018,2018-12-30,16,17,24.129,DET,@,GNB,W 31-0,*,0,0,0,,0,0.0%,,0,0,73,100%,0,0%,0,0%,
49,2019,2019-09-08,1,1,25.016,DET,@,ARI,T 27-27,*,,,,,,0.0%,,0,0,84,100%,0,0%,5,13%,
50,2019,2019-09-15,,2,,DET,,LAC,W 13-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2019,2019-09-22,3,3,25.030,DET,@,PHI,W 27-24,*,,,,,,0.0%,,0,0,61,100%,0,0%,0,0%,
52,2019,2019-09-29,4,4,25.037,DET,,KAN,L 30-34,*,,,,,,0.0%,,0,0,76,100%,0,0%,0,0%,
53,2019,2019-10-14,5,6,25.052,DET,@,GNB,L 22-23,*,,,,,,0.0%,,0,0,55,100%,0,0%,0,0%,
54,2019,2019-10-20,6,7,25.058,DET,,MIN,L 30-42,*,,,,,,0.0%,,0,0,75,100%,0,0%,5,17%,
55,2019,2019-10-27,7,8,25.065,DET,,NYG,W 31-26,*,,,,,,0.0%,,0,0,62,100%,0,0%,6,23%,
56,2019,2019-11-03,8,9,25.072,DET,@,OAK,L 24-31,*,,,,,,0.0%,,0,0,69,100%,0,0%,4,15%,
57,2019,2019-11-10,9,10,25.079,DET,@,CHI,L 13-20,*,,,,,,0.0%,,0,0,82,100%,0,0%,3,10%,
58,2019,2019-11-17,10,11,25.086,DET,,DAL,L 27-35,*,,,,,,0.0%,,0,0,62,100%,0,0%,3,10%,
59,2019,2019-11-24,11,12,25.093,DET,@,WAS,L 16-19,*,,,,,,0.0%,,0,0,74,100%,0,0%,5,17%,
60,2019,2019-11-28,12,13,25.097,DET,,CHI,L 20-24,*,,,,,,0.0%,,0,0,74,100%,0,0%,4,15%,
61,2019,2019-12-08,13,14,25.107,DET,@,MIN,L 7-20,*,,,,,,0.0%,,0,0,71,100%,0,0%,2,8%,
62,2019,2019-12-15,14,15,25.114,DET,,TAM,L 17-38,*,,,,,,0.0%,,0,0,64,100%,0,0%,3,10%,
63,2019,2019-12-22,15,16,25.121,DET,@,DEN,L 17-27,*,,,,,,0.0%,,0,0,48,96%,0,0%,1,4%,
64,2019,2019-12-29,16,17,25.128,DET,,GNB,L 20-23,*,,,,,,0.0%,,0,0,60,100%,0,0%,0,0%,
65,2020,2020-09-13,1,1,26.021,DET,,CHI,L 23-27,*,,,,,,0.0%,,0,0,78,100%,0,0%,0,0%,
66,2020,2020-09-20,2,2,26.028,DET,@,GNB,L 21-42,*,,,,,,0.0%,,0,0,59,100%,0,0%,0,0%,
67,2020,2020-09-27,3,3,26.035,DET,@,ARI,W 26-23,*,,,,,,0.0%,,0,0,66,100%,0,0%,0,0%,
68,2020,2020-10-04,4,4,26.042,DET,,NOR,L 29-35,*,,,,,,0.0%,,0,0,61,100%,0,0%,0,0%,
69,2020,2020-10-18,5,6,26.056,DET,@,JAX,W 34-16,*,,,,,,0.0%,,0,0,77,100%,0,0%,5,19%,
70,2020,2020-10-25,6,7,26.063,DET,@,ATL,W 23-22,*,,,,,,0.0%,,0,0,61,100%,0,0%,0,0%,
71,2020,2020-11-01,7,8,26.070,DET,,IND,L 21-41,*,,,,,,0.0%,,0,0,61,100%,0,0%,1,3%,
72,2020,2020-11-08,8,9,26.077,DET,@,MIN,L 20-34,*,,,,,,0.0%,,0,0,75,100%,0,0%,0,0%,
73,2020,2020-11-15,9,10,26.084,DET,,WAS,W 30-27,*,,,,,,0.0%,,0,0,59,100%,0,0%,0,0%,
74,2020,2020-11-22,10,11,26.091,DET,@,CAR,L 0-20,*,,,,,,0.0%,,0,0,56,100%,0,0%,0,0%,
75,2020,2020-11-26,11,12,26.095,DET,,HOU,L 25-41,*,,,,,,0.0%,,0,0,82,100%,0,0%,0,0%,
76,2020,2020-12-06,12,13,26.105,DET,@,CHI,W 34-30,*,,,,,,0.0%,,0,0,68,100%,0,0%,1,3%,
77,2020,2020-12-13,13,14,26.112,DET,,GNB,L 24-31,*,,,,,,0.0%,,0,0,67,100%,0,0%,0,0%,
78,2020,2020-12-20,14,15,26.119,DET,@,TEN,L 25-46,*,,,,,,0.0%,,0,0,65,100%,0,0%,0,0%,
79,2020,2020-12-26,15,16,26.125,DET,,TAM,L 7-47,*,,,,,,0.0%,,0,0,53,100%,0,0%,0,0%,
80,2020,2021-01-03,16,17,26.133,DET,,MIN,L 35-37,*,,,,,,0.0%,,0,0,58,100%,0,0%,0,0%,
81,2021,2021-09-12,1,1,,DET,,SFO,L 33-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,2021,2021-09-20,2,2,,DET,@,GNB,L 17-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
83,2021,2021-09-26,3,3,,DET,,BAL,L 17-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
84,2021,2021-10-03,4,4,,DET,@,CHI,L 14-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
85,2021,2021-10-10,5,5,,DET,@,MIN,L 17-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
86,2021,2021-10-17,6,6,,DET,,CIN,L 11-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2021,2021-10-24,7,7,,DET,@,LAR,L 19-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2021,2021-10-31,8,8,,DET,,PHI,L 6-44,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2021,2021-11-14,9,10,27.083,DET,@,PIT,T 16-16,*,,,,,,0.0%,,0,0,71,100%,0,0%,0,0%,
90,2021,2021-11-21,10,11,27.090,DET,@,CLE,L 10-13,*,,,,,,0.0%,,0,0,48,100%,0,0%,0,0%,
91,2021,2021-11-25,11,12,27.094,DET,,CHI,L 14-16,*,,,,,,0.0%,,0,0,49,100%,0,0%,2,8%,
92,2021,2021-12-05,12,13,27.104,DET,,MIN,W 29-27,*,,,,,,0.0%,,0,0,72,100%,0,0%,0,0%,
93,2021,2021-12-12,13,14,27.111,DET,@,DEN,L 10-38,*,1,1,-2,-2.00,0,100.0%,-2.00,0,0,63,100%,0,0%,0,0%,
94,2021,2021-12-19,14,15,27.118,DET,,ARI,W 30-12,*,,,,,,0.0%,,0,0,65,100%,0,0%,0,0%,
95,2021,2021-12-26,15,16,27.125,DET,@,ATL,L 16-20,*,,,,,,0.0%,,0,0,67,100%,0,0%,0,0%,
96,2021,2022-01-02,16,17,27.132,DET,@,SEA,L 29-51,*,1,1,6,6.00,1,100.0%,6.00,1,6,63,100%,0,0%,0,0%,
97,2021,2022-01-09,17,18,27.139,DET,,GNB,W 37-30,*,,,,,,0.0%,,0,0,31,53%,0,0%,0,0%,
98,2022,2022-09-11,1,1,28.019,DET,,PHI,L 35-38,*,,,,,,0.0%,,0,0,69,100%,0,0%,0,0%,
99,2022,2022-09-18,2,2,28.026,DET,,WAS,W 36-27,*,,,,,,0.0%,,0,0,61,100%,0,0%,0,0%,
100,2022,2022-09-25,3,3,28.033,DET,@,MIN,L 24-28,*,,,,,,0.0%,,0,0,78,100%,0,0%,0,0%,
101,2022,2022-10-02,4,4,28.040,DET,,SEA,L 45-48,*,,,,,,0.0%,,0,0,74,100%,0,0%,0,0%,
102,2022,2022-10-09,5,5,28.047,DET,@,NWE,L 0-29,*,,,,,,0.0%,,0,0,66,100%,0,0%,0,0%,
103,2022,2022-10-23,6,7,28.061,DET,@,DAL,L 6-24,*,,,,,,0.0%,,0,0,59,100%,0,0%,0,0%,
104,2022,2022-10-30,7,8,28.068,DET,,MIA,L 27-31,*,,,,,,0.0%,,0,0,60,100%,0,0%,0,0%,
105,2022,2022-11-06,8,9,28.075,DET,,GNB,W 15-9,*,,,,,,0.0%,,0,0,62,100%,0,0%,0,0%,
106,2022,2022-11-13,9,10,28.082,DET,@,CHI,W 31-30,*,,,,,,0.0%,,0,0,62,100%,0,0%,0,0%,
107,2022,2022-11-20,10,11,28.089,DET,@,NYG,W 31-18,*,,,,,,0.0%,,0,0,67,100%,0,0%,4,15%,
108,2022,2022-11-24,11,12,28.093,DET,,BUF,L 25-28,*,,,,,,0.0%,,0,0,71,100%,0,0%,0,0%,
109,2022,2022-12-04,12,13,28.103,DET,,JAX,W 40-14,*,,,,,,0.0%,,0,0,76,100%,0,0%,0,0%,
110,2022,2022-12-11,13,14,28.110,DET,,MIN,W 34-23,*,,,,,,0.0%,,0,0,70,100%,0,0%,0,0%,
111,2022,2022-12-18,14,15,28.117,DET,@,NYJ,W 20-17,*,,,,,,0.0%,,0,0,68,100%,0,0%,0,0%,
112,2022,2022-12-24,15,16,28.123,DET,@,CAR,L 23-37,*,,,,,,0.0%,,0,0,66,100%,0,0%,0,0%,
113,2022,2023-01-01,16,17,28.131,DET,,CHI,W 41-10,*,,,,,,0.0%,,0,0,71,100%,0,0%,0,0%,
114,2022,2023-01-08,17,18,28.138,DET,@,GNB,W 20-16,*,,,,,,0.0%,,0,0,62,100%,0,0%,0,0%,
115,2023,2023-09-07,1,1,29.015,DET,@,KAN,W 21-20,*,,,,,,0.0%,,0,0,70,100%,0,0%,0,0%,
116,2023,2023-09-17,2,2,,DET,,SEA,L 31-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
117,2023,2023-09-24,3,3,,DET,,ATL,W 20-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
118,2023,2023-09-28,4,4,29.036,DET,@,GNB,W 34-20,*,,,,,,0.0%,,0,0,75,100%,0,0%,0,0%,
119,2023,2023-10-08,5,5,29.046,DET,,CAR,W 42-24,*,,,,,,0.0%,,0,0,60,100%,0,0%,0,0%,
120,2023,2023-10-15,6,6,29.053,DET,@,TAM,W 20-6,*,,,,,,0.0%,,0,0,70,100%,0,0%,0,0%,
121,2023,2023-10-22,7,7,29.060,DET,@,BAL,L 6-38,*,,,,,,0.0%,,0,0,75,100%,0,0%,0,0%,
122,2023,2023-10-30,8,8,29.068,DET,,LVR,W 26-14,*,,,,,,0.0%,,0,0,86,100%,0,0%,0,0%,
123,2023,2023-11-12,9,10,29.081,DET,@,LAC,W 41-38,*,,,,,,0.0%,,0,0,66,100%,0,0%,0,0%,
124,2023,2023-11-19,10,11,29.088,DET,,CHI,W 31-26,*,,,,,,0.0%,,0,0,62,100%,0,0%,0,0%,
125,2023,2023-11-23,11,12,29.092,DET,,GNB,L 22-29,*,,,,,,0.0%,,0,0,84,100%,0,0%,0,0%,
126,2023,2023-12-03,12,13,29.102,DET,@,NOR,W 33-28,*,,,,,,0.0%,,0,0,58,100%,0,0%,0,0%,
127,2023,2023-12-10,13,14,29.109,DET,@,CHI,L 13-28,*,,,,,,0.0%,,0,0,65,100%,0,0%,0,0%,
128,2023,2023-12-16,14,15,29.115,DET,,DEN,W 42-17,*,,,,,,0.0%,,0,0,66,100%,0,0%,0,0%,
129,2023,2023-12-24,15,16,29.123,DET,@,MIN,W 30-24,*,,,,,,0.0%,,0,0,79,100%,0,0%,0,0%,
130,2023,2023-12-30,16,17,29.129,DET,@,DAL,L 19-20,*,0,0,0,,0,0.0%,,0,0,69,100%,0,0%,0,0%,
131,2023,2024-01-07,17,18,29.137,DET,,MIN,W 30-20,*,,,,,,0.0%,,0,0,57,100%,0,0%,0,0%,
132,2024,2024-09-08,1,1,30.016,DET,,LAR,W 26-20,*,,,,,,0.0%,,0,0,61,100%,0,0%,0,0%,
133,2024,2024-09-15,2,2,30.023,DET,,TAM,L 16-20,*,,,,,,0.0%,,0,0,85,99%,0,0%,0,0%,
134,2024,2024-09-22,3,3,30.030,DET,@,ARI,W 20-13,*,,,,,,0.0%,,0,0,68,100%,0,0%,0,0%,
135,2024,2024-09-30,4,4,30.038,DET,,SEA,W 42-29,*,,,,,,0.0%,,0,0,53,100%,0,0%,0,0%,
136,2024,2024-10-13,5,6,30.051,DET,@,DAL,W 47-9,*,1,0,0,,0,0.0%,0.00,0,0,68,100%,0,0%,0,0%,
137,2024,2024-10-20,6,7,30.058,DET,@,MIN,W 31-29,*,,,,,,0.0%,,0,0,57,100%,0,0%,0,0%,
138,2024,2024-10-27,7,8,30.065,DET,,TEN,W 52-14,*,,,,,,0.0%,,0,0,42,88%,0,0%,0,0%,
139,2024,2024-11-03,8,9,30.072,DET,@,GNB,W 24-14,*,,,,,,0.0%,,0,0,57,100%,0,0%,0,0%,
140,2024,2024-11-10,9,10,,DET,@,HOU,W 26-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
141,2024,2024-11-17,10,11,30.086,DET,,JAX,W 52-6,*,,,,,,0.0%,,0,0,63,80%,0,0%,0,0%,
142,2024,2024-11-24,11,12,30.093,DET,@,IND,W 24-6,*,,,,,,0.0%,,0,0,58,81%,0,0%,0,0%,
