Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
46,2022,2022-12-11,13,14,26.101,DET,,MIN,W 34-23,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,96,48.00,9,87,43.5,0,0.0%,1,50.0%,0,0,0%,0,0%,17,59%
47,2022,2022-12-18,14,15,26.108,DET,@,NYJ,W 20-17,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,178,44.50,6,152,38.0,1,25.0%,1,25.0%,0,0,0%,0,0%,15,54%
48,2022,2022-12-24,15,16,26.114,DET,@,CAR,L 23-37,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,206,51.50,11,195,48.8,0,0.0%,2,50.0%,0,0,0%,0,0%,10,34%
49,2022,2023-01-01,16,17,26.122,DET,,CHI,W 41-10,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,150,50.00,10,140,46.7,0,0.0%,1,33.3%,0,0,0%,0,0%,18,60%
50,2022,2023-01-08,17,18,26.129,DET,@,GNB,W 20-16,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,188,47.00,38,150,37.5,0,0.0%,0,0.0%,0,0,0%,0,0%,14,56%
51,2023,2023-09-07,1,1,27.006,DET,@,KAN,W 21-20,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,222,44.40,16,206,41.2,0,0.0%,3,60.0%,0,0,0%,0,0%,13,48%
52,2023,2023-09-17,2,2,27.016,DET,,SEA,L 31-37,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,53,53.00,0,53,53.0,0,0.0%,0,0.0%,0,0,0%,0,0%,12,43%
53,2023,2023-09-24,3,3,27.023,DET,,ATL,W 20-6,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,274,45.67,27,247,41.2,0,0.0%,3,50.0%,0,0,0%,0,0%,15,56%
54,2023,2023-09-28,4,4,27.027,DET,@,GNB,W 34-20,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,180,45.00,30,150,37.5,0,0.0%,1,25.0%,0,0,0%,0,0%,18,60%
55,2023,2023-10-08,5,5,27.037,DET,,CAR,W 42-24,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,88,44.00,3,85,42.5,0,0.0%,2,100.0%,0,0,0%,0,0%,15,56%
56,2023,2023-10-15,6,6,27.044,DET,@,TAM,W 20-6,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,180,45.00,0,160,40.0,1,25.0%,2,50.0%,0,0,0%,0,0%,9,36%
57,2023,2023-10-22,7,7,27.051,DET,@,BAL,L 6-38,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,184,46.00,0,184,46.0,0,0.0%,2,50.0%,0,0,0%,0,0%,5,24%
58,2023,2023-10-30,8,8,27.059,DET,,LVR,W 26-14,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,48,48.00,0,48,48.0,0,0.0%,0,0.0%,0,0,0%,0,0%,15,60%
59,2023,2023-11-12,9,10,27.072,DET,@,LAC,W 41-38,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,29,29.00,0,29,29.0,0,0.0%,1,100.0%,0,0,0%,0,0%,15,50%
60,2023,2023-11-19,10,11,27.079,DET,,CHI,W 31-26,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,97,48.50,0,97,48.5,0,0.0%,2,100.0%,0,0,0%,0,0%,10,38%
61,2023,2023-11-23,11,12,27.083,DET,,GNB,L 22-29,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,83,41.50,0,83,41.5,0,0.0%,1,50.0%,0,0,0%,0,0%,7,30%
62,2023,2023-12-03,12,13,27.093,DET,@,NOR,W 33-28,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,254,50.80,47,207,41.4,0,0.0%,1,20.0%,0,0,0%,0,0%,17,57%
63,2023,2023-12-10,13,14,27.100,DET,@,CHI,L 13-28,,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,4,207,51.75,56,151,37.8,0,0.0%,1,25.0%,0,0,0%,0,0%,9,38%
64,2023,2023-12-16,14,15,27.106,DET,,DEN,W 42-17,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,141,35.25,0,121,30.3,1,25.0%,1,25.0%,0,0,0%,0,0%,17,59%
65,2023,2023-12-24,15,16,27.114,DET,@,MIN,W 30-24,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,143,47.67,5,138,46.0,0,0.0%,2,66.7%,0,0,0%,0,0%,15,58%
