Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
21,2021,2021-10-07,5,5,,LAR,@,SEA,W 26-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2021,2021-10-17,6,6,,LAR,@,NYG,W 38-11,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2021,2021-10-24,7,7,,LAR,,DET,W 28-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2021,2021-10-31,8,8,,LAR,@,HOU,W 38-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2021,2021-11-07,9,9,,LAR,,TEN,L 16-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2021,2021-11-15,10,10,,LAR,@,SFO,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2021,2021-11-28,11,12,,LAR,@,GNB,L 28-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2021,2021-12-05,12,13,,LAR,,JAX,W 37-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2021,2021-12-13,13,14,,LAR,@,ARI,W 30-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2021,2021-12-21,14,15,,LAR,,SEA,W 20-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2021,2021-12-26,15,16,,LAR,@,MIN,W 30-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2021,2022-01-02,16,17,,LAR,@,BAL,W 20-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2021,2022-01-09,17,18,22.201,LAR,,SFO,L 24-27,,5,3,0.60,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,0,0,0,0,0,0,13,20%,0,0%,0,0%,
34,2022,2022-09-08,1,1,23.078,LAR,,BUF,L 10-31,,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,12,18%,0,0%,0,0%,
35,2022,2022-09-18,2,2,23.088,LAR,,ATL,W 31-27,,15,44,2.93,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,0,0,0,0,0,0,27,43%,0,0%,0,0%,
36,2022,2022-09-25,3,3,23.095,LAR,@,ARI,W 20-12,,12,61,5.08,1,0,0,0,,0,0.0%,,0,0,,0,1,6,1,1,0,0,0,0,24,50%,0,0%,0,0%,
37,2022,2022-10-03,4,4,23.103,LAR,@,SFO,L 9-24,*,8,13,1.63,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,28,38%,0,0%,0,0%,
38,2022,2022-10-09,5,5,23.109,LAR,,DAL,L 10-22,*,13,33,2.54,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,20,31%,0,0%,0,0%,
39,2022,2022-10-16,6,6,,LAR,,CAR,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2022,2022-10-30,7,8,,LAR,,SFO,L 14-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2022,2022-11-06,8,9,23.137,LAR,@,TAM,L 13-16,,5,3,0.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,
42,2022,2022-11-13,9,10,23.144,LAR,,ARI,L 17-27,,6,22,3.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,10,17%,0,0%,0,0%,
43,2022,2022-11-20,10,11,23.151,LAR,@,NOR,L 20-27,,14,61,4.36,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,25,39%,0,0%,0,0%,
44,2022,2022-11-27,11,12,23.158,LAR,@,KAN,L 10-26,*,8,37,4.63,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,16,30%,0,0%,0,0%,
45,2022,2022-12-04,12,13,23.165,LAR,,SEA,L 23-27,*,17,60,3.53,2,1,1,0,0.00,0,100.0%,0.00,0,0,,0,2,12,0,0,0,0,0,0,46,72%,0,0%,0,0%,
46,2022,2022-12-08,13,14,23.169,LAR,,LVR,W 17-16,*,12,42,3.50,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,1,6,1,1,0,0,0,0,27,42%,0,0%,0,0%,
47,2022,2022-12-19,14,15,23.180,LAR,@,GNB,L 12-24,*,12,65,5.42,0,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,0,0,0,0,0,0,34,76%,0,0%,0,0%,
48,2022,2022-12-25,15,16,23.186,LAR,,DEN,W 51-14,*,23,118,5.13,3,2,2,29,14.50,0,100.0%,14.50,0,0,,0,3,18,0,0,0,0,0,0,49,75%,0,0%,0,0%,
49,2022,2023-01-01,16,17,23.193,LAR,@,LAC,L 10-31,*,19,123,6.47,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,38,78%,0,0%,0,0%,
50,2022,2023-01-08,17,18,23.200,LAR,@,SEA,L 16-19,*,21,104,4.95,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
51,2023,2023-09-10,1,1,24.080,LAR,@,SEA,W 30-13,*,22,29,1.32,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,28,35%,0,0%,0,0%,
52,2023,2023-09-17,2,2,,LAR,,SFO,L 23-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,2023,2023-09-24,3,3,,MIN,,LAC,L 24-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-10-01,4,4,24.101,MIN,@,CAR,W 21-13,,5,40,8.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0,0,0,0,0,0,14,29%,0,0%,0,0%,
55,2023,2023-10-08,5,5,24.108,MIN,,KAN,L 20-27,,5,15,3.00,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,0,0,0,0,0,0,21,29%,0,0%,0,0%,
56,2023,2023-10-15,6,6,24.115,MIN,@,CHI,W 19-13,,1,8,8.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0,0,0,0,0,0,9,16%,0,0%,0,0%,
57,2023,2023-10-23,7,7,24.123,MIN,,SFO,W 22-17,,10,31,3.10,0,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,0,0,0,0,0,0,27,39%,0,0%,0,0%,
58,2023,2023-10-29,8,8,24.129,MIN,@,GNB,W 24-10,,9,19,2.11,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,6,0,0,0,0,0,0,17,24%,0,0%,0,0%,
59,2023,2023-11-05,9,9,24.136,MIN,@,ATL,W 31-28,,8,25,3.13,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,0,0,0,0,0,0,23,31%,0,0%,0,0%,
60,2023,2023-11-12,10,10,,MIN,,NOR,W 27-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2023,2023-11-19,11,11,,MIN,@,DEN,L 20-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2023,2023-11-27,12,12,,MIN,,CHI,L 10-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2023,2023-12-10,13,14,,MIN,@,LVR,W 3-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2023,2023-12-16,14,15,,MIN,@,CIN,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,2023,2023-12-24,15,16,,MIN,,DET,L 24-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,2023,2023-12-31,16,17,,MIN,,GNB,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2023,2024-01-07,17,18,,MIN,@,DET,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,2024,2024-09-08,1,1,,HOU,@,IND,W 29-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,2024,2024-09-15,2,2,25.085,HOU,,CHI,W 19-13,,7,32,4.57,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,1,1,0,0,0,0,13,21%,0,0%,0,0%,
70,2024,2024-09-22,3,3,25.092,HOU,@,MIN,L 7-34,*,9,21,2.33,0,3,1,8,8.00,1,33.3%,2.67,0,0,,0,1,6,0,0,0,0,0,0,29,43%,0,0%,0,0%,
71,2024,2024-09-29,4,4,25.099,HOU,,JAX,W 24-20,*,13,53,4.08,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,30,40%,0,0%,0,0%,
72,2024,2024-10-06,5,5,25.106,HOU,,BUF,W 23-20,,9,42,4.67,1,3,2,5,2.50,0,66.7%,1.67,0,0,,0,1,6,0,0,0,0,0,0,22,32%,0,0%,0,0%,
73,2024,2024-10-13,6,6,25.113,HOU,@,NWE,W 41-21,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,
74,2024,2024-10-20,6,7,25.120,MIN,,DET,L 29-31,,0,0,,0,0,0,0,,0,0.0%,,2,52,26.00,0,0,0,0,0,0,0,0,0,0,0%,0,0%,3,10%,
75,2024,2024-10-24,7,8,25.124,MIN,@,LAR,L 20-30,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,0%,0,0%,1,4%,
76,2024,2024-11-03,8,9,25.134,MIN,,IND,W 21-13,,6,46,7.67,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,0,0,0,0,0,0,16,22%,0,0%,3,14%,
77,2024,2024-11-10,9,10,25.141,MIN,@,JAX,W 12-7,,13,38,2.92,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0,0,0,0,0,0,26,31%,0,0%,2,11%,
78,2024,2024-11-17,10,11,25.148,MIN,@,TEN,W 23-13,,10,25,2.50,0,2,2,11,5.50,1,100.0%,5.50,0,0,,0,1,6,0,0,0,0,0,0,27,37%,0,0%,4,15%,
79,2024,2024-11-24,11,12,25.155,MIN,@,CHI,W 30-27,,3,19,6.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,11,15%,0,0%,4,13%,
