Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
34,2023,2024-01-07,17,18,23.220,MIN,@,DET,L 20-30,,0,0,,0,0,0,,0,0,,,4,224,56.00,89,135,33.8,0,0.0%,1,25.0%,0,0,0%,0,0%,8,29%
35,2024,2024-09-08,1,1,24.099,MIN,@,NYG,W 28-6,,0,0,,0,0,0,,0,0,,,4,168,42.00,0,172,43.0,0,0.0%,3,75.0%,0,0,0%,0,0%,8,33%
36,2024,2024-09-15,2,2,24.106,MIN,,SFO,W 23-17,,0,0,,0,0,0,,0,0,,,3,151,50.33,3,128,42.7,1,33.3%,1,33.3%,0,0,0%,0,0%,8,35%
37,2024,2024-09-22,3,3,24.113,MIN,,HOU,W 34-7,,0,0,,0,0,0,,0,0,,,4,193,48.25,5,188,47.0,0,0.0%,2,50.0%,0,0,0%,0,0%,10,38%
38,2024,2024-09-29,4,4,24.120,MIN,@,GNB,W 31-29,,0,0,,0,0,0,,0,0,,,5,225,45.00,1,204,40.8,1,20.0%,3,60.0%,0,0,0%,0,0%,10,35%
39,2024,2024-10-06,5,5,24.127,MIN,,NYJ,W 23-17,,0,0,,0,0,0,,0,0,,,4,185,46.25,31,152,38.0,0,0.0%,2,50.0%,0,0,0%,0,0%,9,31%
40,2024,2024-10-20,6,7,24.141,MIN,,DET,L 29-31,,0,0,,0,0,0,,0,0,,,3,145,48.33,23,122,40.7,0,0.0%,1,33.3%,0,0,0%,0,0%,8,26%
41,2024,2024-10-24,7,8,24.145,MIN,@,LAR,L 20-30,,0,0,,0,0,0,,0,0,,,3,151,50.33,4,147,49.0,0,0.0%,3,100.0%,0,0,0%,0,0%,8,32%
42,2024,2024-11-03,8,9,24.155,MIN,,IND,W 21-13,,0,0,,0,0,0,,0,0,,,2,83,41.50,12,51,25.5,1,50.0%,0,0.0%,0,0,0%,0,0%,7,32%
43,2024,2024-11-10,9,10,24.162,MIN,@,JAX,W 12-7,,0,0,,0,0,0,,0,0,,,2,72,36.00,0,72,36.0,0,0.0%,1,50.0%,0,0,0%,0,0%,6,32%
44,2024,2024-11-17,10,11,24.169,MIN,@,TEN,W 23-13,,0,0,,0,0,0,,0,0,,,5,222,44.40,26,176,35.2,1,20.0%,3,60.0%,0,0,0%,0,0%,9,35%
45,2024,2024-11-24,11,12,24.176,MIN,@,CHI,W 30-27,,0,0,,0,0,0,,0,0,,,4,167,41.75,7,160,40.0,0,0.0%,1,25.0%,0,0,0%,0,0%,10,32%
