Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
34,2023,2024-01-07,17,18,,MIN,@,DET,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2024,2024-09-08,1,1,25.190,MIN,@,NYG,W 28-6,,1,1,21,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,26,47%,0,0%,0,0%,
36,2024,2024-09-15,2,2,25.197,MIN,,SFO,W 23-17,*,4,3,54,18.00,1,75.0%,13.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,93%,0,0%,1,4%,
37,2024,2024-09-22,3,3,25.204,MIN,,HOU,W 34-7,*,4,3,31,10.33,1,75.0%,7.75,1,3,3.00,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,86%,0,0%,0,0%,
38,2024,2024-09-29,4,4,25.211,MIN,@,GNB,W 31-29,,2,1,31,31.00,0,50.0%,15.50,1,0,0.00,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,14,21%,0,0%,2,7%,
39,2024,2024-10-06,5,5,25.218,MIN,,NYJ,W 23-17,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,,,,,,,41,56%,0,0%,0,0%,
40,2024,2024-10-20,6,7,25.232,MIN,,DET,L 29-31,*,5,4,76,19.00,0,80.0%,15.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,73%,0,0%,0,0%,
41,2024,2024-10-24,7,8,25.236,MIN,@,LAR,L 20-30,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,42%,0,0%,0,0%,
42,2024,2024-11-03,8,9,25.246,MIN,,IND,W 21-13,,1,1,7,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,20,27%,0,0%,1,5%,
43,2024,2024-11-10,9,10,25.253,MIN,@,JAX,W 12-7,,3,1,11,11.00,0,33.3%,3.67,1,-7,-7.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,50%,0,0%,0,0%,
44,2024,2024-11-17,10,11,25.260,MIN,@,TEN,W 23-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,44%,0,0%,0,0%,
45,2024,2024-11-24,11,12,25.267,MIN,@,CHI,W 30-27,,2,1,5,5.00,1,50.0%,2.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,39%,0,0%,2,6%,
