Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
12,2019,2019-12-01,,13,,JAX,,TAM,L 11-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,2019,2019-12-08,,14,,JAX,,LAC,L 10-45,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2019,2019-12-15,,15,,JAX,@,OAK,W 20-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2019,2019-12-22,,16,,JAX,@,ATL,L 12-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2019,2019-12-29,,17,,JAX,,IND,W 38-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2021,2021-09-13,1,1,24.176,BAL,@,LVR,L 27-33,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,7%,0,0%,0,0%,
18,2021,2021-09-19,2,2,24.182,BAL,,KAN,W 36-35,,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,16%,0,0%,3,11%,
19,2021,2021-09-26,3,3,24.189,BAL,@,DET,W 19-17,,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,19%,0,0%,5,18%,
20,2021,2021-10-03,4,4,24.196,BAL,@,DEN,W 23-7,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,10,33%,
21,2021,2021-10-11,5,5,24.204,BAL,,IND,W 31-25,,2,2,13,6.50,0,100.0%,6.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,16%,0,0%,7,28%,
22,2021,2021-10-17,6,6,24.210,BAL,,LAC,W 34-6,,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,19,28%,0,0%,5,22%,
23,2021,2021-10-24,7,7,24.217,BAL,,CIN,L 17-41,,5,2,29,14.50,0,40.0%,5.80,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,26%,0,0%,0,0%,
24,2021,2021-11-07,8,9,24.231,BAL,,MIN,W 34-31,,,,,,,0.0%,,0,0,,,,,,,,,,,,,12,12%,0,0%,6,18%,
25,2021,2021-11-11,9,10,24.235,BAL,@,MIA,L 10-22,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,8,25%,
26,2021,2021-11-21,10,11,24.245,BAL,@,CHI,W 16-13,,,,,,,0.0%,,0,0,,,,,,,,,,,,,0,0%,0,0%,7,28%,
27,2021,2021-11-28,11,12,,BAL,,CLE,W 16-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2021,2021-12-05,12,13,24.259,BAL,@,PIT,L 19-20,,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,8,11%,0,0%,5,20%,
29,2021,2021-12-12,13,14,24.266,BAL,@,CLE,L 22-24,,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,9,12%,0,0%,8,26%,
30,2021,2021-12-19,14,15,24.273,BAL,,GNB,L 30-31,,,,,,,0.0%,,0,0,,,,,,,,,,,,,5,7%,0,0%,14,56%,
31,2021,2021-12-26,15,16,,BAL,@,CIN,L 21-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2021,2022-01-02,16,17,,BAL,,LAR,L 19-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2021,2022-01-09,17,18,24.294,BAL,,PIT,L 13-16,*,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,19,27%,0,0%,11,34%,
34,2022,2022-09-11,1,1,25.174,BAL,@,NYJ,W 24-9,,,,,,,0.0%,,0,0,,,,,,,,,,,,,19,34%,0,0%,0,0%,
35,2022,2022-09-18,2,2,25.181,BAL,,MIA,L 38-42,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,28,47%,0,0%,6,20%,
36,2022,2022-09-25,3,3,25.188,BAL,@,NWE,W 37-26,,2,2,8,4.00,1,100.0%,4.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,40%,0,0%,9,33%,
37,2022,2022-10-02,4,4,25.195,BAL,,BUF,L 20-23,,,,,,,0.0%,,0,0,,,,,,,,,,,,,21,30%,0,0%,5,20%,
38,2022,2022-10-09,5,5,25.202,BAL,,CIN,W 19-17,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,35%,0,0%,7,30%,
39,2022,2022-10-16,6,6,25.209,BAL,@,NYG,L 20-24,,3,2,21,10.50,0,66.7%,7.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,21,36%,0,0%,5,19%,
40,2022,2022-10-23,7,7,25.216,BAL,,CLE,W 23-20,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,48%,0,0%,0,0%,
41,2022,2022-10-27,8,8,25.220,BAL,@,TAM,W 27-22,,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,50%,0,0%,11,36%,
42,2022,2022-11-07,9,9,25.231,BAL,@,NOR,W 27-13,*,3,1,19,19.00,0,33.3%,6.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,65%,0,0%,9,35%,
43,2022,2022-11-20,10,11,25.244,BAL,,CAR,W 13-3,,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,33%,0,0%,9,39%,
44,2022,2022-11-27,11,12,25.251,BAL,@,JAX,L 27-28,,6,4,76,19.00,1,66.7%,12.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,61%,0,0%,0,0%,
45,2022,2022-12-04,12,13,25.258,BAL,,DEN,W 10-9,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,24,33%,0,0%,13,50%,
46,2022,2022-12-11,13,14,25.265,BAL,@,PIT,W 16-14,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,42,69%,0,0%,6,29%,
47,2022,2022-12-17,14,15,25.271,BAL,@,CLE,L 3-13,*,2,2,13,6.50,0,100.0%,6.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,41%,0,0%,4,22%,
48,2022,2022-12-24,15,16,25.278,BAL,,ATL,W 17-9,*,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,81%,0,0%,10,48%,
49,2022,2023-01-01,16,17,25.286,BAL,,PIT,L 13-16,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,30,58%,0,0%,14,61%,
50,2022,2023-01-08,17,18,25.293,BAL,@,CIN,L 16-27,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,44%,0,0%,19,63%,
51,2023,2023-09-10,1,1,26.173,MIN,,TAM,L 17-20,*,3,3,32,10.67,0,100.0%,10.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,47%,0,0%,8,29%,
52,2023,2023-09-14,2,2,26.177,MIN,@,PHI,L 28-34,*,3,2,13,6.50,0,66.7%,4.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,34%,0,0%,10,34%,
53,2023,2023-09-24,3,3,26.187,MIN,,LAC,L 24-28,*,2,2,4,2.00,1,100.0%,2.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,33%,0,0%,9,36%,
54,2023,2023-10-01,4,4,26.194,MIN,@,CAR,W 21-13,,,,,,,0.0%,,0,0,,,,,,,,,,,,,22,46%,0,0%,6,27%,
55,2023,2023-10-08,5,5,26.201,MIN,,KAN,L 20-27,*,2,1,15,15.00,0,50.0%,7.50,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,25,35%,0,0%,10,42%,
56,2023,2023-10-15,6,6,26.208,MIN,@,CHI,W 19-13,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,22,39%,0,0%,9,35%,
57,2023,2023-10-23,7,7,26.216,MIN,,SFO,W 22-17,*,2,2,6,3.00,0,100.0%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,43%,0,0%,10,45%,
58,2023,2023-10-29,8,8,26.222,MIN,@,GNB,W 24-10,,,,,,,0.0%,,0,0,,,,,,,,,,,,,33,46%,0,0%,8,35%,
59,2023,2023-11-05,9,9,26.229,MIN,@,ATL,W 31-28,*,2,2,1,0.50,0,100.0%,0.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,32%,0,0%,12,36%,
60,2023,2023-11-12,10,10,26.236,MIN,,NOR,W 27-19,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,32,44%,0,0%,10,34%,
61,2023,2023-11-19,11,11,26.243,MIN,@,DEN,L 20-21,*,4,4,47,11.75,1,100.0%,11.75,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,46%,0,0%,10,37%,
62,2023,2023-11-27,12,12,26.251,MIN,,CHI,L 10-12,,,,,,,0.0%,,0,0,,,,,,,,,,,,,21,38%,0,0%,7,35%,
63,2023,2023-12-10,13,14,26.264,MIN,@,LVR,W 3-0,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,39%,0,0%,4,18%,
64,2023,2023-12-16,14,15,26.270,MIN,@,CIN,L 24-27,*,2,2,14,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,51%,0,0%,9,33%,
65,2023,2023-12-24,15,16,26.278,MIN,,DET,L 24-30,*,2,1,33,33.00,0,50.0%,16.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,36%,0,0%,10,38%,
66,2023,2023-12-31,16,17,26.285,MIN,,GNB,L 10-33,*,2,1,17,17.00,0,50.0%,8.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,45%,0,0%,9,38%,
67,2023,2024-01-07,17,18,26.292,MIN,@,DET,L 20-30,*,3,2,31,15.50,0,66.7%,10.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,10,36%,
68,2024,2024-09-08,1,1,27.171,MIN,@,NYG,W 28-6,*,2,2,27,13.50,0,100.0%,13.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,47%,0,0%,7,29%,
69,2024,2024-09-15,2,2,27.178,MIN,,SFO,W 23-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,29,54%,0,0%,9,39%,
70,2024,2024-09-22,3,3,27.185,MIN,,HOU,W 34-7,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,49%,0,0%,8,31%,
71,2024,2024-09-29,4,4,27.192,MIN,@,GNB,W 31-29,*,2,2,10,5.00,1,100.0%,5.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,68%,0,0%,3,10%,
72,2024,2024-10-06,5,5,27.199,MIN,,NYJ,W 23-17,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,45,62%,0,0%,4,14%,
73,2024,2024-10-20,6,7,27.213,MIN,,DET,L 29-31,*,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,58%,0,0%,6,19%,
74,2024,2024-10-24,7,8,27.217,MIN,@,LAR,L 20-30,*,2,2,30,15.00,1,100.0%,15.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,70%,0,0%,5,20%,
75,2024,2024-11-03,8,9,27.227,MIN,,IND,W 21-13,*,5,5,58,11.60,1,100.0%,11.60,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,56%,0,0%,8,36%,
76,2024,2024-11-10,9,10,27.234,MIN,@,JAX,W 12-7,*,6,4,52,13.00,0,66.7%,8.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,68%,0,0%,6,32%,
77,2024,2024-11-17,10,11,27.241,MIN,@,TEN,W 23-13,*,3,3,34,11.33,0,100.0%,11.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,56%,0,0%,8,31%,
78,2024,2024-11-24,11,12,,MIN,@,CHI,W 30-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
