Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
60,2017,2017-12-03,12,13,30.128,CHI,,SFO,L 14-15,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,30%,
61,2017,2017-12-10,13,14,30.135,CHI,@,CIN,W 33-7,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,38%,
62,2017,2017-12-16,14,15,30.141,CHI,@,DET,L 10-20,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,7,30%,
63,2017,2017-12-24,15,16,30.149,CHI,,CLE,W 20-3,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,44%,
64,2017,2017-12-31,16,17,30.156,CHI,@,MIN,L 10-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,
65,2018,2018-09-10,1,1,31.044,OAK,,LAR,L 13-33,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,2,7%,
66,2018,2018-09-16,,2,,OAK,@,DEN,L 19-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
67,2018,2018-09-23,,3,,OAK,@,MIA,L 20-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
68,2018,2018-09-30,,4,,OAK,,CLE,W 45-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
69,2018,2018-10-07,,5,,OAK,@,LAC,L 10-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
70,2018,2018-10-14,,6,,OAK,,SEA,L 3-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
71,2018,2018-10-28,,8,,OAK,,IND,L 28-42,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
72,2018,2018-11-01,,9,,OAK,@,SFO,L 3-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
73,2018,2018-11-11,,10,,OAK,,LAC,L 6-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
74,2018,2018-11-18,,11,,OAK,@,ARI,W 23-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
75,2018,2018-11-25,,12,,OAK,@,BAL,L 17-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
76,2018,2018-12-02,,13,,OAK,,KAN,L 33-40,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
77,2018,2018-12-09,,14,,OAK,,PIT,W 24-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
78,2018,2018-12-16,,15,,OAK,@,CIN,L 16-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
79,2018,2018-12-24,,16,,OAK,,DEN,W 27-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
80,2018,2018-12-30,,17,,OAK,@,KAN,L 3-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
81,2020,2020-11-22,10,11,33.117,MIN,,DAL,L 28-31,,,,,,,,0,,,0,0,0,1,2%,0,0%,8,31%,
82,2020,2020-11-29,11,12,33.124,MIN,,CAR,W 28-27,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,28%,
83,2020,2020-12-06,12,13,33.131,MIN,,JAX,W 27-24,,,,,,,,0,,,0,0,0,0,0%,0,0%,13,38%,
84,2020,2020-12-13,13,14,33.138,MIN,@,TAM,L 14-26,,,,,,,,0,,,0,0,0,0,0%,0,0%,6,27%,
85,2020,2020-12-20,14,15,33.145,MIN,,CHI,L 27-33,,,,,,,,0,,,0,0,0,0,0%,0,0%,7,24%,
86,2020,2020-12-25,15,16,33.150,MIN,@,NOR,L 33-52,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,26%,
87,2020,2021-01-03,16,17,33.159,MIN,@,DET,W 37-35,,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0%,0,0%,10,33%,
88,2021,2021-09-12,1,1,34.046,MIN,@,CIN,L 24-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,35%,
89,2021,2021-09-19,2,2,34.053,MIN,@,ARI,L 33-34,,,,,,,,,,,,,,0,0%,0,0%,13,36%,
90,2021,2021-09-26,3,3,34.060,MIN,,SEA,W 30-17,,,,,,,,,,,,,,0,0%,0,0%,8,32%,
91,2021,2021-10-03,4,4,34.067,MIN,,CLE,L 7-14,,,,,,,,,,,,,,0,0%,0,0%,7,32%,
