Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
35,2021,2021-09-26,3,3,24.085,DET,,BAL,L 17-19,*,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,84%,0,0%,0,0%,
36,2021,2021-10-03,4,4,24.092,DET,@,CHI,L 14-24,*,8,4,42,10.50,0,50.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,82%,0,0%,0,0%,
37,2021,2021-10-10,5,5,24.099,DET,@,MIN,L 17-19,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,
38,2021,2021-10-17,6,6,24.106,DET,,CIN,L 11-34,*,11,8,74,9.25,0,72.7%,6.73,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,52,83%,0,0%,0,0%,
39,2021,2021-10-24,7,7,24.113,DET,@,LAR,L 19-28,*,9,6,48,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,
40,2021,2021-10-31,8,8,24.120,DET,,PHI,L 6-44,*,11,10,89,8.90,0,90.9%,8.09,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,
41,2021,2021-11-14,9,10,24.134,DET,@,PIT,T 16-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,94%,0,0%,0,0%,
42,2021,2021-11-21,10,11,24.141,DET,@,CLE,L 10-13,*,8,6,51,8.50,0,75.0%,6.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,88%,0,0%,0,0%,
43,2021,2021-11-25,11,12,24.145,DET,,CHI,L 14-16,*,3,3,35,11.67,1,100.0%,11.67,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,76%,0,0%,0,0%,
44,2021,2021-12-05,12,13,24.155,DET,,MIN,W 29-27,*,8,4,49,12.25,1,50.0%,6.13,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,61,85%,0,0%,0,0%,
45,2021,2021-12-12,13,14,,DET,@,DEN,L 10-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2021,2021-12-19,14,15,,DET,,ARI,W 30-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2021,2021-12-26,15,16,,DET,@,ATL,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,2021,2022-01-02,16,17,,DET,@,SEA,L 29-51,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2021,2022-01-09,17,18,,DET,,GNB,W 37-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2022,2022-09-11,1,1,25.070,DET,,PHI,L 35-38,*,7,4,38,9.50,0,57.1%,5.43,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,91%,0,0%,0,0%,
51,2022,2022-09-18,2,2,25.077,DET,,WAS,W 36-27,*,7,3,26,8.67,0,42.9%,3.71,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,
52,2022,2022-09-25,3,3,25.084,DET,@,MIN,L 24-28,*,4,3,18,6.00,1,75.0%,4.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,76%,0,0%,0,0%,
53,2022,2022-10-02,4,4,25.091,DET,,SEA,L 45-48,*,12,8,179,22.38,2,66.7%,14.92,0,0,,0,1,2,14,0.0,0,0,0,0,0,0,0,0,0,0,0,65,88%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.098,DET,@,NWE,L 0-29,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,85%,0,0%,0,0%,
55,2022,2022-10-23,6,7,25.112,DET,@,DAL,L 6-24,*,5,4,48,12.00,0,80.0%,9.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,83%,0,0%,0,0%,
56,2022,2022-10-30,7,8,25.119,DET,,MIA,L 27-31,*,4,3,80,26.67,0,75.0%,20.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,
57,2022,2022-11-06,8,9,25.126,MIN,@,WAS,W 20-17,*,9,9,70,7.78,0,100.0%,7.78,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,
58,2022,2022-11-13,9,10,25.133,MIN,@,BUF,W 33-30,*,10,7,45,6.43,0,70.0%,4.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,93%,0,0%,0,0%,
59,2022,2022-11-20,10,11,25.140,MIN,,DAL,L 3-40,*,9,5,34,6.80,0,55.6%,3.78,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,77%,0,0%,0,0%,
60,2022,2022-11-24,11,12,25.144,MIN,,NWE,W 33-26,*,6,5,43,8.60,1,83.3%,7.17,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,
61,2022,2022-12-04,12,13,25.154,MIN,,NYJ,W 27-22,,6,4,33,8.25,0,66.7%,5.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,90%,0,0%,0,0%,
62,2022,2022-12-11,13,14,25.161,MIN,@,DET,L 23-34,*,8,6,77,12.83,0,75.0%,9.63,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,62,95%,0,0%,0,0%,
63,2022,2022-12-17,14,15,25.167,MIN,,IND,W 39-36,,9,3,33,11.00,0,33.3%,3.67,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,85,94%,0,0%,0,0%,
64,2022,2022-12-24,15,16,25.174,MIN,,NYG,W 27-24,*,16,13,109,8.38,2,81.3%,6.81,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,65,90%,0,0%,0,0%,
65,2022,2023-01-01,16,17,25.182,MIN,@,GNB,L 17-41,,12,7,59,8.43,0,58.3%,4.92,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,81%,0,0%,0,0%,
66,2022,2023-01-08,17,18,25.189,MIN,@,CHI,W 29-13,*,1,1,16,16.00,0,100.0%,16.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,46%,0,0%,0,0%,
67,2023,2023-09-10,1,1,26.069,MIN,,TAM,L 17-20,*,9,8,35,4.38,0,88.9%,3.89,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,75%,0,0%,0,0%,
68,2023,2023-09-14,2,2,26.073,MIN,@,PHI,L 28-34,,8,7,66,9.43,2,87.5%,8.25,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,50,86%,0,0%,0,0%,
69,2023,2023-09-24,3,3,26.083,MIN,,LAC,L 24-28,*,11,8,78,9.75,0,72.7%,7.09,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,73,89%,0,0%,0,0%,
70,2023,2023-10-01,4,4,26.090,MIN,@,CAR,W 21-13,*,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,88%,0,0%,0,0%,
71,2023,2023-10-08,5,5,26.097,MIN,,KAN,L 20-27,,8,5,51,10.20,0,62.5%,6.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,0,0%,
