Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
44,2022,2022-11-24,11,12,23.161,MIN,,NWE,W 33-26,*,11,9,139,15.44,1,81.8%,12.64,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,97%,0,0%,0,0%,
45,2022,2022-12-04,12,13,23.171,MIN,,NYJ,W 27-22,*,11,7,45,6.43,1,63.6%,4.09,2,11,5.50,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,
46,2022,2022-12-11,13,14,23.178,MIN,@,DET,L 23-34,*,15,11,223,20.27,0,73.3%,14.87,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,
47,2022,2022-12-17,14,15,23.184,MIN,,IND,W 39-36,*,16,12,123,10.25,1,75.0%,7.69,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,83,92%,0,0%,0,0%,
48,2022,2022-12-24,15,16,23.191,MIN,,NYG,W 27-24,*,16,12,133,11.08,1,75.0%,8.31,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
49,2022,2023-01-01,16,17,23.199,MIN,@,GNB,L 17-41,*,5,1,15,15.00,0,20.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,46,79%,0,0%,0,0%,
50,2022,2023-01-08,17,18,23.206,MIN,@,CHI,W 29-13,*,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,51%,0,0%,0,0%,
51,2023,2023-09-10,1,1,24.086,MIN,,TAM,L 17-20,*,12,9,150,16.67,0,75.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,
52,2023,2023-09-14,2,2,24.090,MIN,@,PHI,L 28-34,*,13,11,159,14.45,0,84.6%,12.23,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,58,100%,0,0%,1,3%,
53,2023,2023-09-24,3,3,24.100,MIN,,LAC,L 24-28,*,13,7,149,21.29,1,53.8%,11.46,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,78,95%,0,0%,0,0%,
54,2023,2023-10-01,4,4,24.107,MIN,@,CAR,W 21-13,*,9,6,85,14.17,2,66.7%,9.44,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,47,98%,0,0%,0,0%,
55,2023,2023-10-08,5,5,24.114,MIN,,KAN,L 20-27,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,71%,0,0%,0,0%,
56,2023,2023-10-15,6,6,,MIN,@,CHI,W 19-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2023,2023-10-23,7,7,,MIN,,SFO,W 22-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2023,2023-10-29,8,8,,MIN,@,GNB,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
