Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
51,2021,2021-09-23,3,3,25.196,HOU,,CAR,L 9-24,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,91%,
52,2021,2021-10-03,4,4,25.206,HOU,@,BUF,L 0-40,*,0,0,,0,0,0,,0,0,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,64%,20,83%,
53,2021,2021-10-10,5,5,25.213,HOU,,NWE,L 22-25,,0,0,,0,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,48%,15,56%,
54,2021,2021-10-17,6,6,25.220,HOU,@,IND,L 3-31,*,0,0,,0,0,0,,0,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,71%,18,75%,
55,2021,2021-10-24,7,7,25.227,HOU,@,ARI,L 5-31,,0,0,,0,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,65%,17,65%,
56,2021,2021-10-31,8,8,25.234,HOU,,LAR,L 22-38,*,0,0,,0,0,0,,0,0,0,0.0,2,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,90%,13,39%,
57,2021,2021-11-07,9,9,25.241,HOU,@,MIA,L 9-17,,0,0,,0,0,0,,0,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,67%,16,67%,
58,2021,2021-11-21,10,11,25.255,HOU,@,TEN,W 22-13,,0,0,,0,0,0,,0,0,0,0.0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,84%,13,52%,
59,2021,2021-11-28,11,12,25.262,HOU,,NYJ,L 14-21,*,0,0,,0,0,0,,0,0,0,0.0,3,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,38,57%,17,68%,
60,2021,2021-12-05,12,13,25.269,HOU,,IND,L 0-31,,0,0,,0,0,0,,0,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,42,58%,16,73%,
