Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
51,2021,2021-09-26,3,3,26.233,TAM,@,LAR,L 24-34,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,33,51%,11,37%,
52,2021,2021-10-03,4,4,26.240,TAM,@,NWE,W 19-17,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,69%,10,34%,
53,2021,2021-10-10,5,5,26.247,TAM,,MIA,W 45-17,*,0,0,0,,0,0.0%,,0,0,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,30,56%,12,43%,
54,2021,2021-10-14,6,6,26.251,TAM,@,PHI,W 28-22,*,0,0,0,,0,0.0%,,0,0,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,52%,7,29%,
55,2021,2021-10-24,7,7,26.261,TAM,,CHI,W 38-3,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0%,32,48%,8,32%,
56,2021,2021-10-31,8,8,26.268,TAM,@,NOR,L 27-36,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,61,80%,10,35%,
57,2021,2021-11-14,9,10,26.282,TAM,@,WAS,L 19-29,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,53%,9,36%,
58,2021,2021-11-22,10,11,,TAM,,NYG,W 30-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,2021,2021-11-28,11,12,26.296,TAM,@,IND,W 38-31,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,43%,0,0%,
60,2021,2021-12-05,12,13,26.303,TAM,@,ATL,W 30-17,*,0,0,0,,0,0.0%,,0,0,2.0,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,34,48%,2,8%,
61,2021,2021-12-12,13,14,26.310,TAM,,BUF,W 33-27,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,38,49%,1,3%,
62,2021,2021-12-19,14,15,26.317,TAM,,NOR,L 0-9,*,0,0,0,,0,0.0%,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,66%,0,0%,
63,2021,2021-12-26,15,16,26.324,TAM,@,CAR,W 32-6,*,0,0,0,,0,0.0%,,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,37,53%,1,4%,
64,2021,2022-01-02,16,17,26.331,TAM,@,NYJ,W 28-24,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,64%,0,0%,
65,2021,2022-01-09,17,18,26.338,TAM,,CAR,W 41-17,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,42%,0,0%,
66,2022,2022-09-11,1,1,27.218,TAM,@,DAL,W 19-3,*,0,0,0,,0,0.0%,,0,0,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,61%,8,33%,
67,2022,2022-09-18,2,2,27.225,TAM,@,NOR,W 20-10,*,0,0,0,,0,0.0%,,0,0,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,63%,6,23%,
68,2022,2022-09-25,3,3,27.232,TAM,,GNB,L 12-14,*,0,0,0,,0,0.0%,,0,0,0.0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,39,63%,4,16%,
69,2022,2022-10-02,4,4,27.239,TAM,,KAN,L 31-41,*,0,0,0,,0,0.0%,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,71%,5,17%,
70,2022,2022-10-09,5,5,27.246,TAM,,ATL,W 21-15,*,0,0,0,,0,0.0%,,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,61%,3,14%,
71,2022,2022-10-16,6,6,27.253,TAM,@,PIT,L 18-20,*,0,0,0,,0,0.0%,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,64%,5,18%,
72,2022,2022-10-23,7,7,27.260,TAM,@,CAR,L 3-21,*,0,0,0,,0,0.0%,,0,0,1.0,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,70%,5,21%,
73,2022,2022-10-27,8,8,27.264,TAM,,BAL,L 22-27,*,0,0,0,,0,0.0%,,0,0,1.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,63%,4,13%,
74,2022,2022-11-06,9,9,27.274,TAM,,LAR,W 16-13,*,0,0,0,,0,0.0%,,0,0,2.0,3,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,35,61%,5,15%,
75,2022,2022-11-13,10,10,27.281,TAM,,SEA,W 21-16,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,,,,,0,0%,32,62%,4,19%,
76,2022,2022-11-27,11,12,27.295,TAM,@,CLE,L 17-23,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,61%,0,0%,
77,2022,2022-12-05,12,13,27.303,TAM,,NOR,W 17-16,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,63%,1,4%,
78,2022,2022-12-11,13,14,27.309,TAM,@,SFO,L 7-35,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,,,,,0,0%,4,6%,0,0%,
79,2022,2022-12-18,14,15,,TAM,,CIN,L 23-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,2022,2022-12-25,15,16,,TAM,@,ARI,W 19-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,2022,2023-01-01,16,17,27.330,TAM,,CAR,W 30-24,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0%,38,58%,3,10%,
82,2022,2023-01-08,17,18,,TAM,@,ATL,L 17-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
83,2023,2023-09-10,1,1,28.217,TAM,@,MIN,W 20-17,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,59%,3,11%,
84,2023,2023-09-17,2,2,28.224,TAM,,CHI,W 27-17,*,0,0,0,,0,0.0%,,0,0,1.5,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,34,64%,3,11%,
85,2023,2023-09-25,3,3,28.232,TAM,,PHI,L 11-25,*,0,0,0,,0,0.0%,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,54%,0,0%,
86,2023,2023-10-01,4,4,28.238,TAM,@,NOR,W 26-9,*,0,0,0,,0,0.0%,,0,0,2.0,2,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,44,68%,1,4%,
87,2023,2023-10-15,5,6,28.252,TAM,,DET,L 6-20,*,0,0,0,,0,0.0%,,0,0,0.0,4,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,44,63%,2,8%,
88,2023,2023-10-22,6,7,28.259,TAM,,ATL,L 13-16,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,55%,0,0%,
89,2023,2023-10-26,7,8,,TAM,@,BUF,L 18-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,2023,2023-11-05,8,9,28.273,TAM,@,HOU,L 37-39,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,50,69%,0,0%,
91,2023,2023-11-12,9,10,28.280,TAM,,TEN,W 20-6,*,0,0,0,,0,0.0%,,0,0,1.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,39,62%,0,0%,
92,2023,2023-11-19,10,11,28.287,TAM,@,SFO,L 14-27,*,0,0,0,,0,0.0%,,0,0,1.0,4,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,63%,0,0%,
93,2023,2023-11-26,11,12,28.294,TAM,@,IND,L 20-27,*,,,,,,0.0%,,0,0,,,,,,,,,,,,,,,,,0,0%,46,63%,0,0%,
94,2023,2023-12-03,12,13,28.301,TAM,,CAR,W 21-18,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,64%,0,0%,
95,2023,2023-12-10,13,14,,TAM,@,ATL,W 29-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
96,2023,2023-12-17,14,15,28.315,TAM,@,GNB,W 34-20,*,0,0,0,,0,0.0%,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,47%,1,4%,
97,2023,2023-12-24,15,16,28.322,TAM,,JAX,W 30-12,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,53%,0,0%,
98,2023,2023-12-31,16,17,28.329,TAM,,NOR,L 13-23,*,0,0,0,,0,0.0%,,0,0,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,69%,1,4%,
