Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
33,2018,2018-09-09,1,1,25.211,NYG,,JAX,L 15-20,*,7,5,48,9.60,0,71.4%,6.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,86%,0,0%,0,0%,
34,2018,2018-09-16,2,2,25.218,NYG,@,DAL,L 13-20,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,96%,0,0%,2,8%,
35,2018,2018-09-23,3,3,25.225,NYG,@,HOU,W 27-22,*,7,6,80,13.33,1,85.7%,11.43,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,95%,0,0%,1,4%,
36,2018,2018-09-30,4,4,25.232,NYG,,NOR,L 18-33,*,10,10,77,7.70,1,100.0%,7.70,0,0,,0,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,,,0,0,0,0,0,0,59,95%,0,0%,0,0%,
37,2018,2018-10-07,5,5,25.239,NYG,@,CAR,L 31-33,*,7,4,75,18.75,0,57.1%,10.71,0,0,,0,0,27,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,56,100%,0,0%,1,3%,
38,2018,2018-10-11,6,6,25.243,NYG,,PHI,L 13-34,*,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,97%,0,0%,0,0%,
39,2018,2018-10-22,7,7,25.254,NYG,@,ATL,L 20-23,*,8,5,167,33.40,0,62.5%,20.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,91%,0,0%,1,4%,
40,2018,2018-10-28,8,8,25.260,NYG,,WAS,L 13-20,*,8,4,34,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,96%,0,0%,1,3%,
41,2018,2018-11-12,9,10,25.275,NYG,@,SFO,W 27-23,*,3,2,9,4.50,1,66.7%,3.00,1,27,27.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,0,0%,
42,2018,2018-11-18,10,11,25.281,NYG,,TAM,W 38-35,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,87%,0,0%,1,3%,
