Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
19,2020,2021-01-03,16,17,24.269,NYJ,@,NWE,L 14-28,,2,2,100.0,,,,0,2,0,0%,0,0%,5,19%,
20,2021,2021-09-12,1,1,25.156,CLE,@,KAN,L 29-33,,3,3,100.0,,,,0,3,0,0%,0,0%,8,33%,
21,2021,2021-09-19,2,2,25.163,CLE,,HOU,W 31-21,,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,11,44%,
22,2021,2021-09-26,3,3,25.170,CLE,,CHI,W 26-6,,2,2,100.0,4,4,100.0,0,14,0,0%,0,0%,13,48%,
23,2021,2021-10-03,4,4,25.177,CLE,@,MIN,W 14-7,,,,,2,2,100.0,0,6,0,0%,0,0%,6,27%,
24,2021,2021-10-10,5,5,25.184,CLE,@,LAC,L 42-47,,4,4,100.0,2,2,100.0,0,10,0,0%,0,0%,13,41%,
25,2021,2021-10-17,6,6,25.191,CLE,,ARI,L 14-37,,2,2,100.0,,,,0,2,0,0%,0,0%,4,17%,
26,2021,2021-10-21,7,7,25.195,CLE,,DEN,W 17-14,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,40%,
27,2021,2021-10-31,8,8,25.205,CLE,,PIT,L 10-15,,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,26%,
28,2021,2021-11-07,9,9,25.212,CLE,@,CIN,W 41-16,,5,5,100.0,2,3,66.7,0,11,0,0%,0,0%,16,57%,
29,2021,2021-11-14,10,10,25.219,CLE,@,NWE,L 7-45,,1,1,100.0,,,,0,1,0,0%,0,0%,3,13%,
30,2021,2021-11-21,11,11,25.226,CLE,,DET,W 13-10,,1,2,50.0,,1,0.0,0,1,0,0%,0,0%,6,27%,
31,2021,2021-11-28,12,12,25.233,CLE,@,BAL,L 10-16,,1,1,100.0,1,2,50.0,0,4,0,0%,0,0%,6,25%,
32,2021,2021-12-12,13,14,25.247,CLE,,BAL,W 24-22,,3,3,100.0,1,2,50.0,0,6,0,0%,0,0%,10,32%,
33,2021,2021-12-20,14,15,25.255,CLE,,LVR,L 14-16,,2,2,100.0,,1,0.0,0,2,0,0%,0,0%,6,23%,
34,2021,2021-12-25,15,16,,CLE,@,GNB,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2021,2022-01-03,16,17,25.269,CLE,@,PIT,L 14-26,,2,2,100.0,,,,0,2,0,0%,0,0%,5,16%,
36,2021,2022-01-09,17,18,25.275,CLE,,CIN,W 21-16,,3,3,100.0,,,,0,3,0,0%,0,0%,7,28%,
37,2022,2022-09-18,2,2,26.162,IND,@,JAX,L 0-24,,,,,,,,0,0,0,0%,0,0%,1,5%,
38,2022,2022-09-25,3,3,26.169,IND,,KAN,W 20-17,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,9,39%,
39,2022,2022-10-02,4,4,26.176,IND,,TEN,L 17-24,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,35%,
40,2022,2022-10-06,5,5,26.180,IND,@,DEN,W 12-9,,,,,4,4,100.0,0,12,0,0%,0,0%,10,32%,
41,2022,2022-10-16,6,6,26.190,IND,,JAX,W 34-27,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,11,44%,
42,2022,2022-10-23,7,7,26.197,IND,@,TEN,L 10-19,,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,21%,
43,2022,2022-10-30,8,8,26.204,IND,,WAS,L 16-17,,1,1,100.0,3,3,100.0,0,10,0,0%,0,0%,9,35%,
44,2022,2022-11-06,9,9,26.211,IND,@,NWE,L 3-26,,,,,1,2,50.0,0,3,0,0%,0,0%,4,12%,
45,2022,2022-11-13,10,10,26.218,IND,@,LVR,W 25-20,,1,1,100.0,2,3,66.7,0,7,0,0%,0,0%,9,39%,
46,2022,2022-11-20,11,11,26.225,IND,,PHI,L 16-17,,1,1,100.0,3,4,75.0,0,10,0,0%,0,0%,10,40%,
47,2022,2022-11-28,12,12,26.233,IND,,PIT,L 17-24,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,9,35%,
48,2022,2022-12-04,13,13,26.239,IND,@,DAL,L 19-54,,1,1,100.0,2,2,100.0,0,7,0,0%,0,0%,8,26%,
49,2022,2022-12-17,14,15,26.252,IND,@,MIN,L 36-39,,3,3,100.0,5,5,100.0,0,18,0,0%,0,0%,18,42%,
50,2022,2022-12-26,15,16,26.261,IND,,LAC,L 3-20,,,,,1,1,100.0,0,3,0,0%,0,0%,3,17%,
51,2022,2023-01-01,16,17,26.267,IND,@,NYG,L 10-38,,1,1,100.0,1,2,50.0,0,4,0,0%,0,0%,6,25%,
52,2022,2023-01-08,17,18,26.274,IND,,HOU,L 31-32,,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,11,41%,
53,2023,2023-09-10,1,1,27.154,TAM,@,MIN,W 20-17,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,5,18%,
54,2023,2023-09-17,2,2,27.161,TAM,,CHI,W 27-17,,3,3,100.0,2,3,66.7,0,9,0,0%,0,0%,6,22%,
55,2023,2023-09-25,3,3,27.169,TAM,,PHI,L 11-25,,,,,1,1,100.0,0,3,0,0%,0,0%,1,5%,
56,2023,2023-10-01,4,4,27.175,TAM,@,NOR,W 26-9,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,15%,
57,2023,2023-10-15,5,6,27.189,TAM,,DET,L 6-20,,,,,2,2,100.0,0,6,0,0%,0,0%,2,8%,
58,2023,2023-10-22,6,7,27.196,TAM,,ATL,L 13-16,,1,1,100.0,2,2,100.0,0,7,0,0%,0,0%,3,14%,
59,2023,2023-10-26,7,8,27.200,TAM,@,BUF,L 18-24,,1,1,100.0,1,2,50.0,0,4,0,0%,0,0%,3,12%,
60,2023,2023-11-05,8,9,27.210,TAM,@,HOU,L 37-39,,4,4,100.0,3,3,100.0,0,13,0,0%,0,0%,7,21%,
61,2023,2023-11-12,9,10,27.217,TAM,,TEN,W 20-6,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,17%,
62,2023,2023-11-19,10,11,27.224,TAM,@,SFO,L 14-27,,2,2,100.0,,,,0,2,0,0%,0,0%,2,9%,
63,2023,2023-11-26,11,12,27.231,TAM,@,IND,L 20-27,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,15%,
64,2023,2023-12-03,12,13,27.238,TAM,,CAR,W 21-18,,3,3,100.0,,,,0,3,0,0%,0,0%,3,10%,
65,2023,2023-12-10,13,14,27.245,TAM,@,ATL,W 29-25,,3,3,100.0,2,2,100.0,0,9,0,0%,0,0%,5,16%,
66,2023,2023-12-17,14,15,27.252,TAM,@,GNB,W 34-20,,4,4,100.0,2,2,100.0,0,10,0,0%,0,0%,6,24%,
67,2023,2023-12-24,15,16,27.259,TAM,,JAX,W 30-12,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,6,30%,
68,2023,2023-12-31,16,17,27.266,TAM,,NOR,L 13-23,,1,1,100.0,,,,0,1,0,0%,0,0%,1,4%,
69,2023,2024-01-07,17,18,27.273,TAM,@,CAR,W 9-0,,,,,3,3,100.0,0,9,0,0%,0,0%,3,15%,
70,2024,2024-09-08,1,1,28.152,TAM,,WAS,W 37-20,,4,4,100.0,3,3,100.0,0,13,0,0%,0,0%,7,26%,
71,2024,2024-09-15,2,2,28.159,TAM,@,DET,W 20-16,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,15%,
72,2024,2024-09-22,3,3,28.166,TAM,,DEN,L 7-26,,1,1,100.0,,,,0,1,0,0%,0,0%,1,5%,
73,2024,2024-09-29,4,4,28.173,TAM,,PHI,W 33-16,,3,4,75.0,2,2,100.0,0,9,0,0%,0,0%,6,22%,
74,2024,2024-10-03,5,5,28.177,TAM,@,ATL,L 30-36,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,6,19%,
75,2024,2024-10-13,6,6,28.187,TAM,@,NOR,W 51-27,,6,6,100.0,1,1,100.0,0,9,0,0%,0,0%,7,19%,
76,2024,2024-10-21,7,7,28.195,TAM,,BAL,L 31-41,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,6,21%,
77,2024,2024-10-27,8,8,28.201,TAM,,ATL,L 26-31,,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,4,15%,
78,2024,2024-11-04,9,9,28.209,TAM,@,KAN,L 24-30,,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,4,14%,
79,2024,2024-11-10,10,10,28.215,TAM,,SFO,L 20-23,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,4,14%,
80,2024,2024-11-24,11,12,28.229,TAM,@,NYG,W 30-7,,3,4,75.0,1,1,100.0,0,6,0,0%,0,0%,5,25%,
