Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
26,2023,2023-11-12,9,10,25.296,TAM,,TEN,W 20-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,7,11%,0,0%,17,74%,
27,2023,2023-11-19,10,11,25.303,TAM,@,SFO,L 14-27,*,,,,,,0.0%,,,,,,0,0,,,,,,,9,13%,0,0%,14,64%,
28,2023,2023-11-26,11,12,25.310,TAM,@,IND,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,8,13%,0,0%,19,70%,
29,2023,2023-12-03,12,13,25.317,TAM,,CAR,W 21-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,10,16%,0,0%,19,66%,
30,2023,2023-12-10,13,14,25.324,TAM,@,ATL,W 29-25,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,3,4%,0,0%,23,72%,
31,2023,2023-12-17,14,15,25.331,TAM,@,GNB,W 34-20,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6,0.0,0,0,0,0,0,13,21%,0,0%,19,76%,
32,2023,2023-12-24,15,16,25.338,TAM,,JAX,W 30-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,17,23%,0,0%,18,90%,
33,2023,2023-12-31,16,17,,TAM,,NOR,L 13-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2023,2024-01-07,17,18,25.352,TAM,@,CAR,W 9-0,,,,,,,0.0%,,,,,,0,0,,,,,,,23,35%,0,0%,0,0%,
35,2024,2024-09-08,1,1,26.232,TAM,,WAS,W 37-20,,,,,,,0.0%,,,,,,0,0,,,,,,,2,3%,0,0%,16,59%,
36,2024,2024-09-15,2,2,26.239,TAM,@,DET,W 20-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,1,2%,0,0%,16,62%,
37,2024,2024-09-22,3,3,26.246,TAM,,DEN,L 7-26,,,,,,,0.0%,,,,,,0,0,,,,,,,1,2%,0,0%,15,68%,
38,2024,2024-09-29,4,4,26.253,TAM,,PHI,W 33-16,,,,,,,0.0%,,,,,,0,0,,,,,,,3,4%,0,0%,19,71%,
39,2024,2024-10-03,5,5,26.257,TAM,@,ATL,L 30-36,,,,,,,0.0%,,,,,,0,0,,,,,,,2,4%,0,0%,16,50%,
40,2024,2024-10-13,6,6,26.267,TAM,@,NOR,W 51-27,,,,,,,0.0%,,,,,,0,0,,,,,,,1,1%,0,0%,24,65%,
41,2024,2024-10-21,7,7,26.275,TAM,,BAL,L 31-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,6,7%,0,0%,18,62%,
42,2024,2024-10-27,8,8,26.281,TAM,,ATL,L 26-31,,,,,,,0.0%,,,,,,0,0,,,,,,,1,1%,0,0%,16,59%,
43,2024,2024-11-04,9,9,26.289,TAM,@,KAN,L 24-30,,,,,,,0.0%,,,,,,0,0,,,,,,,2,4%,0,0%,18,64%,
44,2024,2024-11-10,10,10,26.295,TAM,,SFO,L 20-23,,,,,,,0.0%,,,,,,0,0,,,,,,,3,5%,0,0%,16,55%,
45,2024,2024-11-24,11,12,26.309,TAM,@,NYG,W 30-7,,,,,,,0.0%,,,,,,0,0,,,,,,,5,8%,0,0%,18,90%,
