Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
29,2019,2019-12-08,13,14,22.302,GNB,,WAS,W 20-15,*,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,97%,2,8%,
30,2019,2019-12-15,14,15,22.309,GNB,,CHI,W 21-13,*,0,0,,0,,0,0,0.0,8,0,8,1,0,1,0,0,2,0,0,0,0,0,0,0,0%,84,100%,2,7%,
31,2019,2019-12-23,15,16,22.317,GNB,@,MIN,W 23-10,*,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,3,11%,
32,2019,2019-12-29,16,17,22.323,GNB,@,DET,W 23-20,*,0,0,,0,,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,98%,1,3%,
33,2020,2020-09-13,1,1,23.217,GNB,@,MIN,W 43-34,*,0,0,,0,1,0,2,1.0,4,1,5,1,1,1,-4,0,1,0,0,0,0,0,0,0,0%,49,94%,0,0%,
34,2020,2020-09-20,2,2,23.224,GNB,,DET,W 42-21,*,0,0,,0,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,90%,1,3%,
35,2020,2020-09-27,3,3,23.231,GNB,@,NOR,W 37-30,*,0,0,,0,,0,0,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,61,100%,2,6%,
36,2020,2020-10-05,4,4,23.239,GNB,,ATL,W 30-16,*,0,0,,0,,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,0,0%,
37,2020,2020-10-18,5,6,23.252,GNB,@,TAM,L 10-38,*,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,92%,3,10%,
38,2020,2020-10-25,6,7,23.259,GNB,@,HOU,W 35-20,*,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,0,0%,
39,2020,2020-11-01,7,8,23.266,GNB,,MIN,L 22-28,*,0,0,,0,,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,94%,0,0%,
40,2020,2020-11-05,8,9,23.270,GNB,@,SFO,W 34-17,*,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,32%,1,4%,
