Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
32,2021,2022-01-02,16,17,23.245,GNB,,MIN,W 37-10,,14,63,4.50,2,3,2,20,10.00,0,66.7%,6.67,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,39,52%,0,0%,0,0%,
33,2021,2022-01-09,17,18,23.252,GNB,@,DET,L 30-37,*,14,63,4.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,54%,0,0%,0,0%,
34,2022,2022-09-11,1,1,24.132,GNB,@,MIN,L 7-23,,10,45,4.50,1,6,5,46,9.20,0,83.3%,7.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,51%,0,0%,0,0%,
35,2022,2022-09-18,2,2,24.139,GNB,,CHI,W 27-10,,18,61,3.39,0,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,39,57%,0,0%,0,0%,
36,2022,2022-09-25,3,3,24.146,GNB,@,TAM,W 14-12,,12,32,2.67,0,3,2,6,3.00,0,66.7%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,53%,0,0%,1,4%,
37,2022,2022-10-02,4,4,24.153,GNB,,NWE,W 27-24,*,17,73,4.29,0,2,1,11,11.00,0,50.0%,5.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,58%,0,0%,0,0%,
38,2022,2022-10-09,5,5,24.160,GNB,,NYG,L 22-27,,6,34,5.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,32%,0,0%,0,0%,
39,2022,2022-10-16,6,6,24.167,GNB,,NYJ,L 10-27,*,10,41,4.10,0,6,4,11,2.75,0,66.7%,1.83,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,
40,2022,2022-10-23,7,7,24.174,GNB,@,WAS,L 21-23,,4,15,3.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,30%,0,0%,0,0%,
41,2022,2022-10-30,8,8,24.181,GNB,@,BUF,L 17-27,,10,54,5.40,0,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,42%,0,0%,1,5%,
42,2022,2022-11-06,9,9,24.188,GNB,@,DET,L 9-15,,11,34,3.09,0,4,2,10,5.00,0,50.0%,2.50,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,49,66%,0,0%,1,8%,
43,2022,2022-11-13,10,10,24.195,GNB,,DAL,W 31-28,,13,65,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,38%,0,0%,4,13%,
44,2022,2022-11-17,11,11,24.199,GNB,,TEN,L 17-27,,6,13,2.17,0,1,1,10,10.00,0,100.0%,10.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,0,0%,
45,2022,2022-11-27,12,12,24.209,GNB,@,PHI,L 33-40,,8,64,8.00,1,4,3,24,8.00,0,75.0%,6.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,43%,0,0%,0,0%,
46,2022,2022-12-04,13,13,24.216,GNB,@,CHI,W 28-19,*,18,93,5.17,1,3,3,26,8.67,0,100.0%,8.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,
